id,doi,title,abstract,year,term,discipline,is_oa,license,license_unpaywall,journal,journal_norm,journal_is_oa,source_db,authors,best_oa_location_url,cited_by_count,github,zenodo,osf,pubmed_id,repo_links,code_link,data_link,preregistered,preprint,journal_impact_factor,high_impact_flag,high_impact_reason,doi_norm,dataset_urls,dataset_repos,has_public_dataset,open_science_score
https://openalex.org/W4283731272,10.1016/j.tins.2022.05.008,Magnetoencephalography with optically pumped magnetometers (OPM-MEG): the next generation of functional neuroimaging,"Magnetoencephalography (MEG) allows noninvasive electrophysiological imaging of human brain activity. However, current MEG technology has significant limitations.Optically pumped magnetometers (OPM)-MEG is a new type of MEG instrumentation, promising several advantages compared with conventional scanners: higher signal sensitivity, better spatial resolution, more uniform coverage, lifespan compliance, free movement of participants during scanning, and lower system complexity.We describe and and technology is of conventional human imaging and new of Magnetoencephalography (MEG) human brain of of electrophysiological current MEG is a new of MEG technology is of pumped magnetometers has current of promising and spatial during and a imaging current of and describe Magnetoencephalography (MEG) human brain of of electrophysiological current MEG is a new of MEG technology is of pumped magnetometers has current of promising and spatial during and a imaging current of and describe imaging of is a noninvasive imaging of brain is of current of of brain MEG has and spatial of with of and MEG has advantages imaging Magnetoencephalography brain and imaging is and has resolution, and spatial of is MEG has of noninvasive However, of MEG has significant is current MEG a of with a instrumentation, and of human and a is and a of of participants with MEG is MEG signal with of and a is and signal a MEG of is is with a and and with is and is uniform and of system and and a of a is MEG has of a new has of new MEG with current of higher of coverage, and lower system current of and current and new technology advantages of of pumped several with and MEG and of a with a with a a a and a of and a of a and with of and with a of a of of is a and has a of of of However, a with is a and of with a of and is of and a of and a a of of of pumped is a a of with of a of of type However, allows a compared with more has of is compared with of magnetometers a MEG of a signal a of with a of of magnetometers a and lower is signal of and a of higher of a has a of a of compared with new of of is higher of human with of more allows better of current MEG of spatial with a of with pumped a a of electrophysiological brain a noninvasive However, system a significant is is a of with advantages current higher and spatial imaging with of pumped (MEG) compared with conventional of conventional MEG with a with a of and a of of is participants with of and a and a with a conventional compared with conventional allows of of spatial of is brain imaging with lifespan a new of uniform and brain with spatial is a of a human and magnetometers human is is with electrophysiological pumped magnetometers with pumped and brain imaging with pumped of pumped and a of and pumped is of with sensitivity, of MEG of of of advantages brain advantages of a pumped and of is of of and is a MEG with of with MEG with However, and of of a of and a of with a and with a a with of a and with a and of of and of significant with of and of and MEG new of of with pumped MEG system of of of human of conventional MEG is is of signal and brain and spatial of MEG conventional and of and and of of movement MEG of brain and movement signal MEG of signal and of is and of and of movement and signal a of during MEG has movement a significant spatial with of MEG and However, of movement and movement with movement MEG and a movement is a movement of more a with brain and has of of compared with and of of movement is a of a with MEG a of a is magnetometers and a signal of is a MEG with of a of and of and a is pumped of and several participants with and a of and and a of of system is of a and and and and of of movement MEG of brain system and of is a movement current with with and with and of is MEG participants with a MEG signal is brain of MEG of with a of and MEG and a of with a a MEG brain of and with However, a of of a and a more a uniform a a movement a brain activity. and with MEG system of system and a a significant a a of of of and of of uniform and with a and is a is a of is system with has and of and of pumped magnetometers of of pumped a of participants with conventional MEG has a of a with a participants a of and a a a of system a a of a has new of a a a a new spatial movement brain imaging with lifespan and a brain imaging with lifespan of participants of new with movement is of brain during and However, compared with conventional MEG spatial Magnetoencephalography brain and and spatial and and and MEG has lower during movement compared with and and is a system movement is brain with a has spatial and has of of brain during has of electrophysiological MEG and of of is with with with of of human has pumped pumped magnetometers of MEG of conventional a lower and a with a conventional a system a MEG with of has with with electrophysiological of MEG brain with pumped a participants a a and a of of is and lower of is a of and a system of of with and MEG of and with conventional MEG is brain a human a of sensitivity, of a is of with of conventional MEG imaging is with is brain imaging with lifespan a electrophysiological a of of and a and a a more of pumped and of a significant advantages of and compared with more a pumped magnetometers of a with a higher of is imaging is is new and a of current of of higher of is is a and has is of conventional MEG a significant is current a of and is However, higher of a of with of system a new of of of a magnetometers and with pumped magnetometers with a and movement brain activity. of new a and a lower of of a of a a conventional and However, a of pumped and with brain more of is spatial MEG is a However, with of and a with a with of a of of participants of is current is of a of a a with of and a significant of is is significant of conventional technology advantages conventional MEG advantages of MEG signal is and better compared with and of participants and of advantages conventional has of participants of current imaging and of new conventional MEG of instrumentation, free has advantages is has resolution, participants a and and participants brain and during scanning, spatial of is a several of current a of spatial and of significant and is and is more compared with MEG and and electrophysiological and during of during free movement MEG a conventional with movement of new of of brain and of of and technology with a noninvasive brain activity. has significant advantages and of new and of brain of of a higher free movement of a a new brain during a and new of and a of current human brain However, of a brain more advantages of higher spatial of sensitivity, with new better of significant with and and brain is a imaging of is a noninvasive imaging of brain is of current of of brain MEG has and spatial of with of and MEG has advantages imaging Magnetoencephalography brain and imaging is and has resolution, and spatial of is MEG has of noninvasive However, of MEG has significant is current MEG a of with a instrumentation, and of human and a is and a of of participants with MEG is MEG signal with of and a is and signal a MEG of is is with a and and with is and is uniform and of system and and a of a is MEG has of a new has of new MEG with current of higher of coverage, and lower system current of and current and new technology MEG of is a noninvasive imaging of brain is of current of of brain MEG has and spatial of with of and MEG has advantages imaging Magnetoencephalography brain and imaging is and has resolution, and spatial of is MEG has of noninvasive However, of MEG has significant is current MEG a of with a instrumentation, and of human and a is and a of of participants with MEG is MEG signal with of and a is and signal a MEG of is is with a and and with is and is uniform and of system and and a of a is MEG has of a new has of new MEG with current of higher of coverage, and lower system current of and current and new technology advantages of of pumped several with and MEG and of a with a with a a a and a of and a of a and with of and with a of a of of is a and has a of of of However, a with is a and of with a of and is of and a of and a a of of type However, allows a compared with more has of is compared with of magnetometers a MEG of a signal a of with a of of magnetometers a and lower is signal of and a of higher of a has a of a of compared with new of of is higher of human with of more allows better of current MEG of spatial with a of with pumped a a of electrophysiological brain a noninvasive However, system a significant is is a of with advantages current higher and spatial imaging with of pumped (MEG) compared with conventional of conventional MEG with a with a of and a of of is participants with of and a and a with a conventional compared with conventional allows of of spatial of is brain imaging with lifespan a new of uniform and brain with spatial is a of a human and magnetometers human is is with electrophysiological pumped magnetometers with pumped and brain imaging with pumped of pumped and a of and pumped is of with sensitivity, of MEG of of of advantages brain advantages of a pumped and of is of of and is a MEG of pumped several with and MEG and of a with a with a a a and a of and a of a and with of and with a of a of of is a and has a of of of However, a with is a and of with a of and is of and a of and a a of of is a and has a of of of However, a with is a and of with a of and is However, of and a of and a a of of type However, allows a compared with more has of is compared with of magnetometers a MEG of a signal a of with a of of magnetometers a and lower is signal of and a of higher of a has a of a of compared with new of of is higher of human with of more allows better of current MEG of spatial with a of with pumped a a of electrophysiological brain a noninvasive However, system a significant is is a of with advantages current higher and spatial imaging with of conventional MEG with a with a of and a of of is participants with of and a and a with a conventional compared with conventional allows of of spatial of is brain imaging with lifespan a new of uniform and brain with spatial is a of a human and magnetometers human is is with electrophysiological pumped magnetometers with pumped and brain imaging with pumped of pumped and a of and pumped is of with sensitivity, of MEG of of of advantages brain advantages of a pumped and of is of of and is a MEG with of with MEG with However, and of of a of and a of with a and with a a with of a and with a and of of and of significant with of and of and MEG new of of with pumped MEG system of of of human of conventional MEG is is of signal and brain and spatial of MEG conventional and of and and of of movement MEG of brain and movement signal MEG of signal and of is and of and of movement and signal a of during MEG has movement a significant spatial with of MEG and However, of movement and movement with movement MEG and a movement is a movement of more a with brain and has of of compared with and of of movement is a of a with MEG a of a is magnetometers and a signal of is a MEG with of a of and of and a is of system is of a and and and and of of movement MEG of brain system and of is a movement current with with and with and of is MEG participants with a MEG signal is brain of MEG of with a of and MEG and a of with a a MEG brain of and with However, a of of a and a more a uniform a a movement a brain activity. and with MEG system of system and a a significant a a of of of and of of uniform and with a and is a is a of is system with has and of and of pumped magnetometers of of pumped a of participants with conventional MEG has a of a with a participants a of and a a a of system a a of a has new of a a a a new spatial movement brain imaging with lifespan and a brain imaging with lifespan of participants of new with movement is of brain during and However, compared with conventional MEG spatial Magnetoencephalography brain and and spatial and and and MEG has lower during movement compared with and and is a system movement is brain with a has spatial and has of of brain during with of with MEG with However, and of of a of and a of with a and with a a with of a and with a and of of and of significant with of and of and MEG new of of with pumped MEG system of of of human of conventional MEG is is of signal and brain and spatial of MEG conventional and of and and of of movement MEG of brain and movement signal MEG of signal and of is and of and of movement and signal a of during MEG has movement a significant spatial with of MEG and However, of movement and movement with movement MEG and a movement is a movement of more a with brain and has of of compared with and of of movement is a of a with MEG a of a is magnetometers and a signal of is a MEG with of a of and of and a is of system is of a and and and and of of movement MEG of brain system and of is a movement current with with and with and of is MEG participants with a MEG signal is brain of MEG of with a of and MEG and a of with a a MEG brain of and with However, a of of a and a more a uniform a a movement a brain activity. and with MEG system of system and a a significant a a of of of and of of uniform and with a and is a is a of is system with has and of and of pumped magnetometers MEG signal is brain of MEG of with a of and MEG and a of with a a MEG brain of and with However, a of of a and a more a uniform a a movement a brain activity. and with MEG system of system and a a significant a a of of of and of of uniform and with a and is a is a of is system with has and of and of pumped magnetometers participants with conventional MEG has a of a with a participants a of and a a a of system a a of a has new of a a a a new spatial movement brain imaging with lifespan and a brain imaging with lifespan of participants of new with movement is of brain during and However, compared with conventional MEG spatial Magnetoencephalography brain and and spatial and and and MEG has lower during movement compared with and and is a system movement is brain with a has spatial and has of of brain during has of electrophysiological MEG and of of is with with with of of human has pumped pumped magnetometers of MEG of conventional a lower and a with a conventional a system a MEG with of has with with electrophysiological of MEG brain with pumped a participants a a and a of of is and lower of is a of and a system of of with and MEG of and with conventional MEG is brain a human a of sensitivity, of a is of with of conventional MEG imaging is with is brain imaging with lifespan a electrophysiological a of of and a and a a more of pumped and of a significant advantages of and compared with more a pumped magnetometers of a with a higher of is imaging is has of electrophysiological MEG and of of is with with with of of human has pumped pumped magnetometers of MEG of conventional a lower and a with a conventional a system a MEG with of has with with electrophysiological of MEG brain with pumped a participants a a and a of of is and lower of is a of and a system of of with and MEG of and with conventional MEG is brain a human a of sensitivity, of a is of with of conventional MEG imaging is with is brain imaging with lifespan a electrophysiological a of of and a and a a more of pumped and of a significant advantages of and compared with more a pumped magnetometers of a with a higher of is imaging is is new and a of current of of higher of is is a and has is of conventional MEG a significant is current a of and is However, higher of a of with of system a new of of of a magnetometers and with pumped magnetometers with a and movement brain activity. of new a and a lower of of a of a a conventional and However, a of pumped and with brain more of is spatial MEG is a However, with of and a with a with of a of of participants of is current is of a of a a with of and a significant of is is significant of conventional technology is new and a of current of of higher of is is a and has is of conventional MEG a significant is current a of and is However, higher of a of with of system a new of of of a magnetometers and with pumped magnetometers with a and movement brain activity. of new a and a lower of of a of a a conventional and However, a of pumped and with brain more of is spatial MEG is a However, with of and a with a with of a of of participants of is current is of a of a a with of and a significant of is is significant of conventional technology advantages conventional MEG advantages of MEG signal is and better compared with and of participants and of advantages conventional has of participants of current imaging and of new conventional MEG of instrumentation, free has advantages is has resolution, participants a and and participants brain and during scanning, spatial of is a several of current a of spatial and of significant and is and is more compared with MEG and and electrophysiological and during of during free movement MEG a conventional with movement of new of of brain and of of and technology with a noninvasive brain activity. has significant advantages and of new and of brain of of a higher free movement of a a new brain during a and new of and a of current human brain However, of a brain more advantages of higher spatial of sensitivity, with new better of significant with and and brain is a advantages conventional MEG advantages of MEG signal is and better compared with and of participants and of advantages conventional has of participants of current imaging and of new conventional MEG of instrumentation, free has advantages is has resolution, participants a and and participants brain and during scanning, spatial of is a several of current a of spatial and of significant and is and is more compared with MEG and and electrophysiological and during of during free movement MEG a conventional with movement of new of of brain and of of and technology with a noninvasive brain activity. has significant advantages and of new and of brain of of a higher free movement of a a new brain during a and new of and a of current human brain However, of a brain more advantages of higher spatial of sensitivity, with new better of significant with and and brain is a of of a higher free movement of a a new brain during a and new of and a of current human brain However, of a brain more advantages of higher spatial of sensitivity, with new better of significant with and and brain is a of of a higher free movement of a a new brain during a and new of and a of current human brain However, of a brain more advantages of higher spatial of sensitivity, with new better of significant with and and brain is a a and and and of and and and of a is of and and and is of and of",2022,neuroimaging,neuroscience,True,,,Trends in Neurosciences,trends in neurosciences,False,openalex,Matthew J. Brookes; James Leggett; Molly Rea; Ryan M. Hill; Niall Holmes; Elena Boto; Richard Bowtell,https://doi.org/10.1016/j.tins.2022.05.008,374,,,,35779970,,,,,,,False,,10.1016/j.tins.2022.05.008,,,,
https://openalex.org/W4307347630,10.1093/brain/awac384,Multimodal neuroimaging in post-COVID syndrome and correlation with cognition,"Brain changes have been reported in the first weeks after SARS-CoV-2 infection. However, limited literature exists about brain alterations in post-COVID syndrome, a condition increasingly associated with cognitive impairment. The present study aimed to evaluate brain functional and structural alterations in patients with post-COVID syndrome, and assess whether these brain alterations were related to cognitive dysfunction. Eighty-six patients with post-COVID syndrome and 36 healthy controls were recruited and underwent neuroimaging acquisition and a comprehensive neuropsychological assessment. Cognitive and neuroimaging examinations were performed 11 months after the first symptoms of SARS-CoV-2. Whole-brain functional connectivity analysis was performed. Voxel-based morphometry was performed to evaluate grey matter volume, and diffusion tensor imaging was carried out to analyse white-matter alterations. Correlations between cognition and brain changes were conducted and Bonferroni corrected. Post-COVID syndrome patients presented with functional connectivity changes, characterized by hypoconnectivity between left and right parahippocampal areas, and between bilateral orbitofrontal and cerebellar areas compared to controls. These alterations were accompanied by reduced grey matter volume in cortical, limbic and cerebellar areas, and alterations in white matter axial and mean diffusivity. Grey matter volume loss showed significant associations with cognitive dysfunction. These cognitive and brain alterations were more pronounced in hospitalized patients compared to non-hospitalized patients. No associations with vaccination status were found. The present study shows persistent structural and functional brain abnormalities 11 months after the acute infection. These changes are associated with cognitive dysfunction and contribute to a better understanding of the pathophysiology of the post-COVID syndrome.",2022,neuroimaging,neuroscience,True,,,Brain,brain,False,openalex,María Díez‐Cirarda; Miguel Yus; Natividad Gómez‐Ruiz; Carmen Polidura; Lidia Gil‐Martínez; Cristina Delgado‐Alonso; Manuela Jorquera; Ulises Gómez‐Pinedo; Jorge Matías‐Guiu; Juan Arrazola; Jordi A. Matías‐Guiu,https://www.ncbi.nlm.nih.gov/pmc/articles/9620345,203,,,,36288544,,,,,,,False,,10.1093/brain/awac384,,,,
https://openalex.org/W4294316984,10.1038/s41386-022-01426-x,Neuroimaging in schizophrenia: an overview of findings and their implications for synaptic changes,"Over the last five decades, a large body of evidence has accrued for structural and metabolic brain alterations in schizophrenia. Here we provide an overview of these findings, focusing on measures that have traditionally been thought to reflect synaptic spine density or synaptic activity and that are relevant for understanding if there is lower synaptic density in the disorder. We conducted literature searches to identify meta-analyses or other relevant studies in patients with chronic or first-episode schizophrenia, or in people at high genetic or clinical risk for psychosis. We identified 18 meta-analyses including over 50,000 subjects in total, covering: structural MRI measures of gyrification index, grey matter volume, grey matter density and cortical thickness, neurite orientation dispersion and density imaging, PET imaging of regional glucose metabolism and magnetic resonance spectroscopy measures of N-acetylaspartate. We also review preclinical evidence on the relationship between ex vivo synaptic measures and structural MRI imaging, and PET imaging of synaptic protein 2A (SV2A). These studies show that schizophrenia is associated with lower grey matter volumes and cortical thickness, accelerated grey matter loss over time, abnormal gyrification patterns, and lower regional SV2A levels and metabolic markers in comparison to controls (effect sizes from ~ -0.11 to -1.0). Key regions affected include frontal, anterior cingulate and temporal cortices and the hippocampi. We identify several limitations for the interpretation of these findings in terms of understanding synaptic alterations. Nevertheless, taken with post-mortem findings, they suggest that schizophrenia is associated with lower synaptic density in some brain regions. However, there are several gaps in evidence, in particular whether SV2A findings generalise to other cohorts.",2022,neuroimaging,neuroscience,True,,,Neuropsychopharmacology,neuropsychopharmacology,False,openalex,Oliver Howes; Connor Cummings; George E. Chapman; Ekaterina Shatalina,https://doi.org/10.1038/s41386-022-01426-x,142,,,,36056106,,,,,,,False,,10.1038/s41386-022-01426-x,,,,
https://openalex.org/W4294968711,10.1016/j.neuroimage.2022.119612,Micapipe: A pipeline for multimodal neuroimaging and connectome analysis,"Multimodal magnetic resonance imaging (MRI) has accelerated human neuroscience by fostering the analysis of brain microstructure, geometry, function, and connectivity across multiple scales and in living brains. The richness and complexity of multimodal neuroimaging, however, demands processing methods to integrate information across modalities and to consolidate findings across different spatial scales. Here, we present micapipe, an open processing pipeline for multimodal MRI datasets. Based on BIDS-conform input data, micapipe can generate i) structural connectomes derived from diffusion tractography, ii) functional connectomes derived from resting-state signal correlations, iii) geodesic distance matrices that quantify cortico-cortical proximity, and iv) microstructural profile covariance matrices that assess inter-regional similarity in cortical myelin proxies. The above matrices can be automatically generated across established 18 cortical parcellations (100-1000 parcels), in addition to subcortical and cerebellar parcellations, allowing researchers to replicate findings easily across different spatial scales. Results are represented on three different surface spaces (native, conte69, fsaverage5), and outputs are BIDS-conform. Processed outputs can be quality controlled at the individual and group level. micapipe was tested on several datasets and is available at https://github.com/MICA-MNI/micapipe, documented at https://micapipe.readthedocs.io/, and containerized as a BIDS App http://bids-apps.neuroimaging.io/apps/. We hope that micapipe will foster robust and integrative studies of human brain microstructure, morphology, function, cand connectivity.",2022,neuroimaging,neuroscience,True,,,NeuroImage,neuroimage,True,openalex,Raúl Rodríguez‐Cruces; Jessica Royer; Peer Herholz; Sara Larivière; Reinder Vos de Wael; Casey Paquola; Oualid Benkarim; Bo‐yong Park; Janie Degré‐Pelletier; Mark C. Nelson; Jordan DeKraker; Ilana R. Leppert; Christine Tardif; Jean‐Baptiste Poline; Luis Concha; Boris C. Bernhardt,https://doi.org/10.1016/j.neuroimage.2022.119612,121,,,,36070839,,,,,,,False,,10.1016/j.neuroimage.2022.119612,,,,
https://openalex.org/W4312129526,10.1038/s41593-022-01218-y,Confronting racially exclusionary practices in the acquisition and analyses of neuroimaging data,"Across the brain sciences, institutions and individuals have begun to actively acknowledge and address the presence of racism, bias, and associated barriers to inclusivity within our community. However, even with these recent calls to action, limited attention has been directed to inequities in the research methods and analytic approaches we use. The very process of science, including how we recruit, the methodologies we utilize and the analyses we conduct, can have marked downstream effects on the equity and generalizability of scientific discoveries across the global population. Despite our best intentions, the use of field-standard approaches can inadvertently exclude participants from engaging in research and yield biased brain–behavior relationships. To address these pressing issues, we discuss actionable ways and important questions to move the fields of neuroscience and psychology forward in designing better studies to address the history of exclusionary practices in human brain mapping. The use of field-standard approaches in neuroscience and psychology can exclude participants from research, biasing our understanding of brain–behavior relations. Here the authors discuss how we might address inequity in our scientific methodology.",2022,neuroimaging,neuroscience,True,,,Nature Neuroscience,nature neuroscience,False,openalex,Jocelyn A. Ricard; Termara Parker; Elvisha Dhamala; Jasmine Kwasa; AZA Stephen Allsop; Avram J. Holmes,https://doi.org/10.1038/s41593-022-01218-y,148,,,,36564545,,,,,,,False,,10.1038/s41593-022-01218-y,,,,
https://openalex.org/W4288051001,10.1001/jamapsychiatry.2022.1780,Quantifying Deviations of Brain Structure and Function in Major Depressive Disorder Across Neuroimaging Modalities,"Importance: Identifying neurobiological differences between patients with major depressive disorder (MDD) and healthy individuals has been a mainstay of clinical neuroscience for decades. However, recent meta-analyses have raised concerns regarding the replicability and clinical relevance of brain alterations in depression. Objective: To quantify the upper bounds of univariate effect sizes, estimated predictive utility, and distributional dissimilarity of healthy individuals and those with depression across structural magnetic resonance imaging (MRI), diffusion-tensor imaging, and functional task-based as well as resting-state MRI, and to compare results with an MDD polygenic risk score (PRS) and environmental variables. Design, Setting, and Participants: This was a cross-sectional, case-control clinical neuroimaging study. Data were part of the Marburg-Münster Affective Disorders Cohort Study. Patients with depression and healthy controls were recruited from primary care and the general population in Münster and Marburg, Germany. Study recruitment was performed from September 11, 2014, to September 26, 2018. The sample comprised patients with acute and chronic MDD as well as healthy controls in the age range of 18 to 65 years. Data were analyzed from October 29, 2020, to April 7, 2022. Main Outcomes and Measures: Primary analyses included univariate partial effect size (η2), classification accuracy, and distributional overlapping coefficient for healthy individuals and those with depression across neuroimaging modalities, controlling for age, sex, and additional modality-specific confounding variables. Secondary analyses included patient subgroups for acute or chronic depressive status. Results: A total of 1809 individuals (861 patients [47.6%] and 948 controls [52.4%]) were included in the analysis (mean [SD] age, 35.6 [13.2] years; 1165 female patients [64.4%]). The upper bound of the effect sizes of the single univariate measures displaying the largest group difference ranged from partial η2 of 0.004 to 0.017, and distributions overlapped between 87% and 95%, with classification accuracies ranging between 54% and 56% across neuroimaging modalities. This pattern remained virtually unchanged when considering either only patients with acute or chronic depression. Differences were comparable with those found for PRS but substantially smaller than for environmental variables. Conclusions and Relevance: Results of this case-control study suggest that even for maximum univariate biological differences, deviations between patients with MDD and healthy controls were remarkably small, single-participant prediction was not possible, and similarity between study groups dominated. Biological psychiatry should facilitate meaningful outcome measures or predictive approaches to increase the potential for a personalization of the clinical practice.",2022,neuroimaging,neuroscience,True,,,JAMA Psychiatry,jama psychiatry,False,openalex,Nils R. Winter; Ramona Leenings; Jan Ernsting; Kelvin Sarink; L. Fisch; Daniel Emden; Julian Blanke; Janik Goltermann; Nils Opel; Carlotta Barkhau; Susanne Meinert; Katharina Dohm; Jonathan Repple; Marco Mauritz; Marius Gruber; Elisabeth J. Leehr; Dominik Grotegerd; Ronny Redlich; Andreas Jansen; Igor Nenadić; Markus M. Nöthen; Andreas J. Forstner; Marcella Rietschel; Joachim Groß; Jochen Bauer; Walter Heindel; Till F. M. Andlauer; Simon B. Eickhoff; Tilo Kircher; Udo Dannlowski; Tim Hahn,https://www.ncbi.nlm.nih.gov/pmc/articles/9330277,187,,,,35895072,,,,,,,False,,10.1001/jamapsychiatry.2022.1780,,,,
https://openalex.org/W4309215872,10.3389/fnins.2022.1042814,Neuroimaging in schizophrenia: A review article,"In this review article we have consolidated the imaging literature of patients with schizophrenia across the full spectrum of modalities in radiology including computed tomography (CT), morphologic magnetic resonance imaging (MRI), functional magnetic resonance imaging (fMRI), magnetic resonance spectroscopy (MRS), positron emission tomography (PET), and magnetoencephalography (MEG). We look at the impact of various subtypes of schizophrenia on imaging findings and the changes that occur with medical and transcranial magnetic stimulation (TMS) therapy. Our goal was a comprehensive multimodality summary of the findings of state-of-the-art imaging in untreated and treated patients with schizophrenia. Clinical imaging in schizophrenia is used to exclude structural lesions which may produce symptoms that may mimic those of patients with schizophrenia. Nonetheless one finds global volume loss in the brains of patients with schizophrenia with associated increased cerebrospinal fluid (CSF) volume and decreased gray matter volume. These features may be influenced by the duration of disease and or medication use. For functional studies, be they fluorodeoxyglucose positron emission tomography (FDG PET), rs-fMRI, task-based fMRI, diffusion tensor imaging (DTI) or MEG there generally is hypoactivation and disconnection between brain regions. However, these findings may vary depending upon the negative or positive symptomatology manifested in the patients. MR spectroscopy generally shows low N -acetylaspartate from neuronal loss and low glutamine (a neuroexcitatory marker) but glutathione may be elevated, particularly in non-treatment responders. The literature in schizophrenia is difficult to evaluate because age, gender, symptomatology, comorbidities, therapy use, disease duration, substance abuse, and coexisting other psychiatric disorders have not been adequately controlled for, even in large studies and meta-analyses.",2022,neuroimaging,neuroscience,True,,,Frontiers in Neuroscience,frontiers in neuroscience,True,openalex,Mona Dabiri; Fatemeh Dehghani Firouzabadi; Kun Yang; Peter B. Barker; Roland R. Lee; David M. Yousem,https://doi.org/10.3389/fnins.2022.1042814,88,,,,36458043,,,,,,,False,,10.3389/fnins.2022.1042814,,,,
https://openalex.org/W4225121747,10.1038/s41531-022-00316-9,Neuroimaging evidence of glymphatic system dysfunction in possible REM sleep behavior disorder and Parkinson’s disease,"Alpha-synucleinopathy is postulated to be central to both idiopathic rapid eye movement sleep behaviour disorder (iRBD) and Parkinson's disease (PD). Growing evidence suggests an association between the diminished clearance of α-synuclein and glymphatic system dysfunction. However, evidence accumulating primarily based on clinical data to support glymphatic system dysfunction in patients with iRBD and PD is currently insufficient. This study aimed to use diffusion tensor image analysis along the perivascular space (DTI-ALPS) to evaluate glymphatic system activity and its relationship to clinical scores of disease severity in patients with possible iRBD (piRBDs) and those with PD. Further, we validated the correlation between the ALPS index and the prognosis of PD longitudinally. Overall, 168 patients with PD, 119 piRBDs, and 129 healthy controls were enroled. Among them, 50 patients with PD had been longitudinally reexamined. Patients with PD exhibited a lower ALPS index than those with piRBDs (P = 0.036), and both patient groups showed a lower ALPS index than healthy controls (P < 0.001 and P = 0.001). The ALPS index and elevated disease severity were negatively correlated in the piRBD and PD subgroups. Moreover, the ALPS index was correlated with cognitive decline in patients with PD in the longitudinal analyses. In conclusion, DTI-ALPS provided neuroimaging evidence of glymphatic system dysfunction in piRBDs and patients with PD; however, the potential of assessing the pathological progress of α-synucleinopathies as an indicator is worth verifying. Further development of imaging methods for glymphatic system function is also warranted.",2022,neuroimaging,neuroscience,True,,,npj Parkinson s Disease,npj parkinson s disease,True,openalex,Xiaoli Si; Tao Guo; Zhiyun Wang; Yi Fang; Luyan Gu; Lanxiao Cao; Wenyi Yang; Ting Gao; Zhe Song; Jun Tian; Xinzhen Yin; Xiaojun Guan; Cheng Zhou; Jingjing Wu; Xueqin Bai; Xiaocao Liu; Guohua Zhao; Minming Zhang; Jiali Pu; Baorong Zhang,https://doi.org/10.1038/s41531-022-00316-9,192,,,,35487930,,,,,,,False,,10.1038/s41531-022-00316-9,,,,
https://openalex.org/W4281747958,10.3390/ijms23116079,Neuroimaging Modalities in Alzheimer’s Disease: Diagnosis and Clinical Features,"Alzheimer's disease (AD) is a neurodegenerative disease causing progressive cognitive decline until eventual death. AD affects millions of individuals worldwide in the absence of effective treatment options, and its clinical causes are still uncertain. The onset of dementia symptoms indicates severe neurodegeneration has already taken place. Therefore, AD diagnosis at an early stage is essential as it results in more effective therapy to slow its progression. The current clinical diagnosis of AD relies on mental examinations and brain imaging to determine whether patients meet diagnostic criteria, and biomedical research focuses on finding associated biomarkers by using neuroimaging techniques. Multiple clinical brain imaging modalities emerged as potential techniques to study AD, showing a range of capacity in their preciseness to identify the disease. This review presents the advantages and limitations of brain imaging modalities for AD diagnosis and discusses their clinical value.",2022,neuroimaging,neuroscience,True,,,International Journal of Molecular Sciences,international journal of molecular sciences,True,openalex,JunHyun Kim; Minhong Jeong; Wesley R. Stiles; Hak Soo Choi,https://doi.org/10.3390/ijms23116079,115,,,,35682758,,,,,,,False,,10.3390/ijms23116079,,,,
https://openalex.org/W4206730042,10.3390/s22030740,An Intelligent System for Early Recognition of Alzheimer’s Disease Using Neuroimaging,"Alzheimer's disease (AD) is a neurodegenerative disease that affects brain cells, and mild cognitive impairment (MCI) has been defined as the early phase that describes the onset of AD. Early detection of MCI can be used to save patient brain cells from further damage and direct additional medical treatment to prevent its progression. Lately, the use of deep learning for the early identification of AD has generated a lot of interest. However, one of the limitations of such algorithms is their inability to identify changes in the functional connectivity in the functional brain network of patients with MCI. In this paper, we attempt to elucidate this issue with randomized concatenated deep features obtained from two pre-trained models, which simultaneously learn deep features from brain functional networks from magnetic resonance imaging (MRI) images. We experimented with ResNet18 and DenseNet201 to perform the task of AD multiclass classification. A gradient class activation map was used to mark the discriminating region of the image for the proposed model prediction. Accuracy, precision, and recall were used to assess the performance of the proposed system. The experimental analysis showed that the proposed model was able to achieve 98.86% accuracy, 98.94% precision, and 98.89% recall in multiclass classification. The findings indicate that advanced deep learning with MRI images can be used to classify and predict neurodegenerative brain diseases such as AD.",2022,neuroimaging,neuroscience,True,,,Sensors,sensors,True,openalex,Modupe Odusami; Rytis Maskeliūnas; Robertas Damaševičius,https://doi.org/10.3390/s22030740,126,,,,35161486,,,,,,,False,,10.3390/s22030740,,,,
