id,doi,title,abstract,year,term,discipline,is_oa,license,license_unpaywall,journal,journal_norm,journal_is_oa,source_db,authors,best_oa_location_url,cited_by_count,github,zenodo,osf,pubmed_id,repo_links,code_link,data_link,preregistered,preprint,journal_impact_factor,high_impact_flag,high_impact_reason,doi_norm,dataset_urls,dataset_repos,has_public_dataset,open_science_score
https://openalex.org/W3003299879,10.1161/cir.0000000000000757,Heart Disease and Stroke Statistics—2020 Update: A Report From the American Heart Association,"BACKGROUND: The American Heart Association, in conjunction with the National Institutes of Health, annually reports on the most up-to-date statistics related to heart disease, stroke, and cardiovascular risk factors, including core health behaviors (smoking, physical activity, diet, and weight) and health factors (cholesterol, blood pressure, and glucose control) that contribute to cardiovascular health. The Statistical Update presents the latest data on a range of major clinical heart and circulatory disease conditions (including stroke, congenital heart disease, rhythm disorders, subclinical atherosclerosis, coronary heart disease, heart failure, valvular disease, venous disease, and peripheral artery disease) and the associated outcomes (including quality of care, procedures, and economic costs). METHODS: The American Heart Association, through its Statistics Committee, continuously monitors and evaluates sources of data on heart disease and stroke in the United States to provide the most current information available in the annual Statistical Update. The 2020 Statistical Update is the product of a full year's worth of effort by dedicated volunteer clinicians and scientists, committed government professionals, and American Heart Association staff members. This year's edition includes data on the monitoring and benefits of cardiovascular health in the population, metrics to assess and monitor healthy diets, an enhanced focus on social determinants of health, a focus on the global burden of cardiovascular disease, and further evidence-based approaches to changing behaviors, implementation strategies, and implications of the American Heart Association's 2020 Impact Goals. RESULTS: Each of the 26 chapters in the Statistical Update focuses on a different topic related to heart disease and stroke statistics. CONCLUSIONS: The Statistical Update represents a critical resource for the lay public, policy makers, media professionals, clinicians, healthcare administrators, researchers, health advocates, and others seeking the best available data on these factors and conditions.",2020,stroke,stroke,True,,,Circulation,circulation,False,openalex,Salim S. Virani; Álvaro Alonso; Emelia J. Benjamin; Márcio Sommer Bittencourt; Clifton W. Callaway; April P. Carson; Alanna M. Chamberlain; Alex R. Chang; Susan Cheng; Francesca N. Delling; Luc Djoussé; Mitchell S.V. Elkind; Jane F. Ferguson; Myriam Fornage; Sadiya S. Khan; Brett Kissela; Kristen L. Knutson; Tak Kwan; Daniel T. Lackland; Tené T. Lewis; Judith H. Lichtman; Chris T. Longenecker; Matthew Shane Loop; Pamela L. Lutsey; Seth S. Martin; Kunihiro Matsushita; Andrew E. Moran; Michael E. Mussolino; Amanda M. Perak; Wayne D. Rosamond; Gregory A. Roth; Uchechukwu K.A. Sampson; Gary Satou; Emily B. Schroeder; Svati H. Shah; Christina M. Shay; Nicole L. Spartano; Andrew Stokes; David Tirschwell; Lisa B. VanWagner; Connie W. Tsao,https://doi.org/10.1161/cir.0000000000000757,9336,,,,31992061,,,,,,,False,,10.1161/cir.0000000000000757,,,,
https://openalex.org/W2108790161,10.1161/cir.0000000000000152,Heart disease and stroke statistics--2015 update: a report from the American Heart Association.,"Author(s): Mozaffarian, Dariush; Benjamin, Emelia J; Go, Alan S; Arnett, Donna K; Blaha, Michael J; Cushman, Mary; de Ferranti, Sarah; Despres, Jean-Pierre; Fullerton, Heather J; Howard, Virginia J; Huffman, Mark D; Judd, Suzanne E; Kissela, Brett M; Lackland, Daniel T; Lichtman, Judith H; Lisabeth, Lynda D; Liu, Simin; Mackey, Rachel H; Matchar, David B; McGuire, Darren K; Mohler, Emile R; Moy, Claudia S; Muntner, Paul; Mussolino, Michael E; Nasir, Khurram; Neumar, Robert W; Nichol, Graham; Palaniappan, Latha; Pandey, Dilip K; Reeves, Mathew J; Rodriguez, Carlos J; Sorlie, Paul D; Stein, Joel; Towfighi, Amytis; Turan, Tanya N; Virani, Salim S; Willey, Joshua Z; Woo, Daniel; Yeh, Robert W; Turner, Melanie B; American Heart Association Statistics Committee and Stroke Statistics Subcommittee",2015,stroke,stroke,False,,,PubMed,pubmed,False,openalex,Dariush Mozaffarian; Emelia J. Benjamin; Alan S. Go; Donna K. Arnett; Michael J. Blaha; Mary Cushman; Sarah D. de Ferranti; Jean Després; Heather J. Fullerton; Virginia J. Howard; Mark D. Huffman; Suzanne E. Judd; Brett Kissela; Daniel T. Lackland; Judith H. Lichtman; Lynda D. Lisabeth; Simin Liu; Rachel H. Mackey; David B. Matchar; Darren K. McGuire; Emile R. Mohler; Claudia S. Moy; Paul Muntner; Michael E. Mussolino; Khurram Nasir; Robert W. Neumar; Graham Nichol; Latha Palaniappan; Dilip K. Pandey; Mathew J. Reeves; Carlos J. Rodríguez; Paul D. Sorlie; Joel Stein; Amytis Towfighi; Tanya N. Turan; Salim S. Virani; Joshua Z. Willey; Daniel Woo; Robert W. Yeh; Melanie B. Turner,,8337,,,,25520374,,,,,,,False,,10.1161/cir.0000000000000152,,,,
https://openalex.org/W3197233575,10.1016/s1474-4422(21)00252-0,"Global, regional, and national burden of stroke and its risk factors, 1990–2019: a systematic analysis for the Global Burden of Disease Study 2019","BACKGROUND: Regularly updated data on stroke and its pathological types, including data on their incidence, prevalence, mortality, disability, risk factors, and epidemiological trends, are important for evidence-based stroke care planning and resource allocation. The Global Burden of Diseases, Injuries, and Risk Factors Study (GBD) aims to provide a standardised and comprehensive measurement of these metrics at global, regional, and national levels. METHODS: We applied GBD 2019 analytical tools to calculate stroke incidence, prevalence, mortality, disability-adjusted life-years (DALYs), and the population attributable fraction (PAF) of DALYs (with corresponding 95% uncertainty intervals [UIs]) associated with 19 risk factors, for 204 countries and territories from 1990 to 2019. These estimates were provided for ischaemic stroke, intracerebral haemorrhage, subarachnoid haemorrhage, and all strokes combined, and stratified by sex, age group, and World Bank country income level. FINDINGS: In 2019, there were 12·2 million (95% UI 11·0-13·6) incident cases of stroke, 101 million (93·2-111) prevalent cases of stroke, 143 million (133-153) DALYs due to stroke, and 6·55 million (6·00-7·02) deaths from stroke. Globally, stroke remained the second-leading cause of death (11·6% [10·8-12·2] of total deaths) and the third-leading cause of death and disability combined (5·7% [5·1-6·2] of total DALYs) in 2019. From 1990 to 2019, the absolute number of incident strokes increased by 70·0% (67·0-73·0), prevalent strokes increased by 85·0% (83·0-88·0), deaths from stroke increased by 43·0% (31·0-55·0), and DALYs due to stroke increased by 32·0% (22·0-42·0). During the same period, age-standardised rates of stroke incidence decreased by 17·0% (15·0-18·0), mortality decreased by 36·0% (31·0-42·0), prevalence decreased by 6·0% (5·0-7·0), and DALYs decreased by 36·0% (31·0-42·0). However, among people younger than 70 years, prevalence rates increased by 22·0% (21·0-24·0) and incidence rates increased by 15·0% (12·0-18·0). In 2019, the age-standardised stroke-related mortality rate was 3·6 (3·5-3·8) times higher in the World Bank low-income group than in the World Bank high-income group, and the age-standardised stroke-related DALY rate was 3·7 (3·5-3·9) times higher in the low-income group than the high-income group. Ischaemic stroke constituted 62·4% of all incident strokes in 2019 (7·63 million [6·57-8·96]), while intracerebral haemorrhage constituted 27·9% (3·41 million [2·97-3·91]) and subarachnoid haemorrhage constituted 9·7% (1·18 million [1·01-1·39]). In 2019, the five leading risk factors for stroke were high systolic blood pressure (contributing to 79·6 million [67·7-90·8] DALYs or 55·5% [48·2-62·0] of total stroke DALYs), high body-mass index (34·9 million [22·3-48·6] DALYs or 24·3% [15·7-33·2]), high fasting plasma glucose (28·9 million [19·8-41·5] DALYs or 20·2% [13·8-29·1]), ambient particulate matter pollution (28·7 million [23·4-33·4] DALYs or 20·1% [16·6-23·0]), and smoking (25·3 million [22·6-28·2] DALYs or 17·6% [16·4-19·0]). INTERPRETATION: The annual number of strokes and deaths due to stroke increased substantially from 1990 to 2019, despite substantial reductions in age-standardised rates, particularly among people older than 70 years. The highest age-standardised stroke-related mortality and DALY rates were in the World Bank low-income group. The fastest-growing risk factor for stroke between 1990 and 2019 was high body-mass index. Without urgent implementation of effective primary prevention strategies, the stroke burden will probably continue to grow across the world, particularly in low-income countries. FUNDING: Bill & Melinda Gates Foundation.",2021,stroke,stroke,True,,,The Lancet Neurology,the lancet neurology,False,openalex,Valery L. Feigin; Benjamin Stark; Catherine O. Johnson; Gregory A. Roth; Catherine Bisignano; Gdiom Gebreheat Abady; Mitra Abbasifard; Mohsen Abbasi‐Kangevari; Foad Abd-Allah; Vida Abedi; Ahmed Abualhasan; Niveen ME Abu-Rmeileh; Abdelrahman Ibrahim Abushouk; Oladimeji Adebayo; Gina Agarwal; Pradyumna Agasthi; Bright Opoku Ahinkorah; Sohail Ahmad; Sepideh Ahmadi; Yusra Ahmed Salih; Budi Aji; Samaneh Akbarpour; Rufus Akinyemi; Hanadi Al Hamad; Fares Alahdab; Sheikh Mohammad Alif; Vahid Alipour; Syed Mohamed Aljunid; Sami Almustanyir; Rajaa Al‐Raddadi; Rustam Al‐Shahi Salman; Nelson Alvis‐Guzmán; Robert Ancuceanu; Deanna Anderlini; Jason A Anderson; Adnan Ansar; Ippazio Cosimo Antonazzo; Jalal Arabloo; Johan Ärnlöv; Kurnia Dwi Artanti; Zahra Aryan; Samaneh Asgari; Tahira Ashraf; Mohammad Athar; Alok Atreya; Marcel Ausloos; Atif Amin Baig; Ovidiu Constantin Baltatu; Maciej Banach; Miguel A. Barboza; Suzanne Barker‐Collo; Till Bärnighausen; Mark Thomaz Ugliara Barone; Sanjay Basu; Gholamreza Bazmandegan; Ettore Beghi; Mahya Beheshti; Yannick Béjot; Arielle Wilder Bell; Derrick Bennett; Isabela M. Benseñor; Woldesellassie Bezabhe; Yihienew Mequanint Bezabih; Akshaya Srikanth Bhagavathula; Pankaj Bhardwaj; Krittika Bhattacharyya; Ali Bijani; Boris Bikbov; Mulugeta Molla Birhanu; Archith Boloor; Aimé Bonny; Michael Bräuer; Hermann Brenner; Dana Bryazka; Zahid A Butt; Florentino Luciano Caetano dos Santos; Ismael Campos‐Nonato; Carlos Cantú‐Brito; Juan Jesús Carrero; Carlos A Castañeda-Orjuela; Alberico L. Catapano; Promit Ananyo Chakraborty; Jaykaran Charan; Sonali G Choudhari; E. Chowdhury; Dinh‐Toi Chu; Sheng‐Chia Chung; David Colozza; Vera Marisa Costa; Simona Costanzo; Michael H Criqui; Omid Dadras; Baye Dagnew; Xiaochen Dai; Koustuv Dalal; Albertino Antonio Moura Damasceno; Emanuele D’Amico; Lalit Dandona; Rakhi Dandona; Jiregna Darega Gela,https://doi.org/10.1016/s1474-4422(21)00252-0,7459,,,,34487721,,,,,,,False,,10.1016/s1474-4422(21)00252-0,,,,
https://openalex.org/W2791453970,10.1161/cir.0000000000000558,Heart Disease and Stroke Statistics—2018 Update: A Report From the American Heart Association,"Each chapter listed in the Table of Contents (see next page) is a hyperlink to that chapter. The reader clicks the chapter name to access that chapter.

Each chapter listed here is a hyperlink. Click on the chapter name to be taken to that chapter. 

Each year, the American Heart Association (AHA), in conjunction with the Centers for Disease Control and Prevention, the National Institutes of Health, and other government agencies, brings together in a single document the most up-to-date statistics related to heart disease, stroke, and the cardiovascular risk factors listed in the AHA’s My Life Check - Life’s Simple 7 (Figure1), which include core health behaviors (smoking, physical activity, diet, and weight) and health factors (cholesterol, blood pressure [BP], and glucose control) that contribute to cardiovascular health. The Statistical Update represents …",2018,stroke,stroke,False,,,Circulation,circulation,False,openalex,Emelia J. Benjamin; Salim S. Virani; Clifton W. Callaway; Alanna M. Chamberlain; Alex R. Chang; Susan Cheng; Stephanie E. Chiuve; Mary Cushman; Francesca N. Delling; Rajat Deo; Sarah D. de Ferranti; Jane F. Ferguson; Myriam Fornage; Cathleen Gillespie; Carmen R. Isasi; Monik C. Jiménez; Lori Chaffin Jordan; Suzanne E. Judd; Daniel T. Lackland; Judith H. Lichtman; Lynda D. Lisabeth; Simin Liu; Chris T. Longenecker; Pamela L. Lutsey; Jason Mackey; David B. Matchar; Kunihiro Matsushita; Michael E. Mussolino; Khurram Nasir; Martín O’Flaherty; Latha Palaniappan; Ambarish Pandey; Dilip K. Pandey; Mathew J. Reeves; Matthew D. Ritchey; Carlos J. Rodríguez; Gregory A. Roth; Wayne D. Rosamond; Uchechukwu K.A. Sampson; Gary Satou; Svati H. Shah; Nicole L. Spartano; David Tirschwell; Connie W. Tsao; Jenifer H. Voeks; Joshua Z. Willey; John T. Wilkins; Jason Wu; Heather M. Alger; Sally S. Wong; Paul Muntner,,7205,,,,29386200,,,,,,,False,,10.1161/cir.0000000000000558,,,,
https://openalex.org/W2982303713,10.1161/str.0000000000000211,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke: A Guideline for Healthcare Professionals From the American Heart Association/American Stroke Association,"Background and Purpose- The purpose of these guidelines is to provide an up-to-date comprehensive set of recommendations in a single document for clinicians caring for adult patients with acute arterial ischemic stroke. The intended audiences are prehospital care providers, physicians, allied health professionals, and hospital administrators. These guidelines supersede the 2013 Acute Ischemic Stroke (AIS) Guidelines and are an update of the 2018 AIS Guidelines. Methods- Members of the writing group were appointed by the American Heart Association (AHA) Stroke Council's Scientific Statements Oversight Committee, representing various areas of medical expertise. Members were not allowed to participate in discussions or to vote on topics relevant to their relations with industry. An update of the 2013 AIS Guidelines was originally published in January 2018. This guideline was approved by the AHA Science Advisory and Coordinating Committee and the AHA Executive Committee. In April 2018, a revision to these guidelines, deleting some recommendations, was published online by the AHA. The writing group was asked review the original document and revise if appropriate. In June 2018, the writing group submitted a document with minor changes and with inclusion of important newly published randomized controlled trials with >100 participants and clinical outcomes at least 90 days after AIS. The document was sent to 14 peer reviewers. The writing group evaluated the peer reviewers' comments and revised when appropriate. The current final document was approved by all members of the writing group except when relationships with industry precluded members from voting and by the governing bodies of the AHA. These guidelines use the American College of Cardiology/AHA 2015 Class of Recommendations and Level of Evidence and the new AHA guidelines format. Results- These guidelines detail prehospital care, urgent and emergency evaluation and treatment with intravenous and intra-arterial therapies, and in-hospital management, including secondary prevention measures that are appropriately instituted within the first 2 weeks. The guidelines support the overarching concept of stroke systems of care in both the prehospital and hospital settings. Conclusions- These guidelines provide general recommendations based on the currently available evidence to guide clinicians caring for adult patients with acute arterial ischemic stroke. In many instances, however, only limited data exist demonstrating the urgent need for continued research on treatment of acute ischemic stroke.",2019,stroke,stroke,False,,,Stroke,stroke,False,openalex,William J. Powers; Alejandro A. Rabinstein; Teri Ackerson; Opeolu Adeoye; Nicholas C. Bambakidis; Kyra J. Becker; José Biller; Michael D. Brown; Bart M. Demaerschalk; Brian L. Hoh; Edward C. Jauch; Chelsea S. Kidwell; Thabele M Leslie‐Mazwi; Bruce Ovbiagele; Phillip Scott; Kevin N. Sheth; Andrew M. Southerland; Deborah Summers; David Tirschwell,,7179,,,,31662037,,,,,,,False,,10.1161/str.0000000000000211,,,,
https://openalex.org/W2196906371,10.1161/cir.0000000000000350,Heart Disease and Stroke Statistics—2016 Update,"Each year, the American Heart Association (AHA), in conjunction with the Centers for Disease Control and Prevention, the National Institutes of Health, and other government agencies, brings together the most up-to-date statistics related to heart disease, stroke, and other cardiovascular and metabolic diseases and presents them in its Heart Disease and Stroke Statistical Update. The Statistical Update represents a critical resource for the lay public, policy makers, media professionals, clinicians, healthcare administrators, researchers, and others seeking the best available data on these conditions. Together, cardiovascular disease (CVD) and stroke produce immense health and economic burdens in the United States and globally. The Statistical Update brings together in a single document up-to-date information on the core health behaviors (including diet, physical activity [PA], smoking, and energy balance) and health factors (including blood pressure, cholesterol, and glucose) that define cardiovascular health; a range of major clinical disease conditions (including stroke, congenital heart disease, rhythm disorders, subclinical atherosclerosis, coronary heart disease, heart failure, valvular disease, and peripheral arterial disease); and the associated outcomes (including quality of care, procedures, and economic costs). Since 2006, the annual versions of the Statistical Update have been cited &gt;28 000 times in the literature. In 2014 alone, the various Statistical Updates were cited &gt;5000 times. Each annual version of the Statistical Update undergoes major revisions to include the newest nationally representative data, add additional relevant published scientific findings, remove older information, add new sections or chapters, and increase the number of ways to access and use the assembled information. This year-long process, which begins as soon as the previous Statistical Update is published, is performed by the AHA Statistics Committee faculty volunteers and staff. For example, this year's edition includes new data on the monitoring and benefits of cardiovascular health in the population, new metrics to assess and monitor healthy diets, additional information in many chapters on the global CVD and stroke burden, new information on stroke in young adults, a new focus on underserved and minority populations, and further evidence-based approaches to changing behaviors, implementation strategies, and implications of the AHA's 2020 Impact Goals. Below are a few highlights from this year's Update.",2015,stroke,stroke,False,,,Circulation,circulation,False,openalex,Dariush Mozaffarian; Emelia J. Benjamin; Alan S. Go; Donna K. Arnett; Michael J. Blaha; Mary Cushman; Sandeep R. Das; Sarah D. de Ferranti; Jean‐Pierre Després; Heather J. Fullerton; Virginia J. Howard; Mark D. Huffman; Carmen R. Isasi; Monik C. Jiménez; Suzanne E. Judd; Brett Kissela; Judith H. Lichtman; Lynda D. Lisabeth; Simin Liu; Rachel H. Mackey; David J. Magid; Darren K. McGuire; Emile R. Mohler; Claudia S. Moy; Paul Muntner; Michael E. Mussolino; Khurram Nasir; Robert W. Neumar; Graham Nichol; Latha Palaniappan; Dilip K. Pandey; Mathew J. Reeves; Carlos J. Rodríguez; Wayne D. Rosamond; Paul D. Sorlie; Joel Stein; Amytis Towfighi; Tanya N. Turan; Salim S. Virani; Daniel Woo; Robert W. Yeh; Melanie B. Turner,,6632,,,,26673558,,,,,,,False,,10.1161/cir.0000000000000350,,,,
https://openalex.org/W2171058244,10.1056/nejmoa1414905,Randomized Assessment of Rapid Endovascular Treatment of Ischemic Stroke,"BACKGROUND: Among patients with a proximal vessel occlusion in the anterior circulation, 60 to 80% of patients die within 90 days after stroke onset or do not regain functional independence despite alteplase treatment. We evaluated rapid endovascular treatment in addition to standard care in patients with acute ischemic stroke with a small infarct core, a proximal intracranial arterial occlusion, and moderate-to-good collateral circulation. METHODS: We randomly assigned participants to receive standard care (control group) or standard care plus endovascular treatment with the use of available thrombectomy devices (intervention group). Patients with a proximal intracranial occlusion in the anterior circulation were included up to 12 hours after symptom onset. Patients with a large infarct core or poor collateral circulation on computed tomography (CT) and CT angiography were excluded. Workflow times were measured against predetermined targets. The primary outcome was the score on the modified Rankin scale (range, 0 [no symptoms] to 6 [death]) at 90 days. A proportional odds model was used to calculate the common odds ratio as a measure of the likelihood that the intervention would lead to lower scores on the modified Rankin scale than would control care (shift analysis). RESULTS: The trial was stopped early because of efficacy. At 22 centers worldwide, 316 participants were enrolled, of whom 238 received intravenous alteplase (120 in the intervention group and 118 in the control group). In the intervention group, the median time from study CT of the head to first reperfusion was 84 minutes. The rate of functional independence (90-day modified Rankin score of 0 to 2) was increased with the intervention (53.0%, vs. 29.3% in the control group; P<0.001). The primary outcome favored the intervention (common odds ratio, 2.6; 95% confidence interval, 1.7 to 3.8; P<0.001), and the intervention was associated with reduced mortality (10.4%, vs. 19.0% in the control group; P=0.04). Symptomatic intracerebral hemorrhage occurred in 3.6% of participants in intervention group and 2.7% of participants in control group (P=0.75). CONCLUSIONS: Among patients with acute ischemic stroke with a proximal vessel occlusion, a small infarct core, and moderate-to-good collateral circulation, rapid endovascular treatment improved functional outcomes and reduced mortality. (Funded by Covidien and others; ESCAPE ClinicalTrials.gov number, NCT01778335.).",2015,stroke,stroke,True,,,New England Journal of Medicine,new england journal of medicine,False,openalex,Mayank Goyal; Andrew M. Demchuk; Bijoy K. Menon; Muneer Eesa; Jeremy Rempel; John Thornton; Daniel Roy; Tudor G. Jovin; Robert A. Willinsky; Biggya L. Sapkota; Dar Dowlatshahi; Donald Frei; Noreen Kamal; Walter Montanera; Alexandre Y. Poppe; Karla J. Ryckborst; Frank L. Silver; Ashfaq Shuaib; Donatella Tampieri; David Williams; Oh Young Bang; Blaise Baxter; Paul Burns; Hana Choe; Ji Hoe Heo; Christine A Holmstedt; Brian T. Jankowitz; Michael Kelly; Guillermo Linares; Jennifer Mandzia; Jai Shankar; Sung‐Il Sohn; Richard H. Swartz; Philip A. Barber; Shelagh B. Coutts; Eric E. Smith; William Morrish; Alain Weill; Suresh Subramaniam; Alim P. Mitha; John Wong; Mark Lowerison; Tolulope T. Sajobi; Michael D. Hill,https://doi.org/10.1056/nejmoa1414905,6018,,,,25671798,,,,,,,False,,10.1056/nejmoa1414905,,,,
https://openalex.org/W4210242902,10.1161/cir.0000000000001052,Heart Disease and Stroke Statistics—2022 Update: A Report From the American Heart Association,"BACKGROUND: The American Heart Association, in conjunction with the National Institutes of Health, annually reports the most up-to-date statistics related to heart disease, stroke, and cardiovascular risk factors, including core health behaviors (smoking, physical activity, diet, and weight) and health factors (cholesterol, blood pressure, and glucose control) that contribute to cardiovascular health. The Statistical Update presents the latest data on a range of major clinical heart and circulatory disease conditions (including stroke, congenital heart disease, rhythm disorders, subclinical atherosclerosis, coronary heart disease, heart failure, valvular disease, venous disease, and peripheral artery disease) and the associated outcomes (including quality of care, procedures, and economic costs). METHODS: The American Heart Association, through its Statistics Committee, continuously monitors and evaluates sources of data on heart disease and stroke in the United States to provide the most current information available in the annual Statistical Update. The 2022 Statistical Update is the product of a full year's worth of effort by dedicated volunteer clinicians and scientists, committed government professionals, and American Heart Association staff members. This year's edition includes data on the monitoring and benefits of cardiovascular health in the population and an enhanced focus on social determinants of health, adverse pregnancy outcomes, vascular contributions to brain health, and the global burden of cardiovascular disease and healthy life expectancy. RESULTS: Each of the chapters in the Statistical Update focuses on a different topic related to heart disease and stroke statistics. CONCLUSIONS: The Statistical Update represents a critical resource for the lay public, policymakers, media professionals, clinicians, health care administrators, researchers, health advocates, and others seeking the best available data on these factors and conditions.",2022,stroke,stroke,True,,,Circulation,circulation,False,openalex,Connie W. Tsao; Aaron W. Aday; Zaid Almarzooq; Álvaro Alonso; Andrea Beaton; Márcio Sommer Bittencourt; Amelia K. Boehme; Alfred E. Buxton; April P. Carson; Yvonne Commodore‐Mensah; Mitchell S.V. Elkind; Kelly R. Evenson; Chete Eze‐Nliam; Jane F. Ferguson; Giuliano Generoso; Jennifer E. Ho; Rizwan Kalani; Sadiya S. Khan; Brett Kissela; Kristen L. Knutson; Deborah A. Levine; Tené T. Lewis; Junxiu Liu; Matthew Shane Loop; Jun Ma; Michael E. Mussolino; Sankar D. Navaneethan; Amanda M. Perak; Remy Poudel; Mary Rezk‐Hanna; Gregory A. Roth; Emily B. Schroeder; Svati H. Shah; Evan L. Thacker; Lisa B. VanWagner; Salim S. Virani; Jenifer H. Voecks; Nae‐Yuh Wang; Kristine Yaffe; Seth S. Martin,https://doi.org/10.1161/cir.0000000000001052,5985,,,,35078371,,,,,,,False,,10.1161/cir.0000000000001052,,,,
https://openalex.org/W4211191293,10.1161/cir.0000000000001123,Heart Disease and Stroke Statistics—2023 Update: A Report From the American Heart Association,"BACKGROUND: The American Heart Association, in conjunction with the National Institutes of Health, annually reports the most up-to-date statistics related to heart disease, stroke, and cardiovascular risk factors, including core health behaviors (smoking, physical activity, diet, and weight) and health factors (cholesterol, blood pressure, and glucose control) that contribute to cardiovascular health. The Statistical Update presents the latest data on a range of major clinical heart and circulatory disease conditions (including stroke, congenital heart disease, rhythm disorders, subclinical atherosclerosis, coronary heart disease, heart failure, valvular disease, venous disease, and peripheral artery disease) and the associated outcomes (including quality of care, procedures, and economic costs). METHODS: The American Heart Association, through its Epidemiology and Prevention Statistics Committee, continuously monitors and evaluates sources of data on heart disease and stroke in the United States to provide the most current information available in the annual Statistical Update with review of published literature through the year before writing. The 2023 Statistical Update is the product of a full year's worth of effort in 2022 by dedicated volunteer clinicians and scientists, committed government professionals, and American Heart Association staff members. The American Heart Association strives to further understand and help heal health problems inflicted by structural racism, a public health crisis that can significantly damage physical and mental health and perpetuate disparities in access to health care, education, income, housing, and several other factors vital to healthy lives. This year's edition includes additional COVID-19 (coronavirus disease 2019) publications, as well as data on the monitoring and benefits of cardiovascular health in the population, with an enhanced focus on health equity across several key domains. RESULTS: Each of the chapters in the Statistical Update focuses on a different topic related to heart disease and stroke statistics. CONCLUSIONS: The Statistical Update represents a critical resource for the lay public, policymakers, media professionals, clinicians, health care administrators, researchers, health advocates, and others seeking the best available data on these factors and conditions.",2023,stroke,stroke,False,,,Circulation,circulation,False,openalex,Connie W. Tsao; Aaron W. Aday; Zaid Almarzooq; Cheryl A.M. Anderson; Pankaj Arora; Christy L. Avery; Carissa M. Baker‐Smith; Andrea Beaton; Amelia K. Boehme; Alfred E. Buxton; Yvonne Commodore‐Mensah; Mitchell S.V. Elkind; Kelly R. Evenson; Chete Eze‐Nliam; Setri Fugar; Giuliano Generoso; Debra G. Heard; Swapnil Hiremath; Jennifer E. Ho; Rizwan Kalani; Dhruv S. Kazi; Darae Ko; Deborah A. Levine; Junxiu Liu; Jun Ma; Jared W. Magnani; Erin D. Michos; Michael E. Mussolino; Sankar D. Navaneethan; Nisha I. Parikh; Remy Poudel; Mary Rezk‐Hanna; Gregory A. Roth; Nilay S. Shah; Marie‐Pierre St‐Onge; Evan L. Thacker; Salim S. Virani; Jenifer H. Voeks; Nae‐Yuh Wang; Nathan D. Wong; Sally S. Wong; Kristine Yaffe; Seth S. Martin,,5843,,,,36695182,,,,,,,False,,10.1161/cir.0000000000001123,,,,
https://openalex.org/W2119542322,10.1056/nejmoa1414792,Endovascular Therapy for Ischemic Stroke with Perfusion-Imaging Selection,"BACKGROUND: Trials of endovascular therapy for ischemic stroke have produced variable results. We conducted this study to test whether more advanced imaging selection, recently developed devices, and earlier intervention improve outcomes. METHODS: We randomly assigned patients with ischemic stroke who were receiving 0.9 mg of alteplase per kilogram of body weight less than 4.5 hours after the onset of ischemic stroke either to undergo endovascular thrombectomy with the Solitaire FR (Flow Restoration) stent retriever or to continue receiving alteplase alone. All the patients had occlusion of the internal carotid or middle cerebral artery and evidence of salvageable brain tissue and ischemic core of less than 70 ml on computed tomographic (CT) perfusion imaging. The coprimary outcomes were reperfusion at 24 hours and early neurologic improvement (≥8-point reduction on the National Institutes of Health Stroke Scale or a score of 0 or 1 at day 3). Secondary outcomes included the functional score on the modified Rankin scale at 90 days. RESULTS: The trial was stopped early because of efficacy after 70 patients had undergone randomization (35 patients in each group). The percentage of ischemic territory that had undergone reperfusion at 24 hours was greater in the endovascular-therapy group than in the alteplase-only group (median, 100% vs. 37%; P<0.001). Endovascular therapy, initiated at a median of 210 minutes after the onset of stroke, increased early neurologic improvement at 3 days (80% vs. 37%, P=0.002) and improved the functional outcome at 90 days, with more patients achieving functional independence (score of 0 to 2 on the modified Rankin scale, 71% vs. 40%; P=0.01). There were no significant differences in rates of death or symptomatic intracerebral hemorrhage. CONCLUSIONS: In patients with ischemic stroke with a proximal cerebral arterial occlusion and salvageable tissue on CT perfusion imaging, early thrombectomy with the Solitaire FR stent retriever, as compared with alteplase alone, improved reperfusion, early neurologic recovery, and functional outcome. (Funded by the Australian National Health and Medical Research Council and others; EXTEND-IA ClinicalTrials.gov number, NCT01492725, and Australian New Zealand Clinical Trials Registry number, ACTRN12611000969965.).",2015,stroke,stroke,True,,,New England Journal of Medicine,new england journal of medicine,False,openalex,Bruce Campbell; Peter Mitchell; Timothy Kleinig; Helen M. Dewey; Leonid Churilov; Nawaf Yassi; Bernard Yan; Richard Dowling; Mark Parsons; Thomas J. Oxley; Teddy Y. Wu; Mark Brooks; Marion Simpson; Ferdinand Miteff; Christopher Levi; Martín Krause; Timothy Harrington; Kenneth Faulder; Brendan Steinfort; Miriam Priglinger; Timothy Ang; Rebecca Scroop; P. Alan Barber; Ben McGuinness; Tissa Wijeratne; Thanh G. Phan; Winston Chong; Ronil V. Chandra; Christopher F. Bladin; Monica Badve; Henry E. Rice; Laetitia de Villiers; Henry Ma; Patricia Desmond; Geoffrey A. Donnan; Stephen M. Davis,https://doi.org/10.1056/nejmoa1414792,5788,,,,25671797,,,,,,,False,,10.1056/nejmoa1414792,,,,
