id,doi,title,abstract,year,term,discipline,is_oa,license,license_unpaywall,journal,journal_norm,journal_is_oa,source_db,authors,best_oa_location_url,cited_by_count,github,zenodo,osf,pubmed_id,repo_links,code_link,data_link,preregistered,preprint,journal_impact_factor,high_impact_flag,high_impact_reason,doi_norm,dataset_urls,dataset_repos,has_public_dataset,open_science_score
https://openalex.org/W2900413769,10.1056/nejmoa1812389,Dapagliflozin and Cardiovascular Outcomes in Type 2 Diabetes,"BACKGROUND: The cardiovascular safety profile of dapagliflozin, a selective inhibitor of sodium-glucose cotransporter 2 that promotes glucosuria in patients with type 2 diabetes, is undefined. METHODS: of body-surface area, new end-stage renal disease, or death from renal or cardiovascular causes) and death from any cause. RESULTS: We evaluated 17,160 patients, including 10,186 without atherosclerotic cardiovascular disease, who were followed for a median of 4.2 years. In the primary safety outcome analysis, dapagliflozin met the prespecified criterion for noninferiority to placebo with respect to MACE (upper boundary of the 95% confidence interval [CI], <1.3; P<0.001 for noninferiority). In the two primary efficacy analyses, dapagliflozin did not result in a lower rate of MACE (8.8% in the dapagliflozin group and 9.4% in the placebo group; hazard ratio, 0.93; 95% CI, 0.84 to 1.03; P=0.17) but did result in a lower rate of cardiovascular death or hospitalization for heart failure (4.9% vs. 5.8%; hazard ratio, 0.83; 95% CI, 0.73 to 0.95; P=0.005), which reflected a lower rate of hospitalization for heart failure (hazard ratio, 0.73; 95% CI, 0.61 to 0.88); there was no between-group difference in cardiovascular death (hazard ratio, 0.98; 95% CI, 0.82 to 1.17). A renal event occurred in 4.3% in the dapagliflozin group and in 5.6% in the placebo group (hazard ratio, 0.76; 95% CI, 0.67 to 0.87), and death from any cause occurred in 6.2% and 6.6%, respectively (hazard ratio, 0.93; 95% CI, 0.82 to 1.04). Diabetic ketoacidosis was more common with dapagliflozin than with placebo (0.3% vs. 0.1%, P=0.02), as was the rate of genital infections that led to discontinuation of the regimen or that were considered to be serious adverse events (0.9% vs. 0.1%, P<0.001). CONCLUSIONS: In patients with type 2 diabetes who had or were at risk for atherosclerotic cardiovascular disease, treatment with dapagliflozin did not result in a higher or lower rate of MACE than placebo but did result in a lower rate of cardiovascular death or hospitalization for heart failure, a finding that reflects a lower rate of hospitalization for heart failure. (Funded by AstraZeneca; DECLARE-TIMI 58 ClinicalTrials.gov number, NCT01730534 .).",2018,cardiovascular,cardiology,True,,,New England Journal of Medicine,new england journal of medicine,False,openalex,Stephen D. Wiviott; Itamar Raz; Marc P. Bonaca; Ofri Mosenzon; Eri Kato; Avivit Cahn; Michael G. Silverman; Thomas A. Zelniker; Julia Kuder; Sabina A. Murphy; Deepak L. Bhatt; Lawrence A. Leiter; Darren K. McGuire; John Wilding; Christian T. Ruff; Ingrid Gause‐Nilsson; Martin Fredriksson; Peter A. Johansson; Anna-Maria Langkilde; Marc S. Sabatine,https://doi.org/10.1056/nejmoa1812389,6255,,,,30415602,,,,,,,False,,10.1056/nejmoa1812389,,,,
https://openalex.org/W2899669642,10.1056/nejmoa1812792,Cardiovascular Risk Reduction with Icosapent Ethyl for Hypertriglyceridemia,"BACKGROUND: Patients with elevated triglyceride levels are at increased risk for ischemic events. Icosapent ethyl, a highly purified eicosapentaenoic acid ethyl ester, lowers triglyceride levels, but data are needed to determine its effects on ischemic events. METHODS: We performed a multicenter, randomized, double-blind, placebo-controlled trial involving patients with established cardiovascular disease or with diabetes and other risk factors, who had been receiving statin therapy and who had a fasting triglyceride level of 135 to 499 mg per deciliter (1.52 to 5.63 mmol per liter) and a low-density lipoprotein cholesterol level of 41 to 100 mg per deciliter (1.06 to 2.59 mmol per liter). The patients were randomly assigned to receive 2 g of icosapent ethyl twice daily (total daily dose, 4 g) or placebo. The primary end point was a composite of cardiovascular death, nonfatal myocardial infarction, nonfatal stroke, coronary revascularization, or unstable angina. The key secondary end point was a composite of cardiovascular death, nonfatal myocardial infarction, or nonfatal stroke. RESULTS: A total of 8179 patients were enrolled (70.7% for secondary prevention of cardiovascular events) and were followed for a median of 4.9 years. A primary end-point event occurred in 17.2% of the patients in the icosapent ethyl group, as compared with 22.0% of the patients in the placebo group (hazard ratio, 0.75; 95% confidence interval [CI], 0.68 to 0.83; P<0.001); the corresponding rates of the key secondary end point were 11.2% and 14.8% (hazard ratio, 0.74; 95% CI, 0.65 to 0.83; P<0.001). The rates of additional ischemic end points, as assessed according to a prespecified hierarchical schema, were significantly lower in the icosapent ethyl group than in the placebo group, including the rate of cardiovascular death (4.3% vs. 5.2%; hazard ratio, 0.80; 95% CI, 0.66 to 0.98; P=0.03). A larger percentage of patients in the icosapent ethyl group than in the placebo group were hospitalized for atrial fibrillation or flutter (3.1% vs. 2.1%, P=0.004). Serious bleeding events occurred in 2.7% of the patients in the icosapent ethyl group and in 2.1% in the placebo group (P=0.06). CONCLUSIONS: Among patients with elevated triglyceride levels despite the use of statins, the risk of ischemic events, including cardiovascular death, was significantly lower among those who received 2 g of icosapent ethyl twice daily than among those who received placebo. (Funded by Amarin Pharma; REDUCE-IT ClinicalTrials.gov number, NCT01492361 .).",2018,cardiovascular,cardiology,False,,,New England Journal of Medicine,new england journal of medicine,False,openalex,Deepak L. Bhatt; Philippe Gabríel Steg; Michael Miller; Eliot A. Brinton; Terry A. Jacobson; Steven Ketchum; Ralph T. Doyle; Rebecca A. Juliano; Lixia Jiao; Craig Granowitz; Jean‐Claude Tardif; Christie M. Ballantyne,,3216,,,,30415628,,,,,,,False,,10.1056/nejmoa1812792,,,,
https://openalex.org/W2899997727,10.1056/nejmoa1801174,Alirocumab and Cardiovascular Outcomes after Acute Coronary Syndrome,"BACKGROUND: Patients who have had an acute coronary syndrome are at high risk for recurrent ischemic cardiovascular events. We sought to determine whether alirocumab, a human monoclonal antibody to proprotein convertase subtilisin-kexin type 9 (PCSK9), would improve cardiovascular outcomes after an acute coronary syndrome in patients receiving high-intensity statin therapy. METHODS: We conducted a multicenter, randomized, double-blind, placebo-controlled trial involving 18,924 patients who had an acute coronary syndrome 1 to 12 months earlier, had a low-density lipoprotein (LDL) cholesterol level of at least 70 mg per deciliter (1.8 mmol per liter), a non-high-density lipoprotein cholesterol level of at least 100 mg per deciliter (2.6 mmol per liter), or an apolipoprotein B level of at least 80 mg per deciliter, and were receiving statin therapy at a high-intensity dose or at the maximum tolerated dose. Patients were randomly assigned to receive alirocumab subcutaneously at a dose of 75 mg (9462 patients) or matching placebo (9462 patients) every 2 weeks. The dose of alirocumab was adjusted under blinded conditions to target an LDL cholesterol level of 25 to 50 mg per deciliter (0.6 to 1.3 mmol per liter). The primary end point was a composite of death from coronary heart disease, nonfatal myocardial infarction, fatal or nonfatal ischemic stroke, or unstable angina requiring hospitalization. RESULTS: The median duration of follow-up was 2.8 years. A composite primary end-point event occurred in 903 patients (9.5%) in the alirocumab group and in 1052 patients (11.1%) in the placebo group (hazard ratio, 0.85; 95% confidence interval [CI], 0.78 to 0.93; P<0.001). A total of 334 patients (3.5%) in the alirocumab group and 392 patients (4.1%) in the placebo group died (hazard ratio, 0.85; 95% CI, 0.73 to 0.98). The absolute benefit of alirocumab with respect to the composite primary end point was greater among patients who had a baseline LDL cholesterol level of 100 mg or more per deciliter than among patients who had a lower baseline level. The incidence of adverse events was similar in the two groups, with the exception of local injection-site reactions (3.8% in the alirocumab group vs. 2.1% in the placebo group). CONCLUSIONS: Among patients who had a previous acute coronary syndrome and who were receiving high-intensity statin therapy, the risk of recurrent ischemic cardiovascular events was lower among those who received alirocumab than among those who received placebo. (Funded by Sanofi and Regeneron Pharmaceuticals; ODYSSEY OUTCOMES ClinicalTrials.gov number, NCT01663402 .).",2018,cardiovascular,cardiology,True,,,New England Journal of Medicine,new england journal of medicine,False,openalex,Gregory G. Schwartz; Philippe Gabríel Steg; Michael Szarek; Deepak L. Bhatt; Vera Bittner; Rafael Díaz; Jay M. Edelberg; Shaun G. Goodman; Corinne Hanotin; Robert A. Harrington; J. Wouter Jukema; Guillaume Lecorps; Kenneth W. Mahaffey; Angèle Moryusef; Robert Pordy; Kirby Quintero; Matthew T. Roe; William J. Sasiela; Jean‐François Tamby; Pierluigi Tricoci; Harvey D. White; Andreas M. Zeiher,https://doi.org/10.1056/nejmoa1801174,3465,,,,30403574,,,,,,,False,,10.1056/nejmoa1801174,,,,
https://openalex.org/W2885738092,10.1038/s41569-018-0064-2,"Inflammageing: chronic inflammation in ageing, cardiovascular disease, and frailty",,2018,cardiovascular,cardiology,True,,,Nature Reviews Cardiology,nature reviews cardiology,False,openalex,Luigi Ferrucci; Elisa Fabbri,https://www.ncbi.nlm.nih.gov/pmc/articles/6146930,3441,,,,30065258,,,,,,,False,,10.1038/s41569-018-0064-2,,,,
https://openalex.org/W2899764361,10.1016/s0140-6736(18)32590-x,SGLT2 inhibitors for primary and secondary prevention of cardiovascular and renal outcomes in type 2 diabetes: a systematic review and meta-analysis of cardiovascular outcome trials,,2018,cardiovascular,cardiology,False,,,The Lancet,the lancet,False,openalex,Thomas A. Zelniker; Stephen D. Wiviott; Itamar Raz; KyungAh Im; Erica L. Goodrich; Marc P. Bonaca; Ofri Mosenzon; Eri Kato; Avivit Cahn; Remo H.M. Furtado; Deepak L. Bhatt; Lawrence A. Leiter; Darren K. McGuire; John Wilding; Marc S. Sabatine,,2789,,,,30424892,,,,,,,False,,10.1016/s0140-6736(18)32590-x,,,,
https://openalex.org/W2888814360,10.1186/s12933-018-0762-4,Association between insulin resistance and the development of cardiovascular disease,"For many years, cardiovascular disease (CVD) has been the leading cause of death around the world. Often associated with CVD are comorbidities such as obesity, abnormal lipid profiles and insulin resistance. Insulin is a key hormone that functions as a regulator of cellular metabolism in many tissues in the human body. Insulin resistance is defined as a decrease in tissue response to insulin stimulation thus insulin resistance is characterized by defects in uptake and oxidation of glucose, a decrease in glycogen synthesis, and, to a lesser extent, the ability to suppress lipid oxidation. Literature widely suggests that free fatty acids are the predominant substrate used in the adult myocardium for ATP production, however, the cardiac metabolic network is highly flexible and can use other substrates, such as glucose, lactate or amino acids. During insulin resistance, several metabolic alterations induce the development of cardiovascular disease. For instance, insulin resistance can induce an imbalance in glucose metabolism that generates chronic hyperglycemia, which in turn triggers oxidative stress and causes an inflammatory response that leads to cell damage. Insulin resistance can also alter systemic lipid metabolism which then leads to the development of dyslipidemia and the well-known lipid triad: (1) high levels of plasma triglycerides, (2) low levels of high-density lipoprotein, and (3) the appearance of small dense low-density lipoproteins. This triad, along with endothelial dysfunction, which can also be induced by aberrant insulin signaling, contribute to atherosclerotic plaque formation. Regarding the systemic consequences associated with insulin resistance and the metabolic cardiac alterations, it can be concluded that insulin resistance in the myocardium generates damage by at least three different mechanisms: (1) signal transduction alteration, (2) impaired regulation of substrate metabolism, and (3) altered delivery of substrates to the myocardium. The aim of this review is to discuss the mechanisms associated with insulin resistance and the development of CVD. New therapies focused on decreasing insulin resistance may contribute to a decrease in both CVD and atherosclerotic plaque generation.",2018,cardiovascular,cardiology,True,,,Cardiovascular Diabetology,cardiovascular diabetology,True,openalex,Valeska Ormazábal; Soumyalekshmi Nair; Omar Elfeky; Claudio Aguayo; Carlos Salomón; Felipe Zúñiga,https://doi.org/10.1186/s12933-018-0762-4,2364,,,,30170598,,,,,,,False,,10.1186/s12933-018-0762-4,,,,
https://openalex.org/W2903759577,10.1016/j.jacc.2018.09.072,Cardiovascular Magnetic Resonance in Nonischemic Myocardial Inflammation,,2018,cardiovascular,cardiology,True,,,Journal of the American College of Cardiology,journal of the american college of cardiology,False,openalex,Vanessa M. Ferreira; Jeanette Schulz‐Menger; Godtfred Holmvang; Christopher M. Kramer; Iacopo Carbone; Udo Sechtem; Ingrid Kindermann; Matthias Gutberlet; Leslie T. Cooper; Peter Liu; Matthias G. Friedrich,https://doi.org/10.1016/j.jacc.2018.09.072,1944,,,,30545455,,,,,,,False,,10.1016/j.jacc.2018.09.072,,,,
https://openalex.org/W2807970930,10.1056/nejmoa1800389,Primary Prevention of Cardiovascular Disease with a Mediterranean Diet Supplemented with Extra-Virgin Olive Oil or Nuts,"BACKGROUND: Observational cohort studies and a secondary prevention trial have shown inverse associations between adherence to the Mediterranean diet and cardiovascular risk. METHODS: In a multicenter trial in Spain, we assigned 7447 participants (55 to 80 years of age, 57% women) who were at high cardiovascular risk, but with no cardiovascular disease at enrollment, to one of three diets: a Mediterranean diet supplemented with extra-virgin olive oil, a Mediterranean diet supplemented with mixed nuts, or a control diet (advice to reduce dietary fat). Participants received quarterly educational sessions and, depending on group assignment, free provision of extra-virgin olive oil, mixed nuts, or small nonfood gifts. The primary end point was a major cardiovascular event (myocardial infarction, stroke, or death from cardiovascular causes). After a median follow-up of 4.8 years, the trial was stopped on the basis of a prespecified interim analysis. In 2013, we reported the results for the primary end point in the Journal. We subsequently identified protocol deviations, including enrollment of household members without randomization, assignment to a study group without randomization of some participants at 1 of 11 study sites, and apparent inconsistent use of randomization tables at another site. We have withdrawn our previously published report and now report revised effect estimates based on analyses that do not rely exclusively on the assumption that all the participants were randomly assigned. RESULTS: A primary end-point event occurred in 288 participants; there were 96 events in the group assigned to a Mediterranean diet with extra-virgin olive oil (3.8%), 83 in the group assigned to a Mediterranean diet with nuts (3.4%), and 109 in the control group (4.4%). In the intention-to-treat analysis including all the participants and adjusting for baseline characteristics and propensity scores, the hazard ratio was 0.69 (95% confidence interval [CI], 0.53 to 0.91) for a Mediterranean diet with extra-virgin olive oil and 0.72 (95% CI, 0.54 to 0.95) for a Mediterranean diet with nuts, as compared with the control diet. Results were similar after the omission of 1588 participants whose study-group assignments were known or suspected to have departed from the protocol. CONCLUSIONS: In this study involving persons at high cardiovascular risk, the incidence of major cardiovascular events was lower among those assigned to a Mediterranean diet supplemented with extra-virgin olive oil or nuts than among those assigned to a reduced-fat diet. (Funded by Instituto de Salud Carlos III, Spanish Ministry of Health, and others; Current Controlled Trials number, ISRCTN35739639 .).",2018,cardiovascular,cardiology,True,,,New England Journal of Medicine,new england journal of medicine,False,openalex,Ramón Estruch; Emilio Ros; Jordi Salas‐Salvadó; María‐Isabel Covas; Dolores Corella; Fernando Arós; Enrique Gómez‐Gracia; Valentina Ruíz-Gutiérrez; Miquel Fiol; José Lapetra; Rosa M. Lamuela‐Raventós; Lluís Serra‐Majem; Xavier Pintó; Josep Basora; Miguel Ángel Muñoz; José V. Sorlí; J. Alfredo Martínéz; Montserrat Fitó; Alfredo Gea; Miguel A. Hernán; Miguel Ángel Martínez‐González,https://doi.org/10.1056/nejmoa1800389,3424,,,,29897866,,,,,,,False,,10.1056/nejmoa1800389,,,,
https://openalex.org/W2888765847,10.1093/eurheartj/ehy340,2018 ESC Guidelines for the management of cardiovascular diseases during pregnancy,peer reviewed,2018,cardiovascular,cardiology,True,,,European Heart Journal,european heart journal,False,openalex,Vera Regitz‐Zagrosek; Jolien W. Roos‐Hesselink; Johann Bauersachs; Carina Blomström‐Lundqvist; Renata Cífková; Michele De Bonis; Bernard Iung; Mark R. Johnson; Ulrich Kintscher; Peter Kranke; Iréne Lang; João Morais; Petronella G. Pieper; Patrizia Presbitero; Susanna Price; Giuseppe Rosano; Ute Seeland; Tommaso Simoncini; Lorna Swan; Carole A. Warnes; ESC Scientific Document Group; Christi Deaton; Iain A. Simpson; Victor Aboyans; Stefan Agewall; Emanuele Barbato; Pavel Calda; Antonio Coca; Ioan Mircea Coman; Julie De Backer; Victoria Delgado; Giovanni Di Salvo; Samantha Fitzsimmons; Donna Fitzsimons; Madalina Garbi; Sofie Gevaert; Gerhard Hindricks; Guillaume Jondeau; Jolanda Kluin; Christos Lionis; Theresa A. McDonagh; Pascal Meier; Philip Moons; Antonis Pantazis; Massimo Piepoli; Bianca Rocca; Marco Roffi; Stephan Rosenkranz; Andrea Sarkozy; Е. V. Shlyakhto; Candice Silversides; Karen Sliwa; Miguel Sousa‐Uva; Juan Tamargo; Sara Thorne; Marc Van de Velde; Bryan Williams; José Luis Zamorano; Stephan Windecker; Victor Aboyans; Stefan Agewall; Emanuele Barbato; Héctor Bueno; Antonio Coca; Jean‐Philippe Collet; Ioan Mircea Coman; Verónica Dean; Victoria Delgado; Donna Fitzsimons; Oliver Gaemperli; Gerhard Hindricks; Bernard Iung; Peter Jüni; Hugo A. Katus; Juhani Knuuti; Patrizio Lancellotti; Christophe Leclercq; Theresa A. McDonagh; Massimo Piepoli; Piotr Ponikowski; Dimitrios J. Richter; Marco Roffi; Е. V. Shlyakhto; Iain A. Simpson; Miguel Sousa‐Uva; José Luis Zamorano; Naima Hammoudi; Armen Piruzyan; Julia Mascherbauer; Fuad Samadov; Andrei Prystrom; Agnès Pasquet; Jasmin Čaluk; Nina Gotcheva; Boško Skorić; Hera Heracleous; Niels Vejlstrup; Maarja Maser; Risto Juhani Kaaja; Elizabeta Srbinovska‐Kostovska,https://doi.org/10.1093/eurheartj/ehy340,2235,,,,30165544,,,,,,,False,,10.1093/eurheartj/ehy340,,,,
https://openalex.org/W2889465019,10.1161/circulationaha.117.029652,Socioeconomic Status and Cardiovascular Outcomes,"Socioeconomic status (SES) has a measurable and significant effect on cardiovascular health. Biological, behavioral, and psychosocial risk factors prevalent in disadvantaged individuals accentuate the link between SES and cardiovascular disease (CVD). Four measures have been consistently associated with CVD in high-income countries: income level, educational attainment, employment status, and neighborhood socioeconomic factors. In addition, disparities based on sex have been shown in several studies. Interventions targeting patients with low SES have predominantly focused on modification of traditional CVD risk factors. Promising approaches are emerging that can be implemented on an individual, community, or population basis to reduce disparities in outcomes. Structured physical activity has demonstrated effectiveness in low-SES populations, and geomapping may be used to identify targets for large-scale programs. Task shifting, the redistribution of healthcare management from physician to nonphysician providers in an effort to improve access to health care, may have a role in select areas. Integration of SES into the traditional CVD risk prediction models may allow improved management of individuals with high risk, but cultural and regional differences in SES make generalized implementation challenging. Future research is required to better understand the underlying mechanisms of CVD risk that affect individuals of low SES and to determine effective interventions for patients with high risk. We review the current state of knowledge on the impact of SES on the incidence, treatment, and outcomes of CVD in high-income societies and suggest future research directions aimed at the elimination of these adverse factors, and the integration of measures of SES into the customization of cardiovascular treatment.",2018,cardiovascular,cardiology,True,,,Circulation,circulation,False,openalex,William M. Schultz; Heval Mohamed Kelli; John Lisko; Tina Varghese; Jia Shen; Pratik B. Sandesara; Arshed A. Quyyumi; Herman A. Taylor; Martha Gulati; John Harold; Jennifer H. Mieres; Keith C. Ferdinand; George A. Mensah; Laurence Sperling,https://doi.org/10.1161/circulationaha.117.029652,1354,,,,29760227,,,,,,,False,,10.1161/circulationaha.117.029652,,,,
