id,doi,title,abstract,year,term,discipline,is_oa,license,license_unpaywall,journal,journal_norm,journal_is_oa,source_db,authors,best_oa_location_url,cited_by_count,github,zenodo,osf,pubmed_id,repo_links,code_link,data_link,preregistered,preprint,journal_impact_factor,high_impact_flag,high_impact_reason,doi_norm,dataset_urls,dataset_repos,has_public_dataset,open_science_score
https://openalex.org/W2907492528,10.1109/tnnls.2020.2978386,A Comprehensive Survey on Graph Neural Networks,"Deep learning has revolutionized many machine learning tasks in recent years, ranging from image classification and video processing to speech recognition and natural language understanding. The data in these tasks are typically represented in the Euclidean space. However, there is an increasing number of applications, where data are generated from non-Euclidean domains and are represented as graphs with complex relationships and interdependency between objects. The complexity of graph data has imposed significant challenges on the existing machine learning algorithms. Recently, many studies on extending deep learning approaches for graph data have emerged. In this article, we provide a comprehensive overview of graph neural networks (GNNs) in data mining and machine learning fields. We propose a new taxonomy to divide the state-of-the-art GNNs into four categories, namely, recurrent GNNs, convolutional GNNs, graph autoencoders, and spatial-temporal GNNs. We further discuss the applications of GNNs across various domains and summarize the open-source codes, benchmark data sets, and model evaluation of GNNs. Finally, we propose potential research directions in this rapidly growing field.",2020,neural,neuroscience,True,,,IEEE Transactions on Neural Networks and Learning Systems,ieee transactions on neural networks and learning systems,False,openalex,Zonghan Wu; Shirui Pan; Fengwen Chen; Guodong Long; Chengqi Zhang; Philip S. Yu,http://arxiv.org/abs/1901.00596,9052,,,,32217482,,,,,,,False,,10.1109/tnnls.2020.2978386,,,,
https://openalex.org/W3034552520,10.1109/cvpr42600.2020.01155,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks,"Recently, channel attention mechanism has demonstrated to offer great potential in improving the performance of deep convolutional neural networks (CNNs). However, most existing methods dedicate to developing more sophisticated attention modules for achieving better performance, which inevitably increase model complexity. To overcome the paradox of performance and complexity trade-off, this paper proposes an Efficient Channel Attention (ECA) module, which only involves a handful of parameters while bringing clear performance gain. By dissecting the channel attention module in SENet, we empirically show avoiding dimensionality reduction is important for learning channel attention, and appropriate cross-channel interaction can preserve performance while significantly decreasing model complexity. Therefore, we propose a local cross-channel interaction strategy without dimensionality reduction, which can be efficiently implemented via 1D convolution. Furthermore, we develop a method to adaptively select kernel size of 1D convolution, determining coverage of local cross-channel interaction. The proposed ECA module is both efficient and effective, e.g., the parameters and computations of our modules against backbone of ResNet50 are 80 vs. 24.37M and 4.7e-4 GFlops vs. 3.86 GFlops, respectively, and the performance boost is more than 2% in terms of Top-1 accuracy. We extensively evaluate our ECA module on image classification, object detection and instance segmentation with backbones of ResNets and MobileNetV2. The experimental results show our module is more efficient while performing favorably against its counterparts.",2020,neural,neuroscience,False,,,,,,openalex,Qilong Wang; Banggu Wu; Pengfei Zhu; Peihua Li; Wangmeng Zuo; Qinghua Hu,,7943,,,,,,,,,,,False,,10.1109/cvpr42600.2020.01155,,,,
https://openalex.org/W3152893301,10.1016/j.aiopen.2021.01.001,Graph neural networks: A review of methods and applications,"Lots of learning tasks require dealing with graph data which contains rich relation information among elements. Modeling physics systems, learning molecular fingerprints, predicting protein interface, and classifying diseases demand a model to learn from graph inputs. In other domains such as learning from non-structural data like texts and images, reasoning on extracted structures (like the dependency trees of sentences and the scene graphs of images) is an important research topic which also needs graph reasoning models. Graph neural networks (GNNs) are neural models that capture the dependence of graphs via message passing between the nodes of graphs. In recent years, variants of GNNs such as graph convolutional network (GCN), graph attention network (GAT), graph recurrent network (GRN) have demonstrated ground-breaking performances on many deep learning tasks. In this survey, we propose a general design pipeline for GNN models and discuss the variants of each component, systematically categorize the applications, and propose four open problems for future research.",2020,neural,neuroscience,True,,,AI Open,ai open,True,openalex,Jie Zhou; Ganqu Cui; Shengding Hu; Zhengyan Zhang; Cheng Yang; Zhiyuan Liu; Lifeng Wang; Changcheng Li; Maosong Sun,https://doi.org/10.1016/j.aiopen.2021.01.001,5440,,,,,,,,,,,False,,10.1016/j.aiopen.2021.01.001,,,,
https://openalex.org/W3109585842,10.1007/978-3-030-58452-8_24,NeRF: Representing Scenes as Neural Radiance Fields for View Synthesis,,2020,neural,neuroscience,False,,,Lecture notes in computer science,lecture notes in computer science,False,openalex,Ben Mildenhall; Pratul P. Srinivasan; Matthew Tancik; Jonathan T. Barron; Ravi Ramamoorthi; Ren Ng,,4688,,,,,,,,,,,False,,10.1007/978-3-030-58452-8_24,,,,
https://openalex.org/W2885195348,10.1016/j.physd.2019.132306,Fundamentals of Recurrent Neural Network (RNN) and Long Short-Term Memory (LSTM) network,,2020,neural,neuroscience,True,,,Physica D Nonlinear Phenomena,physica d nonlinear phenomena,False,openalex,A. Sherstinsky,http://arxiv.org/abs/1808.03314,5356,,,,,,,,,,,False,,10.1016/j.physd.2019.132306,,,,
https://openalex.org/W2910121883,10.1007/s10462-020-09825-6,A survey of the recent architectures of deep convolutional neural networks,,2020,neural,neuroscience,True,,,Artificial Intelligence Review,artificial intelligence review,False,openalex,Asifullah Khan; Anabia Sohail; Umme Zahoora; Aqsa Saeed Qureshi,http://arxiv.org/abs/1901.06032,2404,,,,,,,,,,,False,,10.1007/s10462-020-09825-6,,,,
https://openalex.org/W3110151578,10.1038/s41593-020-00744-x,Parameterizing neural power spectra into periodic and aperiodic components,,2020,neural,neuroscience,True,,,Nature Neuroscience,nature neuroscience,False,openalex,Thomas Donoghue; Matar Haller; Erik Peterson; Paroma Varma; Priyadarshini Sebastian; Richard Gao; Torben Noto; Antonio H. Lara; Joni D. Wallis; Robert T. Knight; Avgusta Y. Shestyuk; Bradley Voytek,https://www.ncbi.nlm.nih.gov/pmc/articles/8106550,2303,,,,33230329,,,,,,,False,,10.1038/s41593-020-00744-x,,,,
https://openalex.org/W4310895557,,Advances in Neural Information Processing Systems 32 (NeurIPS 2019),International audience,2020,neural,neuroscience,False,,,HAL (Le Centre pour la Communication Scientifique Directe),hal (le centre pour la communication scientifique directe),False,openalex,Hanna Wallach; Hugo Larochelle; Alina Beygelzimer; Florence d’Alché–Buc; Emily B. Fox; Roman Garnett,,2419,,,,,,,,,,,False,,,,,,
https://openalex.org/W3016970897,10.1038/s42256-020-00257-z,Shortcut learning in deep neural networks,,2020,neural,neuroscience,True,,,Nature Machine Intelligence,nature machine intelligence,False,openalex,Robert Geirhos; Jörn-Henrik Jacobsen; Claudio Michaelis; Richard S. Zemel; Wieland Brendel; Matthias Bethge; Felix A. Wichmann,http://arxiv.org/abs/2004.07780,1749,,,,,,,,,,,False,,10.1038/s42256-020-00257-z,,,,
https://openalex.org/W3003821665,10.1038/s41586-020-1942-4,Fully hardware-implemented memristor convolutional neural network,,2020,neural,neuroscience,False,,,Nature,nature,False,openalex,Peng Yao; Huaqiang Wu; Bin Gao; Jianshi Tang; Qingtian Zhang; Wenqiang Zhang; J. Joshua Yang; He Qian,,2113,,,,31996818,,,,,,,False,,10.1038/s41586-020-1942-4,,,,
