id,doi,title,abstract,year,term,discipline,is_oa,license,license_unpaywall,journal,journal_norm,journal_is_oa,source_db,authors,best_oa_location_url,cited_by_count,github,zenodo,osf,pubmed_id,repo_links,code_link,data_link,preregistered,preprint,journal_impact_factor,high_impact_flag,high_impact_reason,doi_norm,dataset_urls,dataset_repos,has_public_dataset,open_science_score
https://openalex.org/W2907492528,10.1109/tnnls.2020.2978386,A Comprehensive Survey on Graph Neural Networks,"Deep learning has revolutionized many machine learning tasks in recent years, ranging from image classification and video processing to speech recognition and natural language understanding. The data in these tasks are typically represented in the Euclidean space. However, there is an increasing number of applications, where data are generated from non-Euclidean domains and are represented as graphs with complex relationships and interdependency between objects. The complexity of graph data has imposed significant challenges on the existing machine learning algorithms. Recently, many studies on extending deep learning approaches for graph data have emerged. In this article, we provide a comprehensive overview of graph neural networks (GNNs) in data mining and machine learning fields. We propose a new taxonomy to divide the state-of-the-art GNNs into four categories, namely, recurrent GNNs, convolutional GNNs, graph autoencoders, and spatial-temporal GNNs. We further discuss the applications of GNNs across various domains and summarize the open-source codes, benchmark data sets, and model evaluation of GNNs. Finally, we propose potential research directions in this rapidly growing field.",2020,neural,neuroscience,True,,,IEEE Transactions on Neural Networks and Learning Systems,ieee transactions on neural networks and learning systems,False,openalex,Zonghan Wu; Shirui Pan; Fengwen Chen; Guodong Long; Chengqi Zhang; Philip S. Yu,http://arxiv.org/abs/1901.00596,9052,,,,32217482,,,,,,,True,cited_by_count>=1321 (top 10.0%); cited_by_count>=1321 (top 10.0%),10.1109/tnnls.2020.2978386,,,False,-0.044098906
https://openalex.org/W2560647685,10.1073/pnas.1611835114,Overcoming catastrophic forgetting in neural networks,The ability to learn tasks in a sequential fashion is crucial to the development of artificial intelligence. Until now neural networks have not been capable of this and it has been widely thought that catastrophic forgetting is an inevitable feature of connectionist models. We show that it is possible to overcome this limitation and train networks that can maintain expertise on tasks that they have not experienced for a long time. Our approach remembers old tasks by selectively slowing down learning on the weights important for those tasks. We demonstrate our approach is scalable and effective by solving a set of classification tasks based on a hand-written digit dataset and by learning several Atari 2600 games sequentially.,2017,neural,neuroscience,True,,,Proceedings of the National Academy of Sciences,proceedings of the national academy of sciences,False,openalex,James Kirkpatrick; Razvan Pascanu; Neil C. Rabinowitz; Joel Veness; Guillaume Desjardins; Andrei A. Rusu; Kieran Milan; John Quan; Tiago Ramalho; Agnieszka Grabska‐Barwińska; Demis Hassabis; Claudia Clopath; Dharshan Kumaran; Raia Hadsell,https://doi.org/10.1073/pnas.1611835114,7043,,,,28292907,,,,,,,True,cited_by_count>=1321 (top 10.0%); cited_by_count>=1321 (top 10.0%),10.1073/pnas.1611835114,,,False,0.024097621
https://openalex.org/W2253429366,10.1109/tmi.2016.2528162,"Deep Convolutional Neural Networks for Computer-Aided Detection: CNN Architectures, Dataset Characteristics and Transfer Learning","Remarkable progress has been made in image recognition, primarily due to the availability of large-scale annotated datasets and deep convolutional neural networks (CNNs). CNNs enable learning data-driven, highly representative, hierarchical image features from sufficient training data. However, obtaining datasets as comprehensively annotated as ImageNet in the medical imaging domain remains a challenge. There are currently three major techniques that successfully employ CNNs to medical image classification: training the CNN from scratch, using off-the-shelf pre-trained CNN features, and conducting unsupervised CNN pre-training with supervised fine-tuning. Another effective method is transfer learning, i.e., fine-tuning CNN models pre-trained from natural image dataset to medical image tasks. In this paper, we exploit three important, but previously understudied factors of employing deep convolutional neural networks to computer-aided detection problems. We first explore and evaluate different CNN architectures. The studied models contain 5 thousand to 160 million parameters, and vary in numbers of layers. We then evaluate the influence of dataset scale and spatial image context on performance. Finally, we examine when and why transfer learning from pre-trained ImageNet (via fine-tuning) can be useful. We study two specific computer-aided detection (CADe) problems, namely thoraco-abdominal lymph node (LN) detection and interstitial lung disease (ILD) classification. We achieve the state-of-the-art performance on the mediastinal LN detection, and report the first five-fold cross-validation classification results on predicting axial CT slices with ILD categories. Our extensive empirical evaluation, CNN model analysis and valuable insights can be extended to the design of high performance CAD systems for other medical imaging tasks.",2016,neural,neuroscience,True,,,IEEE Transactions on Medical Imaging,ieee transactions on medical imaging,False,openalex,Hoo-Chang Shin; Holger R. Roth; Mingchen Gao; Le Lü; Ziyue Xu; Isabella Nogues; Jianhua Yao; Daniel J. Mollura; Ronald M. Summers,https://www.ncbi.nlm.nih.gov/pmc/articles/4890616,5775,,,,26886976,,,,,,,True,cited_by_count>=1321 (top 10.0%); cited_by_count>=1321 (top 10.0%),10.1109/tmi.2016.2528162,,,False,0.05267883
https://openalex.org/W3186179742,10.1126/science.abj8754,Accurate prediction of protein structures and interactions using a three-track neural network,"DeepMind presented notably accurate predictions at the recent 14th Critical Assessment of Structure Prediction (CASP14) conference. We explored network architectures that incorporate related ideas and obtained the best performance with a three-track network in which information at the one-dimensional (1D) sequence level, the 2D distance map level, and the 3D coordinate level is successively transformed and integrated. The three-track network produces structure predictions with accuracies approaching those of DeepMind in CASP14, enables the rapid solution of challenging x-ray crystallography and cryo-electron microscopy structure modeling problems, and provides insights into the functions of proteins of currently unknown structure. The network also enables rapid generation of accurate protein-protein complex models from sequence information alone, short-circuiting traditional approaches that require modeling of individual subunits followed by docking. We make the method available to the scientific community to speed biological research.",2021,neural,neuroscience,True,,,Science,science,False,openalex,Minkyung Baek; Frank DiMaio; Ivan Anishchenko; Justas Dauparas; Sergey Ovchinnikov; Gyu Rie Lee; Jue Wang; Qian Cong; Lisa N. Kinch; R. Dustin Schaeffer; Claudia Millán; Hahnbeom Park; Carson Adams; Caleb R. Glassman; Andy DeGiovanni; J.H. Pereira; Andria V. Rodrigues; Alberdina A. van Dijk; Ana C. Ebrecht; Diederik J. Opperman; Theo Sagmeister; Christoph Buhlheller; Tea Pavkov‐Keller; Manoj Kumar Rathinaswamy; Udit Dalwadi; Calvin K. Yip; John E. Burke; K. Christopher García; Nick V. Grishin; Paul D. Adams; Randy J. Read; David Baker,https://escholarship.org/uc/item/3gz3w9v7,5629,,,,34282049,,,,,,,True,cited_by_count>=1321 (top 10.0%); cited_by_count>=1321 (top 10.0%),10.1126/science.abj8754,,,False,0.10778973
https://openalex.org/W2944851425,10.1162/neco_a_01199,A Review of Recurrent Neural Networks: LSTM Cells and Network Architectures,"Recurrent neural networks (RNNs) have been widely adopted in research areas concerned with sequential data, such as text, audio, and video. However, RNNs consisting of sigma cells or tanh cells are unable to learn the relevant information of input data when the input gap is large. By introducing gate functions into the cell structure, the long short-term memory (LSTM) could handle the problem of long-term dependencies well. Since its introduction, almost all the exciting results based on RNNs have been achieved by the LSTM. The LSTM has become the focus of deep learning. We review the LSTM cell and its variants to explore the learning capacity of the LSTM cell. Furthermore, the LSTM networks are divided into two broad categories: LSTM-dominated networks and integrated LSTM networks. In addition, their various applications are discussed. Finally, future research directions are presented for LSTM networks.",2019,neural,neuroscience,False,,,Neural Computation,neural computation,False,openalex,Yong Yu; Xiaosheng Si; Changhua Hu; Jianxun Zhang,,5367,,,,31113301,,,,,,,True,cited_by_count>=1321 (top 10.0%); cited_by_count>=1321 (top 10.0%),10.1162/neco_a_01199,,,False,-0.019638889
https://openalex.org/W2743254891,10.1159/000479571,Induction of the Vitamin D Receptor Attenuates Autophagy Dysfunction-Mediated Cell Death Following Traumatic Brain Injury.,"BACKGROUND/AIMS: Traumatic brain injury (TBI) is a major public health problem in the world and causes high rates of mortality and disability. Recent evidence suggests that vitamin D (VD) has neuroprotective actions and can promote function recovery after TBI. In vitro and in vivo studies have demonstrated that autophagy could be enhanced following supplementation with an active metabolite of VD (calcitriol). However, it is unclear whether autophagy participates in the protective effects of calcitriol after TBI. To test this hypothesis, we examined the protective effects of calcitriol on TBI-induced neurological impairment and further investigated whether calcitriol could modulate autophagy dysfunction-mediated cell death in the cortex region of rat brain. METHODS: Eighty-five male rats (250-280 g) were randomly assigned to sham (n=15), TBI model (TBI, n=35) and calcitriol treatment (calcitriol, n=35) groups. Rats were injected intraperitoneally with calcitriol (1 µg/kg) at 30 min, 24 h and 48 h post-TBI in the calcitriol group. The lysosomal inhibitor, chloroquine (CQ), was used to evaluate autophagic flux in the TBI and calcitriol groups. Neurological functions were evaluated via the modified neurological severity score test at 1-7 days after TBI or sham operation, and the terminal deoxynucleotidyl transferase-mediated FITC-dUTP nick-end labeling method was used to evaluate the ability of calcitriol to inhibit apoptosis. The expression of VDR, LC3 and p62 proteins was measured by western blot analysis at 1, 3 and 7 days post-injury Results: Calcitriol treatment attenuated mNSS at 2-7 days post-TBI (P < 0.05 versus TBI group). Calcitriol dramatically increased VDR protein expression compared with the untreated counterparts at 1, 3 and 7 days post-TBI (P < 0.05). The rate of apoptotic cells in calcitriol-treated rats was significantly reduced compared to that observed in the TBI group (P < 0.05). The LC3II/LC3I ratio was decreased in the cortex region at 1, 3 and 7 days post-TBI in rats treated with calcitriol (p < 0.05 versus TBI group), and the p62 expression was also attenuated (p < 0.05 versus TBI group). The LC3II/LC3I ratio in the calcitriol group was significantly increased when pretreated with CQ (P < 0.05). CONCLUSION: Calcitriol treatment activated VDR protein expression and attenuated neurological deficits in this rat TBI model. The protective effects might be associated with the restoration of autophagy flux and the decrease in apoptosis in the cortex region of rat brain.",2017,brain,neuroscience,False,,,PubMed,pubmed,False,openalex,Changmeng Cui; Jianzhong Cui; Feng Jin; Ying Cui; Ran Li; Xiaohua Jiang; Yanxia Tian; Richard C. Wang; Pei Jiang; Junling Gao,,5191,,,,28772270,,,,,,,True,cited_by_count>=1321 (top 10.0%); cited_by_count>=1321 (top 10.0%),10.1159/000479571,,,False,0.05824284
https://openalex.org/W2970686316,10.1152/physrev.00018.2018,The Microbiota-Gut-Brain Axis,"The importance of the gut-brain axis in maintaining homeostasis has long been appreciated. However, the past 15 yr have seen the emergence of the microbiota (the trillions of microorganisms within and on our bodies) as one of the key regulators of gut-brain function and has led to the appreciation of the importance of a distinct microbiota-gut-brain axis. This axis is gaining ever more traction in fields investigating the biological and physiological basis of psychiatric, neurodevelopmental, age-related, and neurodegenerative disorders. The microbiota and the brain communicate with each other via various routes including the immune system, tryptophan metabolism, the vagus nerve and the enteric nervous system, involving microbial metabolites such as short-chain fatty acids, branched chain amino acids, and peptidoglycans. Many factors can influence microbiota composition in early life, including infection, mode of birth delivery, use of antibiotic medications, the nature of nutritional provision, environmental stressors, and host genetics. At the other extreme of life, microbial diversity diminishes with aging. Stress, in particular, can significantly impact the microbiota-gut-brain axis at all stages of life. Much recent work has implicated the gut microbiota in many conditions including autism, anxiety, obesity, schizophrenia, Parkinson's disease, and Alzheimer's disease. Animal models have been paramount in linking the regulation of fundamental neural processes, such as neurogenesis and myelination, to microbiome activation of microglia. Moreover, translational human studies are ongoing and will greatly enhance the field. Future studies will focus on understanding the mechanisms underlying the microbiota-gut-brain axis and attempt to elucidate microbial-based intervention and therapeutic strategies for neuropsychiatric disorders.",2019,brain,neuroscience,True,,,Physiological Reviews,physiological reviews,False,openalex,John F. Cryan; Kenneth J. O’Riordan; Caitlin S.M. Cowan; Kiran V. Sandhu; Thomaz F. S. Bastiaanssen; Marcus Boehme; Martin G. Codagnone; Sofia Cussotto; Christine Fülling; Anna V. Golubeva; Katherine E. Guzzetta; Minal Jaggar; Caitríona M. Long-Smith; Joshua M. Lyte; Jason Martin; Alicia Molinero-Perez; Gerard M. Moloney; Emanuela Morelli; Enrique Morillas; Rory O’Connor; Joana S. Cruz-Pereira; Veronica L. Peterson; Kieran Rea; Nathaniel L. Ritz; Eoin Sherwin; Simon Spichak; Emily M. Teichman; Marcel van de Wouw; Ana Paula Ventura‐Silva; Shauna E. Wallace-Fitzsimons; Niall P. Hyland; Gerard Clarke; Timothy G. Dinan,https://doi.org/10.1152/physrev.00018.2018,4685,,,,31460832,,,,,,,True,cited_by_count>=1321 (top 10.0%); cited_by_count>=1321 (top 10.0%),10.1152/physrev.00018.2018,,,False,0.0323128
https://openalex.org/W2809254203,10.1007/s13244-018-0639-9,Convolutional neural networks: an overview and application in radiology,"Convolutional neural network (CNN), a class of artificial neural networks that has become dominant in various computer vision tasks, is attracting interest across a variety of domains, including radiology. CNN is designed to automatically and adaptively learn spatial hierarchies of features through backpropagation by using multiple building blocks, such as convolution layers, pooling layers, and fully connected layers. This review article offers a perspective on the basic concepts of CNN and its application to various radiological tasks, and discusses its challenges and future directions in the field of radiology. Two challenges in applying CNN to radiological tasks, small dataset and overfitting, will also be covered in this article, as well as techniques to minimize them. Being familiar with the concepts and advantages, as well as limitations, of CNN is essential to leverage its potential in diagnostic radiology, with the goal of augmenting the performance of radiologists and improving patient care. KEY POINTS: • Convolutional neural network is a class of deep learning methods which has become dominant in various computer vision tasks and is attracting interest across a variety of domains, including radiology. • Convolutional neural network is composed of multiple building blocks, such as convolution layers, pooling layers, and fully connected layers, and is designed to automatically and adaptively learn spatial hierarchies of features through a backpropagation algorithm. • Familiarity with the concepts and advantages, as well as limitations, of convolutional neural network is essential to leverage its potential to improve radiologist performance and, eventually, patient care.",2018,neural,neuroscience,True,,,Insights into Imaging,insights into imaging,True,openalex,Rikiya Yamashita; Mizuho Nishio; Richard Kinh Gian; Kaori Togashi,https://doi.org/10.1007/s13244-018-0639-9,4556,,,,29934920,,,,,,,True,cited_by_count>=1321 (top 10.0%); cited_by_count>=1321 (top 10.0%),10.1007/s13244-018-0639-9,,,False,-0.020359047
https://openalex.org/W2522738478,10.1227/neu.0000000000001432,"Guidelines for the Management of Severe Traumatic Brain Injury, Fourth Edition","The scope and purpose of this work is 2-fold: to synthesize the available evidence and to translate it into recommendations. This document provides recommendations only when there is evidence to support them. As such, they do not constitute a complete protocol for clinical use. Our intention is that these recommendations be used by others to develop treatment protocols, which necessarily need to incorporate consensus and clinical judgment in areas where current evidence is lacking or insufficient. We think it is important to have evidence-based recommendations to clarify what aspects of practice currently can and cannot be supported by evidence, to encourage use of evidence-based treatments that exist, and to encourage creativity in treatment and research in areas where evidence does not exist. The communities of neurosurgery and neuro-intensive care have been early pioneers and supporters of evidence-based medicine and plan to continue in this endeavor. The complete guideline document, which summarizes and evaluates the literature for each topic, and supplemental appendices (A-I) are available online at https://www.braintrauma.org/coma/guidelines.",2016,brain,neuroscience,False,,,Neurosurgery,neurosurgery,False,openalex,Nancy Carney; Annette M Totten; Cindy O’Reilly; Jamie S. Ullman; Gregory W. J. Hawryluk; Michael J. Bell; Susan L. Bratton; Randall M. Chesnut; Odette A. Harris; Niranjan Kissoon; Andrés M. Rubiano; Lori Shutter; Robert C. Tasker; Monica S. Vavilala; Jack E. Wilberger; David W. Wright; Jamshid Ghajar,,4251,,,,27654000,,,,,,,True,cited_by_count>=1321 (top 10.0%); cited_by_count>=1321 (top 10.0%),10.1227/neu.0000000000001432,,,False,0.07049136
https://openalex.org/W2559463885,10.1088/1741-2552/aace8c,EEGNet: a compact convolutional neural network for EEG-based brain–computer interfaces,"OBJECTIVE: Brain-computer interfaces (BCI) enable direct communication with a computer, using neural activity as the control signal. This neural signal is generally chosen from a variety of well-studied electroencephalogram (EEG) signals. For a given BCI paradigm, feature extractors and classifiers are tailored to the distinct characteristics of its expected EEG control signal, limiting its application to that specific signal. Convolutional neural networks (CNNs), which have been used in computer vision and speech recognition to perform automatic feature extraction and classification, have successfully been applied to EEG-based BCIs; however, they have mainly been applied to single BCI paradigms and thus it remains unclear how these architectures generalize to other paradigms. Here, we ask if we can design a single CNN architecture to accurately classify EEG signals from different BCI paradigms, while simultaneously being as compact as possible. APPROACH: In this work we introduce EEGNet, a compact convolutional neural network for EEG-based BCIs. We introduce the use of depthwise and separable convolutions to construct an EEG-specific model which encapsulates well-known EEG feature extraction concepts for BCI. We compare EEGNet, both for within-subject and cross-subject classification, to current state-of-the-art approaches across four BCI paradigms: P300 visual-evoked potentials, error-related negativity responses (ERN), movement-related cortical potentials (MRCP), and sensory motor rhythms (SMR). MAIN RESULTS: We show that EEGNet generalizes across paradigms better than, and achieves comparably high performance to, the reference algorithms when only limited training data is available across all tested paradigms. In addition, we demonstrate three different approaches to visualize the contents of a trained EEGNet model to enable interpretation of the learned features. SIGNIFICANCE: Our results suggest that EEGNet is robust enough to learn a wide variety of interpretable features over a range of BCI tasks. Our models can be found at: https://github.com/vlawhern/arl-eegmodels.",2018,brain,neuroscience,True,,,Journal of Neural Engineering,journal of neural engineering,False,openalex,Vernon J Lawhern; Amelia J Solon; Nicholas R Waytowich; Stephen M Gordon; Chou P Hung; Brent J Lance,http://arxiv.org/abs/1611.08024,4165,https://github.com/vlawhern/arl-eegmodels.,,,29932424,https://github.com/vlawhern/arl-eegmodels.,https://github.com/vlawhern/arl-eegmodels.,,,,,True,cited_by_count>=1321 (top 10.0%); cited_by_count>=1321 (top 10.0%),10.1088/1741-2552/aace8c,,,False,-0.035571337
