id,doi,title,abstract,year,term,discipline,is_oa,license,license_unpaywall,journal,journal_norm,journal_is_oa,source_db,authors,best_oa_location_url,cited_by_count,github,zenodo,osf,pubmed_id,repo_links,code_link,data_link,preregistered,preprint,journal_impact_factor,high_impact_flag,high_impact_reason,doi_norm,dataset_urls,dataset_repos,has_public_dataset,open_science_score
https://openalex.org/W4303415494,10.3389/fimmu.2022.930171,A systematic review of the research progress of non-coding RNA in neuroinflammation and immune regulation in cerebral infarction/ischemia-reperfusion injury,"Cerebral infarction/ischemia-reperfusion injury is currently the disease with the highest mortality and disability rate of cardiovascular disease. Current studies have shown that nerve cells die of ischemia several hours after ischemic stroke, which activates the innate immune response in the brain, promotes the production of neurotoxic substances such as inflammatory cytokines, chemokines, reactive oxygen species and - nitrogen oxide, and mediates the destruction of blood-brain barrier and the occurrence of a series of inflammatory cascade reactions. Meanwhile, the expression of adhesion molecules in cerebral vascular endothelial cells increased, and immune inflammatory cells such as polymorphonuclear neutrophils, lymphocytes and mononuclear macrophages passed through vascular endothelial cells and entered the brain tissue. These cells recognize antigens exposed by the central nervous system in the brain, activate adaptive immune responses, and further mediate secondary neuronal damage, aggravating neurological deficits. In order to reduce the above-mentioned damage, the body induces peripheral immunosuppressive responses through negative feedback, which increases the incidence of post-stroke infection. This process is accompanied by changes in the immune status of the ischemic brain tissue in local and systemic systems. A growing number of studies implicate noncoding RNAs (ncRNAs) as novel epigenetic regulatory elements in the dysfunction of various cell subsets in the neurovascular unit after cerebral infarction/ischemia-reperfusion injury. In particular, recent studies have revealed advances in ncRNA biology that greatly expand the understanding of epigenetic regulation of immune responses and inflammation after cerebral infarction/ischemia-reperfusion injury. Identification of aberrant expression patterns and associated biological effects of ncRNAs in patients revealed their potential as novel biomarkers and therapeutic targets for cerebral infarction/ischemia-reperfusion injury. Therefore, this review systematically presents recent studies on the involvement of ncRNAs in cerebral infarction/ischemia-reperfusion injury and neuroimmune inflammatory cascades, and elucidates the functions and mechanisms of cerebral infarction/ischemia-reperfusion-related ncRNAs, providing new opportunities for the discovery of disease biomarkers and targeted therapy. Furthermore, this review introduces clustered regularly interspaced short palindromic repeats (CRISPR)-Display as a possible transformative tool for studying lncRNAs. In the future, ncRNA is expected to be used as a target for diagnosing cerebral infarction/ischemia-reperfusion injury, judging its prognosis and treatment, thereby significantly improving the prognosis of patients.",2022,cerebral infarction,stroke,True,,,Frontiers in Immunology,frontiers in immunology,True,openalex,Kailin Yang; Liuting Zeng; Anqi Ge; Shanshan Wang; Jinsong Zeng; Xiao Yuan; Zhigang Mei; Guozuo Wang; Jinwen Ge,https://doi.org/10.3389/fimmu.2022.930171,110,,,,36275741,,,,,,,False,,10.3389/fimmu.2022.930171,,,,
https://openalex.org/W4312211948,10.1007/s12033-022-00643-5,Inhibition of the Glycolysis Prevents the Cerebral Infarction Progression Through Decreasing the Lactylation Levels of LCP1,"Cerebral infarction (CI), also known as ischemic stroke, has a high incidence rate and mortality rate. The purpose of this study was to investigate the potential effect and mechanism of Lymphocyte cytosolic protein 1 (LCP1) in the CI progression. The middle cerebral artery occlusion (MCAO) treated rats and oxygen-glucose deprivation/reoxygenation (OGD/R) stimulated PC12 cells were used to establish CI model in vivo and in vitro. The cell proliferation and apoptosis was determined by CCK-8 assay and flow cytometry, respectively. Immunoprecipitation and western blot was performed to test the lactylation levels of LCP1. The cells were treated with cycloheximide to determined the protein stability of LCP1. The glucose uptake and lactate production was determined with commercial kits. The extracellular acidification rate were evaluated by Seahorse. The results showed that LCP1 was upregulated in the MCAO rats and OGD/R stimulated PC12 cells. LCP1 knockdown dramatically decreased the neurological score, infarct volume and the brain water content of MCAO rats. Besides, LCP1 knockdown promoted the cell viability while decreased the apoptosis rate of the OGD/R stimulated PC12 cells. Additionally, the global lactylation and lactylation levels of LCP1 was prominently enhanced in vivo and in vitro in cerebral infarction. 2-DG treatment prominently decreased it. In conclusion, inhibiting the glycolysis decreased the lactylation levels of LCP1 and resulted in the degradation of LCP1, which eventually relieved the CI progression.",2022,cerebral infarction,stroke,True,,,Molecular Biotechnology,molecular biotechnology,False,openalex,Wei Zhang; Liang Xu; Zhenfei Yu; Meiqi Zhang; Jingquan Liu; Jianming Zhou,https://doi.org/10.1007/s12033-022-00643-5,76,,,,36574182,,,,,,,False,,10.1007/s12033-022-00643-5,,,,
https://openalex.org/W4294344006,10.3389/fnagi.2022.936862,The stress hyperglycemia ratio is associated with the development of cerebral edema and poor functional outcome in patients with acute cerebral infarction,"Background and purpose Absolute hyperglycemia at admission has been shown to be associated with the development of cerebral edema (CED) after acute cerebral infarction. Stress hyperglycemia is a more objective reflection of hyperglycemic state than absolute hyperglycemia. However, studies on the associations between stress hyperglycemia and CED are limited. We aimed to explore the associations of stress hyperglycemia, measured by stress hyperglycemia ratio (SHR), with the development of CED and poor functional outcome of acute cerebral infarction. Methods Patients with acute middle artery cerebral infarction admitted to the Department of Neurology, West China Hospital of Sichuan University, within 24 h of symptom onset from January 2017 to March 2021 were included. Stress hyperglycemia was assessed by the SHR: admission fasting plasma glucose (FPG)/hemoglobin A1c (HbA1c). The primary outcome was the degree of CED evaluated on brain image. The secondary outcomes were moderate-to-severe CED, poor functional outcome (modified Rankin Scale score &amp;gt; 2), and death at 90 days. The associations between the SHR and outcomes were assessed with multivariate logistic regression analyses. We further compared the predictive value of the SHR, admission random plasma glucose (RPG), and admission FPG for outcomes in the training dataset and validation dataset. Results 638 patients were enrolled. Each 0.1-point increase in the SHR was independently associated with a 1.31-fold increased risk of a higher degree of CED [odds ratio (OR): 1.31 (95% confidence interval (CI): 1.20–1.42), P &amp;lt; 0.001]. The SHR was independently associated with moderate-to-severe CED [per 0.1-point increase: OR: 1.39 (95% CI: 1.24–1.57), P &amp;lt; 0.001], poor functional outcome [per 0.1-point increase: OR: 1.25 (95% CI: 1.12–1.40), P &amp;lt; 0.001], and death [per 0.1-point increase: OR: 1.13 (95% CI: 1.03–1.25), P &amp;lt; 0.05]. The predictive value of the SHR (as a continuous variable), exhibited by the area under the curve in receiver operating characteristic analysis, was higher than that of the RPG and FPG for moderate-to-severe CED and poor functional outcome ( P &amp;lt; 0.05). Conclusion The SHR is independently associated with the severity of CED, poor functional outcome, and death after acute cerebral infarction, and the SHR (as a continuous variable) has a better predictive value for moderate-to-severe CED and poor functional outcome than the RPG and FPG.",2022,cerebral infarction,stroke,True,,,Frontiers in Aging Neuroscience,frontiers in aging neuroscience,True,openalex,Yilun Deng; Simiao Wu; Junfeng Liu; Meng Liu; Meng Liu; Lu Wang; JinCheng Wan; Shihong Zhang; Ming Liu; Ming Liu,https://doi.org/10.3389/fnagi.2022.936862,52,,,,36118702,,,,,,,False,,10.3389/fnagi.2022.936862,,,,
https://openalex.org/W4281639665,10.3389/fneur.2022.855532,Association of Pre-stroke Frailty With Prognosis of Elderly Patients With Acute Cerebral Infarction: A Cohort Study,"Background Frailty is a state of cumulative degradation of physiological functions that leads to adverse outcomes such as disability or mortality. Currently, there is still little understanding of the prognosis of pre-stroke frailty status with acute cerebral infarction in the elderly. Objective We investigated the association between pre-stroke frailty status, 28-day and 1-year survival outcomes, and functional recovery after acute cerebral infarction. Methods Clinical data were collected from 314 patients with acute cerebral infarction aged 65–99 years. A total of 261 patients completed follow-up in the survival cohort analysis and 215 patients in the functional recovery cohort analysis. Pre-stroke frailty status was assessed using the FRAIL score, the prognosis was assessed using the modified Rankin Scale (mRS), and disease severity using the National Institutes of Health Stroke Scale (NIHSS). Results Frailty was independently associated with 28-day mortality in the survival analysis cohort [hazard ratio (HR) = 4.30, 95% CI 1.35–13.67, p = 0.014]. However, frailty had no independent effect on 1-year mortality ( HR = 1.47, 95% CI 0.78–2.79, p = 0.237), but it was independently associated with advanced age, the severity of cerebral infarction, and combined infection during hospitalization. Logistic regression analysis after adjusting for potential confounders in the functional recovery cohort revealed frailty, and the NIHSS score was significantly associated with post-stroke severe disability (mRS &amp;gt; 2) at 28 days [pre-frailty adjusted odds ratio (a OR ): 8.86, 95% CI 3.07–25.58, p &amp;lt; 0.001; frailty a OR : 7.68, 95% CI 2.03–29.12, p = 0.002] or 1 year (pre-frailty a OR : 8.86, 95% CI 3.07–25.58, p &amp;lt; 0.001; frailty a OR : 7.68, 95% CI 2.03–29.12, p = 0.003). Conclusions Pre-stroke frailty is an independent risk factor for 28-day mortality and 28-day or 1-year severe disability. Age, the NIHSS score, and co-infection are likewise independent risk factors for 1-year mortality.",2022,cerebral infarction,stroke,True,,,Frontiers in Neurology,frontiers in neurology,True,openalex,Fuxia Yang; Nan Li; Yang Lu; Jie Chang; Aijuan Yan; Wenshi Wei,https://doi.org/10.3389/fneur.2022.855532,46,,,,,,,,,,,False,,10.3389/fneur.2022.855532,,,,
https://openalex.org/W4205609908,10.1007/s12017-021-08686-8,Mesenchymal Stem Cell-Derived Exosomes Improved Cerebral Infarction via Transferring miR-23a-3p to Activate Microglia,,2022,cerebral infarction,stroke,False,,,NeuroMolecular Medicine,neuromolecular medicine,False,openalex,Chenglong Dong; Maogang Chen; Binggang Cai; Cheng Zhang; Guodong Xiao; Wei-feng Luo,,37,,,,35001328,,,,,,,False,,10.1007/s12017-021-08686-8,,,,
https://openalex.org/W4286798485,10.1016/j.jad.2022.07.045,Development of a machine learning-based risk prediction model for cerebral infarction and comparison with nomogram model,"BACKGROUND: Development of a cerebral infarction (CI) risk prediction model by mining routine test big data with machine learning algorithms. METHODS: Cohort 1 included 2017 CI patients and health checkers, and the optimal machine learning algorithms in Extreme gradient Boosting (XgBoost), Logistic Regression (LR), Support Vector Machine (SVM), Random Forest (RF) were selected to mine all routine test data of the enrolled subjects for screening CI model features. Cohort 2 included patients with CI and Non-CI from 2018 to 2020 to develop an early warning model for CI and was analyzed in subgroups with a cutoff of 50 years. Cohort 3 included CI patients versus Non-CI patients in 2021, and a nomogram models was developed for comparison with the machine learning model. RESULTS: The optimal algorithm XgBoost was used to develop a CI risk prediction model CI-Lab8 containing eight characteristics of fibrinogen, age, glucose, mean erythrocyte hemoglobin concentration, albumin, neutrophil absolute value, activated partial thromboplastin time, and triglycerides. The model had an AUC of 0.823 in cohort 2, significantly higher than the FIB (AUC = 0.737), which ranked first in feature importance. CI-Lab8 also had higher diagnostic accuracy in CI patients <50 years of age (AUC = 0.800), slightly lower than in CI patients ≥50 years of age (AUC = 0.856). Receiver operating characteristic curve, calibration curve, and decision curve analysis in cohort 3 showed CI-Lab8 to be superior to nomogram. CONCLUSION: In this study, the CI risk prediction model developed by XgBoost algorithm outperformed the nomogram model and had higher diagnostic accuracy for CI patients in both <50 and ≥50 years old, which may assist clinical assessment for CI.",2022,cerebral infarction,stroke,True,,,Journal of Affective Disorders,journal of affective disorders,False,openalex,Xuewen Li; Yiting Wang; Jiancheng Xu,https://doi.org/10.1016/j.jad.2022.07.045,24,,,,35882300,,,,,,,False,,10.1016/j.jad.2022.07.045,,,,
https://openalex.org/W4205523360,10.12669/pjms.38.3.4521,Intravenous thrombolysis with alteplase in the treatment of acute cerebral infarction,"Objectives: To compare the efficacy and safety of intravenous thrombolysis with alteplase and intravenous thrombolysis with urokinase for patients with acute cerebral infarction. Methods: This prospective study included 140 patients with acute cerebral infarction who were admitted to our hospital between June 2018 and June 2019. They were randomly divided into two groups. The control group (70 cases) was treated with urokinase intravenous thrombolysis, and the observation group (70 cases) was given alteplase intravenous thrombolytic therapy. The treatment efficacy and safety of the two groups were compared. Results: The total effective rate of the observation group was 95.7%, and that of the control group was 78.6%, i.e., the total effective rate of the observation group was significantly superior to the that of the control group (P &lt; 0.05). After treatment, the observation group had significantly lower National Institutes of Health Stroke Scale (NIHSS) score and significantly higher mini-mental state examination (MMSE) score than the control group; the difference was statistically significant (P&lt;0.05). After treatment, the levels of inflammatory factors of both groups significantly decreased compared to before treatment, and the decrease in the observation group was larger than that in the control group (P&lt;0.05). The levels of serum homocysteine (Hcy) and monocyte chemoattractant protein-1 (MCP-1) in the observation group were significantly lower than those in the control group after treatment, and the differences were statistically significant (P&lt;0.05). The incidence of hemorrhagic adverse reaction in the observation group was lower than that in the control group (P&lt;0.05). Conclusion: In the treatment of acute cerebral infarction, ccompared with urokinase, alteplase can further relieve cognitive impairment and promote the recovery of nerve function through inhibiting levels of inflammatory factors and levels of serum Hcy and MCP-1. doi: https://doi.org/10.12669/pjms.38.3.4521 How to cite this:Gao L, Zhang S, Wo X, Shen X, Tian Q, Wang G. Intravenous thrombolysis with alteplase in the treatment of acute cerebral infarction. Pak J Med Sci. 2022;38(3):498-504. doi: https://doi.org/10.12669/pjms.38.3.4521 This is an Open Access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/3.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",2022,cerebral infarction,stroke,True,,,Pakistan Journal of Medical Sciences,pakistan journal of medical sciences,True,openalex,Lilin Gao; Shaojie Zhang; Xuewen Wo; Xiangpeng Shen; Qiangyuan Tian; Guoqing Wang,https://doi.org/10.12669/pjms.38.3.4521,11,,,,35480520,,,,,,,False,,10.12669/pjms.38.3.4521,,,,
https://openalex.org/W4286637501,10.1016/j.clineuro.2022.107380,Risk factors and their correlation with severity of cerebral microbleed in acute large artery atherosclerotic cerebral infarction patients,,2022,cerebral infarction,stroke,False,,,Clinical Neurology and Neurosurgery,clinical neurology and neurosurgery,False,openalex,Yanlin Chen; Maobin Ye,,18,,,,35917727,,,,,,,False,,10.1016/j.clineuro.2022.107380,,,,
https://openalex.org/W4281476217,10.1002/ibra.12046,Cerebral infarction after cardiac surgery,"Cerebral infarction, a common central nervous system complication after adult cardiac surgery, is one of the main factors leading to the poor prognosis of cardiac surgery patients besides cardiac insufficiency. However, there is currently no effective treatment for cerebral infarction. Therefore, early prevention and diagnosis of postoperative cerebral infarction are particularly important. There are many factors and mechanisms during and after cardiac surgery that play an important role in the occurrence of postoperative cerebral infarction, such as intraoperative embolism, systemic inflammatory response syndrome, atrial fibrillation, temperature regulation, blood pressure control, use of postoperative blood products, and so forth. The mechanism by which most risk factors act on the human body, leading to postoperative cerebral infarction, is not well understood, and further research is needed. Therefore, this paper aims to summarize and explain the relevant risk factors, mechanisms, clinical signs, imaging characteristics, and early diagnosis methods of cerebral infarction complications after cardiac surgery, and provides useful data for the establishment of related diagnosis and treatment standards.",2022,cerebral infarction,stroke,True,,,Ibrain,ibrain,True,openalex,Shan Wei; Yi‐Ran Cao; Da‐Xing Liu; Deng‐Shen Zhang,https://doi.org/10.1002/ibra.12046,8,,,,37786885,,,,,,,False,,10.1002/ibra.12046,,,,
https://openalex.org/W4289523873,10.1007/s00701-022-05321-8,Acute hydrocephalus and delayed cerebral infarction after aneurysmal subarachnoid hemorrhage,,2022,cerebral infarction,stroke,False,,,Acta Neurochirurgica,acta neurochirurgica,False,openalex,Axel Masson; Grégoire Boulouis; Kévin Janot; Denis Herbreteau; Jean-Phlippe Cottier; Richard Bibi; Clara Cohen; Sandra Obry; Stéphane Velut; Aymeric Amelot; Héloïse Ifergan,,13,,,,35918615,,,,,,,False,,10.1007/s00701-022-05321-8,,,,
