id,doi,title,abstract,year,term,discipline,is_oa,license,license_unpaywall,journal,journal_norm,journal_is_oa,source_db,authors,best_oa_location_url,cited_by_count,github,zenodo,osf,pubmed_id,repo_links,code_link,data_link,preregistered,preprint,journal_impact_factor,high_impact_flag,high_impact_reason,doi_norm,dataset_urls,dataset_repos,has_public_dataset,open_science_score
https://openalex.org/W614933755,10.1093/oso/9780192844491.001.0001,Handbook of Neurologic Music Therapy,"Abstract Neurologic Music Therapy (NMT) is a form of music therapy developed for people suffering from cognitive, sensory, or motor dysfunctions arising from neurological diseases of the nervous system. People who can benefit from this therapy include sufferers from stroke, traumatic brain injury, Parkinson's and Huntington's disease, cerebral palsy, Alzheimer's disease, autism, and other neurological diseases affecting cognition, movement, and communication (e.g. muscular sclerosis, muscular dystrophy). The Handbook of Neurologic Music Therapy is a comprehensive landmark text presenting a new and revolutionary model of music in rehabilitation, therapy, and medicine that is scientifically validated and clinically tested. It represents a field that is practised by over 4,000 NMT=-certified clinicians in over 70 countries. In this second edition, the book is fully updated and revised with new research updates in the field, and it extends the original clinical chapter content.",2025,neurology,neurology,False,,,,,,openalex,edited by Michael H. Thaut; Volker Hoemberg,,339,,,,,,,,,,,False,,10.1093/oso/9780192844491.001.0001,,,,
https://openalex.org/W4411505752,10.1126/science.adx0043,Neuroinflammation across neurological diseases,"The brain's response to injury includes the activation of intrinsic microglia and the influx of leukocytes, collectively constituting neuroinflammation, the ""flame"" of the brain. Although details differ and matter, neuroinflammation exacerbating neurodegeneration has similarities across multiple sclerosis and other neurological disorders, such as stroke and neurodegenerative diseases. Thus, lessons from successful disease-modifying therapies in multiple sclerosis may provide insights into strategies for modulating neuroinflammation and reducing neural injury in other neurological conditions. In this Review, we discuss these lessons and potential strategies for counteracting neuroinflammation, including taming the microglia-orchestrated brain immune responses that contribute to progressing neuropathology.",2025,neurology,neurology,False,,,Science,science,False,openalex,Fu‐Dong Shi; V. Wee Yong,,150,,,,40536983,,,,,,,False,,10.1126/science.adx0043,,,,
https://openalex.org/W4206375491,10.1055/s-00029030,Journal of Pediatric Neurology,,2025,neurology,neurology,False,,,Journal of Pediatric Neurology,journal of pediatric neurology,False,openalex,,,94,,,,,,,,,,,False,,10.1055/s-00029030,,,,
https://openalex.org/W4410569041,10.1007/978-3-031-88762-8_18,Optimized Neural Network for Prediction of Neurological Disorders,,2025,neurology,neurology,False,,,Communications in computer and information science,communications in computer and information science,False,openalex,Swagat Karve; Siddheshwar S. Gangonda; Ganesh Birajadar; Vaibhav Godase; R. G. Ghodake; Altaf O. Mulani,,132,,,,,,,,,,,False,,10.1007/978-3-031-88762-8_18,,,,
https://openalex.org/W4406716142,10.1016/s1474-4422(24)00476-9,Crossing the blood–brain barrier: emerging therapeutic strategies for neurological disease,,2025,neurology,neurology,True,,,The Lancet Neurology,the lancet neurology,False,openalex,Josephine H Pedder; Adam M. Sonabend; Michael D. Cearns; Benedict Michael; Rasheed Zakaria; Amy B. Heimberger; Michael D. Jenkinson; David Dickens,https://pmc.ncbi.nlm.nih.gov/articles/PMC12242972/,64,,,,39862873,,,,,,,False,,10.1016/s1474-4422(24)00476-9,,,,
https://openalex.org/W4407252115,10.1186/s12974-025-03363-0,Mitochondrial DNA leakage: underlying mechanisms and therapeutic implications in neurological disorders,"Mitochondrial dysfunction is a pivotal instigator of neuroinflammation, with mitochondrial DNA (mtDNA) leakage as a critical intermediary. This review delineates the intricate pathways leading to mtDNA release, which include membrane permeabilization, vesicular trafficking, disruption of homeostatic regulation, and abnormalities in mitochondrial dynamics. The escaped mtDNA activates cytosolic DNA sensors, especially cyclic gmp-amp synthase (cGAS) signalling and inflammasome, initiating neuroinflammatory cascades via pathways, exacerbating a spectrum of neurological pathologies. The therapeutic promise of targeting mtDNA leakage is discussed in detail, underscoring the necessity for a multifaceted strategy that encompasses the preservation of mtDNA homeostasis, prevention of membrane leakage, reestablishment of mitochondrial dynamics, and inhibition the activation of cytosolic DNA sensors. Advancing our understanding of the complex interplay between mtDNA leakage and neuroinflammation is imperative for developing precision therapeutic interventions for neurological disorders.",2025,neurology,neurology,True,,,Journal of Neuroinflammation,journal of neuroinflammation,True,openalex,Guangming Zhang; Huayuan Wei; Anliu Zhao; Yan Xu; Xiaolu Zhang; Jiali Gan; Maojuan Guo; Jie Wang; Fayan Zhang; Yifang Jiang; Xinxing Liu; Zhen Yang; Xijuan Jiang,https://doi.org/10.1186/s12974-025-03363-0,53,,,,39920753,,,,,,,False,,10.1186/s12974-025-03363-0,,,,
https://openalex.org/W4407625977,10.1001/jamaneurol.2024.5326,Computer Vision in Clinical Neurology,"Importance: Neurological examinations traditionally rely on visual analysis of physical clinical signs, such as tremor, ataxia, or nystagmus. Contemporary score-based assessments aim to standardize and quantify these observations, but these tools suffer from clinimetric limitations and often fail to capture subtle yet important aspects of human movement. This poses a significant roadblock to more precise and personalized neurological care, which increasingly focuses on early stages of disease. Computer vision, a branch of artificial intelligence, has the potential to address these challenges by providing objective measures of neurological signs based solely on video footage. Observations: Recent studies highlight the potential of computer vision to measure disease severity, discover novel biomarkers, and characterize therapeutic outcomes in neurology with high accuracy and granularity. Computer vision may enable sensitive detection of subtle movement patterns that escape the human eye, aligning with an emerging research focus on early disease stages. However, challenges in accessibility, ethics, and validation need to be addressed for widespread adoption. In particular, improvements in clinical usability and algorithmic robustness are key priorities for future developments. Conclusions and Relevance: Computer vision technologies have the potential to revolutionize neurological practice by providing objective, quantitative measures of neurological signs. These tools could enhance diagnostic accuracy, improve treatment monitoring, and democratize specialized neurological care. Clinicians should be aware of these emerging technologies and their potential to complement traditional assessment methods. However, further research focusing on clinical validation, ethical considerations, and practical implementation is necessary to fully realize the potential of computer vision in clinical neurology.",2025,neurology,neurology,False,,,JAMA Neurology,jama neurology,False,openalex,Maximilian Friedrich; Samuel D. Relton; David Wong; Jane Alty,,24,,,,39960732,,,,,,,False,,10.1001/jamaneurol.2024.5326,,,,
https://openalex.org/W4407991638,10.3390/brainsci15030252,Phytochemicals Targeting BDNF Signaling for Treating Neurological Disorders,"Neurological disorders are defined by a deterioration or disruption of the nervous system's structure and function. These diseases, which include multiple sclerosis, Alzheimer's disease, Parkinson's disease, Huntington's disease, and schizophrenia, are caused by intricate pathological processes that include excitotoxicity, neuroinflammation, oxidative stress, genetic mutations, and compromised neurotrophic signaling. Although current pharmaceutical treatments relieve symptoms, their long-term efficacy is limited due to adverse side effects and weak neuroprotective properties. However, when combined with other neuroprotective drugs or adjunct therapy, they may offer additional benefits and improve treatment outcomes. Phytochemicals have emerged as attractive therapeutic agents due to their ability to regulate essential neurotrophic pathways, especially the brain-derived neurotrophic factor (BDNF) signaling cascade. BDNF is an important target for neurodegenerative disease (ND) treatment since it regulates neuronal survival, synaptic plasticity, neurogenesis, and neuroprotection. This review emphasizes the molecular pathways through which various phytochemicals-such as flavonoids, terpenoids, alkaloids, and phenolic compounds-stimulate BDNF expression and modulate its downstream signaling pathways, including GSK-3β, MAPK/ERK, PI3K/Akt/mTOR, CREB, and Wnt/β-catenin. This paper also highlights how phytochemical combinations may interact to enhance BDNF activity, offering new therapeutic options for ND treatment. Despite their potential for neuroprotection, phytochemicals face challenges related to pharmacokinetics, blood-brain barrier (BBB) permeability, and absorption, highlighting the need for further research into combination therapies and improved formulations. Clinical assessment and mechanistic understanding of BDNF-targeted phytotherapy should be the main goals of future studies. The therapeutic efficacy of natural compounds in regulating neurotrophic signaling is highlighted in this review, providing a viable approach to the prevention and treatment of NDs.",2025,neurology,neurology,True,,,Brain Sciences,brain sciences,True,openalex,Alka Ashok Singh; Shweta Katiyar; Minseok Song,https://doi.org/10.3390/brainsci15030252,34,,,,40149774,,,,,,,False,,10.3390/brainsci15030252,,,,
https://openalex.org/W4411026082,10.3390/cimb47060417,"Neuroinflammation: Mechanisms, Dual Roles, and Therapeutic Strategies in Neurological Disorders","Neuroinflammation represents a fundamental component in the development and progression of a wide range of neurological disorders, including neurodegenerative diseases, psychiatric conditions, and cerebral injuries. This review examines the complex mechanisms underlying neuroinflammatory responses, with a focus on the interactions between glial cells and neurons. The dualistic role of neuroinflammation is further investigated, highlighting its ability to promote neuroprotection in acute phases while also contributing to neuronal injury and degeneration during chronic activation. This review also considers innovative therapeutic approaches designed to target neuroinflammatory processes, like drug-based treatments and immune-modulating therapies. A thorough understanding of the regulatory balance within neuroinflammatory networks is essential for the development of effective treatments for several neurological pathologies. Finally, this review provides an integrative summary of current evidence and highlights emerging directions in neuroinflammation research.",2025,neurology,neurology,True,,,Current Issues in Molecular Biology,current issues in molecular biology,True,openalex,Mario García‐Domínguez,https://doi.org/10.3390/cimb47060417,38,,,,40699816,,,,,,,False,,10.3390/cimb47060417,,,,
https://openalex.org/W4408089540,10.3390/ijms26052231,Molecular Biomarkers in Neurological Diseases: Advances in Diagnosis and Prognosis,"Neurological diseases contribute significantly to disability and mortality, necessitating improved diagnostic and prognostic tools. Advances in molecular biomarkers at genomic, transcriptomic, epigenomic, and proteomic levels have facilitated early disease detection. Notably, neurofilament light chain (NfL) serves as a key biomarker of neurodegeneration, while liquid biopsy techniques enable non-invasive monitoring through exosomal tau, α-synuclein, and inflammatory markers. Artificial intelligence (AI) and multi-omics integration further enhance biomarker discovery, promoting precision medicine. A comprehensive literature review was conducted using PubMed, Scopus, and Web of Science to identify studies (2010-2024) on molecular biomarkers in neurodegenerative and neuroinflammatory disorders. Key findings on genomic mutations, transcriptomic signatures, epigenetic modifications, and protein-based biomarkers were analyzed. The findings highlight the potential of liquid biopsy and multi-omics approaches in improving diagnostic accuracy and therapeutic stratification. Genomic, transcriptomic, and proteomic markers demonstrate utility in early detection and disease monitoring. AI-driven analysis enhances biomarker discovery and clinical application. Despite advancements, challenges remain in biomarker validation, standardization, and clinical implementation. Large-scale longitudinal studies are essential to ensure reliability. AI-powered multi-omics analysis may accelerate biomarker application, ultimately improving patient outcomes in neurological diseases.",2025,neurology,neurology,True,,,International Journal of Molecular Sciences,international journal of molecular sciences,True,openalex,Athena Myrou; Konstantinos Barmpagiannos; Aliki Ioakimidou; Christos Savopoulos,https://doi.org/10.3390/ijms26052231,32,,,,40076852,,,,,,,False,,10.3390/ijms26052231,,,,
