id,doi,title,abstract,year,term,discipline,is_oa,license,license_unpaywall,journal,journal_norm,journal_is_oa,source_db,authors,best_oa_location_url,cited_by_count,github,zenodo,osf,pubmed_id,repo_links,code_link,data_link,preregistered,preprint,journal_impact_factor,high_impact_flag,high_impact_reason,doi_norm,dataset_urls,dataset_repos,has_public_dataset,open_science_score
https://openalex.org/W4413842862,10.1056/nejmoa2504735,Beta-Blockers after Myocardial Infarction without Reduced Ejection Fraction,"BACKGROUND: Current guideline recommendations for the use of beta-blockers after myocardial infarction without reduced ejection fraction are based on trials conducted before routine reperfusion, invasive care, complete revascularization, and contemporary pharmacologic therapies became standard practice. METHODS: We conducted an open-label, randomized trial in Spain and Italy to evaluate the effect of beta-blocker therapy, as compared with no beta-blocker therapy, in patients with acute myocardial infarction (with or without ST-segment elevation) and a left ventricular ejection fraction above 40%. The primary outcome was a composite of death from any cause, reinfarction, or hospitalization for heart failure. RESULTS: In total, 4243 patients were randomly assigned to receive beta-blocker therapy and 4262 to receive no beta-blocker therapy; after exclusions, 8438 patients were included in the main analysis. During a median follow-up of 3.7 years, a primary-outcome event occurred in 316 patients (22.5 events per 1000 patient-years) in the beta-blocker group and in 307 patients (21.7 events per 1000 patient-years) in the no-beta-blocker group (hazard ratio, 1.04; 95% confidence interval [CI], 0.89 to 1.22; P = 0.63). Death from any cause occurred in 161 patients and 153 patients, respectively (11.2 vs. 10.5 events per 1000 patient-years; hazard ratio, 1.06; 95% CI, 0.85 to 1.33); reinfarction in 143 patients and 143 patients (10.2 vs. 10.1 events per 1000 patient-years; hazard ratio, 1.01; 95% CI, 0.80 to 1.27); and hospitalization for heart failure in 39 patients and 44 patients (2.7 vs. 3.0 events per 1000 patient-years; hazard ratio, 0.89; 95% CI, 0.58 to 1.38). No apparent between-group differences in safety outcomes were noted. CONCLUSIONS: Among patients discharged after invasive care for a myocardial infarction with a left ventricular ejection fraction above 40%, beta-blocker therapy appeared to have no effect on the incidence of death from any cause, reinfarction, or hospitalization for heart failure. (Funded by Centro Nacional de Investigaciones Cardiovasculares Carlos III and others; ClinicalTrials.gov number, NCT03596385; EudraCT number, 2017-002485-40.).",2025,myocardial infarction,cardiology,False,,,New England Journal of Medicine,new england journal of medicine,False,openalex,Borja Ibáñez; Roberto Latini; Xavier Rosselló; Alberto Domínguez‐Rodríguez; Felipe Fernández‐Vázquez; Valentina Pelizzoni; Pedro L. Sánchez; Manuel Anguita; José A. Barrabés; Sergio Raposeiras‐Roubín; Stuart Pocock; Noemí Escalera; Lidia Staszewsky; Carlos Nicolás Pérez‐García; Pablo Díez‐Villanueva; Jose-Ángel Pérez-Rivera; Óscar Prada‐Delgado; Ruth Owen; Gonzalo Pizarro; Onofre Caldés; Sandra Gómez‐Talavera; José Tuñón; Matteo Bianco; Jesús Zarauza; Alfredo Vetrano; Ana Campos; Susana Martínez-Huertas; Héctor Bueno; Miguel Puentes; Giulietta Grigis; Juan L. Bonilla‐Palomas; Elvira Marco; José Ramón González‐Juanatey; Roi Bangueses; Carlos González-Juanatey; Ana García‐Álvarez; Juan Ruiz-García; Anna Carrasquer; Juan C. Garcı́a-Rubira; Domingo A. Pascual‐Figal; Carlos Tomás-Querol; J. Alberto San Román; Pasquale Baratta; Jaume Agüero; Roberto Martín-Reyes; Furio Colivicchi; Rosario Ortas-Nadal; Pablo Bazal; Alberto Cordero; Antonio Fernández‐Ortíz; Pierangelo Basso; Eva González; Fabrizio Poletti; Giulia Bugani; Marzia Debiasio; Deborah Cosmi; Alessandro Navazio; Javier Bermejo; Giovanni Tortorella; Marco Marini; Javier Botas; José M. de la Torre-Hernández; Filippo Ottani; Valentı́n Fuster,,84,,,,40888702,,,,,,,False,,10.1056/nejmoa2504735,,,,
https://openalex.org/W4407752799,10.1161/circulationaha.124.070729,Prognostic Relevance of Type 4a Myocardial Infarction and Periprocedural Myocardial Injury in Patients With Non–ST-Segment–Elevation Myocardial Infarction,"BACKGROUND: Periprocedural myocardial injury (PMI) with or without type 4a myocardial infarction (MI) might occur in patients with non-ST-segment-elevation MI (NSTEMI) after percutaneous coronary intervention (PCI). This study investigated the incidence and prognostic relevance of these events, according to current definitions, in patients with NSTEMI undergoing PCI. The best cardiac troponin I (cTnI) threshold of PMI for prognostic stratification is also suggested. METHODS: Consecutive patients with NSTEMI from January 2017 to April 2022 undergoing PCI with stable or falling pre-PCI cTnI levels were enrolled. According to the Fourth Universal Definition of Myocardial Infarction, the study population was stratified into those experiencing (1) PMI with type 4a MI, (2) PMI without type 4a MI, or (3) no PMI. Post-PCI cTnI increase >20% with an absolute postprocedural value of ≥5 times the 99th percentile upper reference limit within 48 hours after PCI was used to define PMI. The primary end point was 1-year all-cause mortality, and the secondary end point consisted of major adverse cardiovascular events at 1 year, including all-cause mortality, nonfatal reinfarction, urgent revascularization, nonfatal ischemic stroke, and hospitalization for heart failure. Internal validation was performed in patients enrolled between May 2022 and April 2023. RESULTS: Among 1412 patients with NSTEMI undergoing PCI with stable or falling cTnI levels at baseline, 240 (17%) experienced PMI with type 4a MI, 288 (20.4%) experienced PMI without type 4a MI, and 884 (62.6%) experienced no PMI. PMI was associated with an increased risk of adverse clinical outcomes, with patients with type 4a MI demonstrating the highest rates of 1-year all-cause mortality and major adverse cardiovascular events. A post-PCI ΔcTnI >20% but ≤40% showed similar outcomes to patients without PMI, whereas >40% was identified as the optimal threshold for prognostically relevant PMI, confirmed in an internal validation cohort of 305 patients. CONCLUSIONS: Periprocedural ischemic events were frequent in patients with NSTEMI undergoing PCI with prognostic implications. A post-PCI ΔcTnI >40%, combined with an absolute postprocedural value of ≥5 times the 99th percentile upper reference limit, was identified as the optimal threshold for diagnosing prognostically relevant PMI. Recognizing these events may improve risk stratification and management of patients with NSTEMI.",2025,myocardial infarction,cardiology,True,,,Circulation,circulation,False,openalex,Matteo Armillotta; Luca Bergamaschi; Pasquale Paolisso; Marta Belmonte; Francesco Angeli; Angelo Sansonetti; Andrea Stefanizzi; Davide Bertolini; Francesca Bodega; Sara Amicone; Lisa Canton; Damiano Fedele; Nicole Suma; Andrea Impellizzeri; Francesco Pio Tattilo; Daniele Cavallo; Ornella Di Iuorio; Khrystyna Ryabenko; Andrea Rinaldi; Gabriele Ghetti; Francesco Saia; Cinzia Marrozzini; Gianni Casella; Paola Rucci; Alberto Foà; Carmine Pizzi,https://doi.org/10.1161/circulationaha.124.070729,52,,,,39968630,,,,,,,False,,10.1161/circulationaha.124.070729,,,,
https://openalex.org/W4416040060,10.1056/nejmoa2514428,Evolocumab in Patients without a Previous Myocardial Infarction or Stroke,"BACKGROUND: The proprotein convertase subtilisin-kexin type 9 (PCSK9) inhibitor evolocumab reduces the risk of major adverse cardiovascular events (MACE) among patients with a previous myocardial infarction, stroke, or symptomatic peripheral artery disease. The effect of evolocumab on the risk of MACE among patients without a previous myocardial infarction or stroke is unknown. METHODS: We conducted an international, double-blind, randomized, placebo-controlled trial of evolocumab in patients with atherosclerosis or diabetes and without a previous myocardial infarction or stroke who had a low-density lipoprotein cholesterol level of at least 90 mg per deciliter. Patients were randomly assigned in a 1:1 ratio to receive evolocumab at a dose of 140 mg every 2 weeks or placebo. The two primary end points were a composite of death from coronary heart disease, myocardial infarction, or ischemic stroke (3-point MACE) and a composite of 3-point MACE or ischemia-driven arterial revascularization (4-point MACE). RESULTS: A total of 12,257 patients were randomly assigned to receive evolocumab (6129 patients) or placebo (6128) and were included in the efficacy analyses. The median age of the patients was 66 years, 43% were women, and 93% were White. The median follow-up was 4.6 years. A 3-point MACE event occurred in 336 patients (5-year Kaplan-Meier estimate, 6.2%) in the evolocumab group, as compared with 443 (8.0%) in the placebo group (hazard ratio, 0.75; 95% confidence interval [CI], 0.65 to 0.86; P<0.001). A 4-point MACE event occurred in 747 patients (5-year Kaplan-Meier estimate, 13.4%) in the evolocumab group, as compared with 907 (16.2%) in the placebo group (hazard ratio, 0.81; 95% CI, 0.73 to 0.89; P<0.001). No evidence of a between-group difference was seen in the incidence of safety events. CONCLUSIONS: PCSK9 inhibition with evolocumab led to a lower risk of first cardiovascular events than placebo among patients with atherosclerosis or diabetes and without a previous myocardial infarction or stroke. (Funded by Amgen; VESALIUS-CV ClinicalTrials.gov number, NCT03872401.).",2025,myocardial infarction,cardiology,False,,,New England Journal of Medicine,new england journal of medicine,False,openalex,Erin A. Bohula; Nicholas Marston; Ajay Bhatia; Gaetano Maria De Ferrari; Lawrence A. Leiter; José Carlos Nicolau; Jeong-Gun Park; Julia Kuder; Sabina A. Murphy; Emileigh Walsh; Huei Wang; V. Bláha; Andrzej Budaj; Jan H. Cornel; Assen Goudev; Róbert Gábor Kiss; Alberto Lorenzatti; Alexander Parkhomenko; Marcoli Cyrille; Gabriel Paiva da Silva Lima; E. Magnus Ohman; Robert P. Giugliano; Marc S. Sabatine,,55,,,,41211925,,,,,,,False,,10.1056/nejmoa2514428,,,,
https://openalex.org/W4413842721,10.1056/nejmoa2505985,Beta-Blockers after Myocardial Infarction in Patients without Heart Failure,"BACKGROUND: The evidence supporting beta-blocker therapy after myocardial infarction was established before the introduction of modern coronary reperfusion therapy and secondary prevention strategies. METHODS: In an open-label, randomized trial with blinded end-point evaluation, conducted in Denmark and Norway, we assigned patients who had had a myocardial infarction and who had a left ventricular ejection fraction of at least 40%, in a 1:1 ratio, to receive long-term beta-blocker therapy within 14 days after the event or no beta-blocker therapy. The primary end point was a composite of death from any cause or major adverse cardiovascular events (new myocardial infarction, unplanned coronary revascularization, ischemic stroke, heart failure, or malignant ventricular arrhythmias). RESULTS: A total of 5574 patients underwent randomization and were included in the main analyses - 2783 in the beta-blocker group and 2791 in the no-beta-blocker group. After a median follow-up of 3.5 years (interquartile range, 2.2 to 4.6), a primary end-point event had occurred in 394 patients (14.2%) in the beta-blocker group and in 454 patients (16.3%) in the no-beta-blocker group (hazard ratio, 0.85; 95% confidence interval [CI], 0.75 to 0.98; P = 0.03). Death from any cause occurred in 4.2% of the patients in the beta-blocker group and in 4.4% of those in the no-beta-blocker group; myocardial infarction occurred in 5.0% and 6.7%, respectively (hazard ratio, 0.73; 95% CI, 0.59 to 0.92), unplanned coronary revascularization in 3.9% and 3.9%, ischemic stroke in 1.6% and 1.3%, heart failure in 1.5% and 1.9%, and malignant ventricular arrhythmias in 0.5% and 0.6%. No apparent differences in safety outcomes were observed between the groups. CONCLUSIONS: Among patients with a myocardial infarction and a left ventricular ejection fraction of at least 40%, beta-blocker therapy led to a lower risk of death or major adverse cardiovascular events than no beta-blocker therapy. (Funded by the Health South-East research program in Norway and others; BETAMI-DANBLOCK ClinicalTrials.gov numbers, NCT03646357 and NCT03778554.).",2025,myocardial infarction,cardiology,True,,,New England Journal of Medicine,new england journal of medicine,False,openalex,John Munkhaugen; Anna Meta Dyrvig Kristensen; Sigrun Halvorsen; Therese Lucia Friis Holmager; Michael Hecht Olsen; Arnhild Bakken; T S G Sehested; Vidar Ruddox; Michael Mæng; Kjell Vikenes; Svend Eggert Jensen; Terje K. Steigen; Jess Lambrechtsen; Jarle Jortveit; Ann Bovin; Henrik Schirmer; Morten Krogh Christiansen; Rune Wiseth; Dennis Mikkelsen; Alf Inge Larsen; Camilla Lyngby Kjærgaard; Kristoffer Andresen; Ida Gustafsson; Vegard Tuseth; Mogens Lytken Larsen; P. Deeg; Karsten Tange Veien; Ellen Bøhmer; Hans Erik Bøtker; Anja Otrebska Brattrud; Jens Brønnum-Schou; Alf‐Åge R. Pettersen; Lia E. Bang; Erik Øie; Thomas Engstrøm; Eva Bostad Borg; Kjeld Kristensen; Ståle H. Nymo; Gunnar Gislason; Nils Tore Vethe; Jawdat Abdulla; Toril Dammen; Mette Rauhe Mouridsen; Bjørn Bendz; Mette Bertelsen; Jens Dahlgaard Hove; Louise Lind Schierbeck; Martin Snoer; Cédric Davidsen; Gro Egholm; Kristian Korsgaard Thomsen; Ghassan Jadou; Monica Petronela Poenaru; Nikolaj T. Krarup; Morten Bøttcher; Peter Stæhr; Ann‐Dorthe Zwisler; Thor Edvardsen; Christian Torp‐Pedersen; Jan Erik Otterstad; Theis Lange; Morten Wang Fagerland; Dan Atar; Eva Prescott,https://orbi.uliege.be/handle/2268/335762,63,,,,40888716,,,,,,,False,,10.1056/nejmoa2505985,,,,
https://openalex.org/W4406155208,10.1016/j.jacc.2024.10.103,Myocardial Fibroblast Activation After Acute Myocardial Infarction,"Myocardial fibrosis is a key healing response after myocardial infarction driven by activated fibroblasts. Gallium-68-labeled fibroblast activation protein inhibitor ([ 68 Ga]-FAPI) is a novel positron-emitting radiotracer that binds activated fibroblasts. The aim of this study was to investigate the intensity, distribution, and time-course of fibroblast activation after acute myocardial infarction. A total of 40 patients with acute myocardial infarction underwent hybrid [ 68 Ga]FAPI-46 positron emission tomography and cardiac magnetic resonance and were compared with matched control subjects (n = 19) and those with chronic (>2 years) myocardial infarction (n = 20). Intensity of [ 68 Ga]FAPI-46 uptake was quantified by maximum target-to-background ratio (TBR max ). Burdens of fibroblast activation and scar were assessed by percent myocardial involvement of [ 68 Ga]FAPI-46 uptake and late gadolinium enhancement, respectively. Myocardial [ 68 Ga]FAPI-46 uptake was observed in the acute infarct and peri-infarct regions that exceeded the extent of late gadolinium enhancement (burden 27.8% ± 12.4% vs 15.2% ± 10.6%; P < 0.001). One-third of patients also demonstrated right ventricular involvement. Myocardial [ 68 Ga]FAPI-46 uptake was most intense at 1 and 2 weeks before declining at 4 and 12 weeks (TBR max 4.0 ± 1.1, 3.7 ± 1.0, 3.1 ± 0.8, and 2.7 ± 0.7; P < 0.001). In comparison with control subjects, increased [ 68 Ga]FAPI-46 uptake was observed in chronic (7 ± 6 years ago) infarcts at lower intensity than acute infarction (TBR max 1.2 ± 0.1 vs 1.7 ± 0.5 vs 4.0 ± 1.1; P < 0.001). Baseline [ 68 Ga]FAPI-46 burden correlated with lower left ventricular ejection fraction ( r = −0.606), higher indexed left ventricular end-diastolic volume ( r = 0.572), and higher scar burden ( r = 0.871) at 1 year ( P < 0.001 for all). Increased remote myocardial [ 68 Ga]FAPI-46 uptake was associated with left ventricular dilatation and systolic dysfunction. Myocardial fibroblast activation peaks within a week of acute myocardial infarction and extends beyond the infarct region. It declines slowly with time, persists for years, and is associated with subsequent left ventricular remodeling. (PROFILE-MI–The FAPI Fibrosis Study; NCT05356923 )",2025,myocardial infarction,cardiology,True,,,Journal of the American College of Cardiology,journal of the american college of cardiology,False,openalex,Anna Barton; Neil Craig; Krithika Loganath; Shruti Joshi; Vasiliki Tsampasian; Menaka Mahendran; Joel Lenell; Evangelos Tzolos; Trisha Singh; Beth Whittington; Jennifer Nash; Michelle C. Williams; Edwin J.R. van Beek; Mark G. MacAskill; Bronwyn Berkeley; Stefan Vezaides; Mairi Brittan; Andrew H. Baker; Stephanie Sellers; Alison Fletcher; Tim Clark; Clint Waight; Riemer H. J. A. Slart; Daniel S. Berman; Damini Dey; Piotr J. Slomka; David E. Newby; Marc R. Dweck,https://doi.org/10.1016/j.jacc.2024.10.103,38,,,,39772364,,,,,,,False,,10.1016/j.jacc.2024.10.103,,,,
https://openalex.org/W4406509643,10.1016/j.annemergmed.2024.11.019,ECG Patterns of Occlusion Myocardial Infarction: A Narrative Review,"The traditional management of acute coronary syndrome has relied on the identification of ST-segment elevation myocardial infarction (STEMI) as a proxy of acute coronary occlusion. This conflation of STEMI with acute coronary occlusion has historically overshadowed non-ST-segment elevation myocardial infarction (NSTEMI), despite evidence suggesting 25% to 34% of NSTEMI cases may also include acute coronary occlusion. Current limitations in the STEMI/NSTEMI binary framework underscore the need for a revised approach to chest pain and acute coronary syndrome management. The emerging paradigm distinguishing occlusion myocardial infarction from nonocclusion myocardial infarction (NOMI) seeks to enhance diagnostic accuracy and prognostic effect in acute coronary syndrome care. This approach not only emphasizes the urgency of reperfusion therapy for high-risk ECG patterns not covered by current STEMI criteria, but also emphasizes the broader transition from viewing acute coronary syndrome as a disease defined by the ECG to a disease defined by its underlying pathology, for which the ECG is an important but insufficient surrogate test. This report outlines the emerging occlusion myocardial infarction paradigm, detailing specific ECG patterns linked to acute coronary occlusion, and proposes a new framework that could enhance triage accuracy and treatment strategies for acute coronary syndrome. Although further validation is required, the occlusion myocardial infarction pathway holds promise for earlier acute coronary occlusion detection, timely cath lab activation, and improved myocardial salvage-offering potentially significant implications for both clinical practice and future research in acute coronary syndrome management.",2025,myocardial infarction,cardiology,True,,,Annals of Emergency Medicine,annals of emergency medicine,False,openalex,Fabrizio Ricci; Chiara Martini; Davide Maria Scordo; D Rossi; Sabina Gallina; Artur Fedorowski; Luigi Sciarra; C. Anwar A. Chahal; H. Pendell Meyers; Robert Herman; Stephen W. Smith,https://doi.org/10.1016/j.annemergmed.2024.11.019,40,,,,39818676,,,,,,,False,,10.1016/j.annemergmed.2024.11.019,,,,
https://openalex.org/W4406897552,10.1093/eurheartj/ehae885,Incident heart failure and recurrent coronary events following acute myocardial infarction,"BACKGROUND AND AIMS: Recurrent myocardial infarction (MI) and incident heart failure (HF) are major post-MI complications. Herein, contemporary post-MI risks for recurrent MI and HF are described. METHODS: A total of 6804 patients with a primary discharge diagnosis of MI at 28 Baylor Scott & White Health hospitals (January 2015 to December 2021) were studied. Patient characteristics, treatment, and outcomes, including incident HF, recurrent MI, all-cause death, and all-cause and cardiovascular rehospitalizations, were assessed. Landmark approach anchored at 3 months post-discharge was used to assess 1-year outcomes. RESULTS: Median age was 69 years, 59.7% were male, and 76.7% had non-ST-elevation MI. Comorbidities included hypertension (89%), dyslipidaemia (87%), Type 2 diabetes (48%), and chronic kidney disease (34%); 17% had a history of MI and 23% of HF; 63% underwent percutaneous/surgical revascularization. In landmark-anchored 1-year outcomes (N = 6210), 413 (6.7%) patients died, 1730 (27.9%) had all-cause and 735 (11.8%) cardiovascular hospitalizations, 234 (3.8%) had recurrent MI. Of patients without history of HF, 1160 (23.8%) developed incident HF [42.2%, 26.7%, and 31.1% with ejection fraction (EF) < 40%, 41-49%, and >50%, respectively) within 3 months of discharge. Patients who developed HF had higher risk of death and hospitalizations (all P < .001), irrespective of EF. Of 2179 patients with EF > 50% without prevalent HF or HF during index hospitalization, 257 (11.8%) developed HF and 77 (3.5%) recurrent MI within 1 year. CONCLUSIONS: In a contemporary post-MI cohort, the risk for incident HF was greater than recurrent MI, even among those with normal EF and no HF at discharge.",2025,myocardial infarction,cardiology,True,,,European Heart Journal,european heart journal,False,openalex,Javed Butler; Kendall Hammonds; Khawaja M. Talha; Ayman Alhamdow; Monica Bennett; J Vee Anne Bomar; Jason A Ettlinger; Monica Martinez Traba; Elisa L. Priest; Niklas Schmedt; Cecilia Zeballos; Courtney Shaver; Aasim Afzal; R. Jay Widmer; Robert Gottlieb; Michael J. Mack; Milton Packer,https://doi.org/10.1093/eurheartj/ehae885,52,,,,39874177,,,,,,,False,,10.1093/eurheartj/ehae885,,,,
https://openalex.org/W4412010816,10.1093/eurheartj/ehaf390,"First myocardial infarction: risk factors, symptoms, and medical therapy","BACKGROUND AND AIMS: Despite the implementation of clinical risk algorithms based on traditional risk factors, the global burden of atherosclerotic cardiovascular disease has continued to rise over the past decades. There are few real-world data on prevalence of both symptoms and risk factors prior to myocardial infarction (MI). This study aimed to investigate the prevalence of documented coronary artery disease risk factors, documented symptoms, physician visits, and preventive therapy uptake prior to first MI. METHODS: In this retrospective cohort study, US patients ≥18 years with a first MI [International Classification of Diseases, 10th Revision (ICD-10) definition] between 1 January 2017 and 30 September 2022 were included from the Clarivate Real-World Data Product that links electronic health records, medical claims, and pharmacy claims from 98% of government and commercial health insurance plans in the US. Prevalence of previously ICD-10 documented cardiac symptoms and standard modifiable risk factors (SMuRFs), physician visits, and use of preventive medical therapy were assessed prior to MI. RESULTS: The study identified 4 657 412 patients with a first MI (2017-2022), with a median age of 70 years; 42.3% were women. Prior to MI, 50.5% of patients had no documented symptoms, 18.0% had no SMuRFs, 22.2% did not have documented physician visits, and 63.4% were not prescribed any preventive therapy. Individuals ≤60 years and men were less likely to have documented symptoms and SMuRFs, had lower frequency of primary care physician visits, used less preventive therapy, and had more frequent occurrence of ST-elevation MI than individuals >60 years and women, respectively. CONCLUSIONS: In a large real-world dataset, half of the patients with first MI did not have documented antecedent symptoms, and approximately 1 in 5 had no previously identified SMuRFs. The majority of those who visited a physician prior to the MI with identified SMuRFs and symptoms were not using any preventive medical therapy. These findings highlight an urgent unmet need for improved tools to identify patients at risk of MI who may benefit from preventive therapy.",2025,myocardial infarction,cardiology,True,,,European Heart Journal,european heart journal,False,openalex,Nick S. Nurmohamed; Quyen Ngo‐Metzger; Pam R. Taub; Kausik K Ray; Gemma A. Figtree; Marc P. Bonaca; Judith Hsia; Santosh Angadageri; James P. Earls; Fatima Rodriguez; Alexander T. Sandhu; James K. Min; Udo Hoffmann; David J. Maron; Deepak L. Bhatt,https://doi.org/10.1093/eurheartj/ehaf390,33,,,,40605456,,,,,,,False,,10.1093/eurheartj/ehaf390,,,,
https://openalex.org/W4410174657,10.15829/1560-4071-2025-6306,2024 Clinical practice guidelines for Acute myocardial infarction with ST segment elevation electrocardiogram,"Russian Society of Cardiology (RSC) With the participation of: the Association of Cardiovascular Surgeons, the Russian Society of Emergency Medical Care, the Russian Association of Ultrasound Diagnostics Specialists in Medicine (RASUDM) Approved by the Research and Practical Council of the Ministry of Health of the Russian Federation",2025,myocardial infarction,cardiology,True,,,Russian Journal of Cardiology,russian journal of cardiology,True,openalex,О. В. Аверков; GOHAR HARUTYUNYAN; D. V. Duplyakov; Е. В. Константинова; Н. Н. Константинова; Р. М. Шахнович; I. S. Yavelov; A. N. Yakovlev; Abugov Sa; B. G. Alekyan; D. M. Aronov; М. В. Архипов; О. Л. Барбараш; S. А. Boytsov; M. G. Bubnova; Т. В. Вавилова; E. Yu. Vasilyeva; А. S. Galyavich; V. I. Ganyukov; S. R. Gilyarevsky; Е.П. Голубев; Е. З. Голухова; D. A. Zateyshchikov; Karpov IuA; Е. Д. Космачева; Yu. M. Lopatin; В. А. Марков; Е. В. Меркулов; Н. А. Новикова; Е. П. Панченко; Д. В. Певзнер; Nana Pogosova; D. M. Prasol; А. В. Протопопов; Д. В. Скрыпник; Р. С. Тарасов; С. Н. Терещенко; S. А. Ustyugov; А. В. Хрипун; E. A. Tsebrovskaya; С. В. Шалаев; Е. V. Shlyakhto; Shpektor Av; S. S. Yаkushin,https://doi.org/10.15829/1560-4071-2025-6306,45,,,,,,,,,,,False,,10.15829/1560-4071-2025-6306,,,,
https://openalex.org/W4416052177,10.1056/nejmoa2512686,Beta-Blockers after Myocardial Infarction with Normal Ejection Fraction,"BACKGROUND: The benefit of beta-blockers after myocardial infarction in patients with a preserved left ventricular ejection fraction (LVEF) is unclear. METHODS: We conducted a meta-analysis at the individual-patient level using data from five open-label trials that randomly assigned patients with recent myocardial infarction, no other indications for beta-blocker therapy, and an LVEF of at least 50% to receive beta-blocker therapy or no beta-blocker therapy. The primary end point was a composite of death from any cause, myocardial infarction, or heart failure. Event rates were analyzed with a one-stage fixed-effects Cox proportional-hazards model. RESULTS: A total of 17,801 patients were included from the REBOOT (7459 patients), REDUCE-AMI (4967 patients), BETAMI (2441 patients), DANBLOCK (2277 patients), and CAPITAL-RCT (657 patients) trials. Of these 17,801 patients, 8831 (49.6%) were assigned to receive a beta-blocker and 8970 (50.4%) were assigned to receive no beta-blocker. During a median follow-up of 3.6 years (interquartile range, 2.3 to 4.6), a primary-end-point event occurred in 717 patients (8.1%) in the beta-blocker group and 748 patients (8.3%) in the no-beta-blocker group (hazard ratio, 0.97; 95% confidence interval [CI], 0.87 to 1.07; P = 0.54). Death from any cause occurred in 335 patients in the beta-blocker group and 326 patients in the no-beta-blocker group (hazard ratio, 1.04; 95% CI, 0.89 to 1.21); myocardial infarction occurred in 360 and 407 patients, respectively (hazard ratio, 0.89; 95% CI, 0.77 to 1.03); and heart failure occurred in 75 and 87 patients (hazard ratio, 0.87; 95% CI, 0.64 to 1.19). CONCLUSIONS: In this meta-analysis including individual-patient data from five randomized trials, beta-blocker therapy did not reduce the incidence of death from any cause, myocardial infarction, or heart failure in patients with an LVEF of at least 50% after myocardial infarction without other indications for beta-blockers. (Funded by Centro Nacional de Investigaciones Cardiovasculares Carlos III and others; PROSPERO database number, CRD420251119176.).",2025,myocardial infarction,cardiology,False,,,New England Journal of Medicine,new england journal of medicine,False,openalex,Anna Meta Dyrvig Kristensen; Xavier Rosselló; Dan Atar; Troels Yndigegn; Takeshi Kimura; Roberto Latini; Bertil Lindahl; Sigrun Halvorsen; Michael Hecht Olsen; Valentı́n Fuster; Robin Hofmann; Kjell Vikenes; Michael Mæng; David Erlinge; Stuart Pocock; Patric Karlström; Arnhild Bakken; Theis Lange; José A. Barrabés; Jocelyne Benatar; Sergio Raposeiras‐Roubín; Claes Held; Massimo Piepoli; Morten Wang Fagerland; Therese Lucia Friis Holmager; Neiko Ozasa; Eva Prescott; John Munkhaugen; Tomas Jernberg; Borja Ibáñez,,31,,,,41211954,,,,,,,False,,10.1056/nejmoa2512686,,,,
