id,doi,title,abstract,year,term,discipline,is_oa,license,license_unpaywall,journal,journal_norm,journal_is_oa,source_db,authors,best_oa_location_url,cited_by_count,github,zenodo,osf,pubmed_id,repo_links,code_link,data_link,preregistered,preprint,journal_impact_factor,high_impact_flag,high_impact_reason,doi_norm,dataset_urls,dataset_repos,has_public_dataset,open_science_score
https://openalex.org/W2606310353,10.1016/j.jamda.2017.02.020,Antipsychotics and the Risk of Cerebrovascular Accident: A Systematic Review and Meta-Analysis of Observational Studies,,2017,cerebrovascular accident,stroke,True,,,Journal of the American Medical Directors Association,journal of the american medical directors association,False,openalex,Wan‐Ting Hsu; Amin Esmaily-Fard; Chih‐Cheng Lai; Darshan Zala; Sie-Huei Lee; Shy-Shin Chang; Chien‐Chang Lee,https://kclpure.kcl.ac.uk/portal/en/publications/726f56a5-0056-4b35-954d-7fc7ac317b57,59,,,,28431909,,,,,,,False,,10.1016/j.jamda.2017.02.020,,,,
https://openalex.org/W2770913430,10.18632/oncotarget.22755,Increased risk of cerebrovascular accident related to non-alcoholic fatty liver disease: a meta-analysis,"// Jianping Hu 1, * , Yong Xu 2, * , Zemin He 1, * , Hui Zhang 1, * , Xiaoqing Lian 3 , Tiantian Zhu 3 , Caihong Liang 3 and Jun Li 1 1 Department of General Surgery, The Affiliated Jiangning Hospital of Nanjing Medical University, Nanjing, Jiangsu Province, P.R. China 2 Department of Nephrology, Huai'an Second People's Hospital and The Affiliated Huai'an Hospital of Xuzhou Medical University, Huai'an, China 3 Department of Cardiovasology, The Affiliated Jiangning Hospital of Nanjing Medical University, Nanjing, Jiangsu Province, P.R. China * These authors contributed equally to this work Correspondence to: Caihong Liang, email: lch@njmu.edu.cn Jun Li, email: lijun@njmu.edu.cn Keywords: cerebrovascular accident; non-alcoholic fatty liver disease; meta-analysis Received: September 14, 2017&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Accepted: October 27, 2017&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Published: November 29, 2017 ABSTRACT Recent published studies on the association between non-alcoholic fatty liver disease (NAFLD) and cerebrovascular accident (CVA) risk have yielded conflicting findings. The aim of our study was to identify the potential association by pooling all available publications. A total of nine independent studies were included into our study. The pooled odd ratio (OR) with 95% confidence interval (95% CI) was calculated to weigh the strength for the relationship between NAFLD and CVA risk. We also conducted stratified analyses by study design, ethnicity and disease classification for further elucidation. The pooled results of the present meta-analysis showed that NAFLD was related to increased risk of CVA (OR = 2.32, 95% CI 1.84&ndash;2.93, P &lt; 0.001). Besides, NAFLD is associated with increased risk of CVA among both Caucasians (OR = 2.27, 95% CI 1.77&ndash;2.90, P &lt; 0.001) and Asians (OR = 2.81, 95% CI 1.43&ndash;5.51, P = 0.003). Moreover, the significant association was also observed in case-control studies (OR = 2.73, 95% CI 1.67&ndash;4.48, P &lt; 0.001) and cohort studies (OR = 2.22, 95% CI 1.71&ndash;2.89, P &lt; 0.001), respectively. In addition, NAFLD was shown to correlate with increased risk of cerebral hemorrhage (OR = 1.85, 95% CI 1.05&ndash;3.27, P = 0.034) and the ischemic stroke (OR = 2.51, 95% CI 1.92&ndash;3.28, P &lt; 0.001). In conclusion, our findings firstly provide strong evidence for a risk effect of NAFLD on CVA development.",2017,cerebrovascular accident,stroke,True,,,Oncotarget,oncotarget,True,openalex,Jianping Hu; Yong Xu; Zemin He; Hui Zhang; Xiaoqing Lian; Tiantian Zhu; Caihong Liang; Jun Li,https://doi.org/10.18632/oncotarget.22755,60,,,,29416808,,,,,,,False,,10.18632/oncotarget.22755,,,,
https://openalex.org/W2770814585,10.5935/2359-4802.20170097,"Mortality Trend Due to Cerebrovascular Accident in the City of Maringá, Paraná between the Years of 2005 to 2015","Background: Stroke is the second largest cause of death in the world, responsible for 6.7 million deaths in 2012. In Brazil, among the leading causes of death, cerebrovascular diseases occupy the first place. Objective: to analyze the trend of deaths from cerebrovascular accident (CVA) in the city of Maringá, Paraná, Brazil, between the years of 2005 and 2015. Methods: Cross-sectional study of time series performed at the Municipal Health Department of Maringá. Secondary data on death certificates for stroke in the city of Maringá between 2005 and 2015, selected according to the specific MC for CID-10 presented with few variations in the time interval studied. The coefficient for ICD-10 - I69.4 was higher in 2011. The lowest coefficient for the whole period was I61.9. The trend of total mortality coefficients reached peak in the years 2007 and 2008, small variations occurred after this period until 2015. (Figure 1) (ICD-10) from I60 to I69 were used. For trend verification, the polynomial regression model was used. Mortality Coefficients (MC) by main cause of death were calculated using the total number of people who died of stroke divided by the population exposed to the risk, multiplied by one hundred thousand. The trends were analyzed using the Polynomial Regression model, considered significant when p < 0.05. Population data were obtained from the database of the Brazilian Institute of Geography and Statistics. Results: Stroke was responsible for 1,843 deaths in the study period, with ICD- 10 - I64, I69.4 and I61.9 being the most frequent. The years with the highest number of deaths from the disease were 2007 and 2008. 52% of deaths occurred in males and 74% in individuals over 65 years. Conclusions: The trend of general mortality was constant, but there was an increasing trend of deaths among white married males.",2017,cerebrovascular accident,stroke,True,,,International Journal of Cardiovascular Sciences,international journal of cardiovascular sciences,True,openalex,Jéssica Pizatto de Araújo; João Vinícius Valério Darcis; Adriana Cunha Vargas; Willian Augusto de Mello,https://doi.org/10.5935/2359-4802.20170097,49,,,,,,,,,,,False,,10.5935/2359-4802.20170097,,,,
https://openalex.org/W2766873893,10.1097/mcc.0000000000000462,Early management of acute cerebrovascular accident,"PURPOSE OF REVIEW: Stroke is common and often presents as a neurologic emergency that requires rapid evaluation and treatment to minimize debilitation. Recent advances in therapy expanded time windows for intra-arterial thrombectomy in ischemic stroke, and surgical interventions for clot evacuation in large intracranial hemorrhage have recently proven feasible. This review discusses recent data regarding new therapeutic options in both ischemic and hemorrhagic stroke, notably in scenarios in which therapy was previously limited to supportive care. RECENT FINDINGS: Recent data show that intra-arterial therapy in ischemic stroke provides both benefit in outcomes and potential for further advancements in care. Therapeutic windows for endovascular treatment of a cerebral vessel occlusion now extend to 6 h, and recent data suggest this may increase further to 24 h. Intervention in hemorrhagic stroke remains limited to reversal of coagulopathy and hypertension; however, surgical techniques are underway and may prove beneficial in some cases. SUMMARY: Advancing therapeutics in ischemic and hemorrhagic stroke are changing acute care intervention and broadening potential candidates for what were once thought to be nonintervenable conditions. Execution of best practices in stroke will continue to evolve and will require understanding advanced imaging techniques, as well as selection criteria for procedural and surgical interventions.",2017,cerebrovascular accident,stroke,False,,,Current Opinion in Critical Care,current opinion in critical care,False,openalex,Jody Manners; Alexis Steinberg; Lori Shutter,,16,,,,29059119,,,,,,,False,,10.1097/mcc.0000000000000462,,,,
https://openalex.org/W2626815173,10.1016/j.ijcard.2017.06.042,"Left atrial accessory appendages, diverticula, and left-sided septal pouch in multi-slice computed tomography. Association with atrial fibrillation and cerebrovascular accidents",,2017,cerebrovascular accident,stroke,True,,,International Journal of Cardiology,international journal of cardiology,False,openalex,Mateusz K. Hołda; Mateusz Koziej; Karolina Wszołek; Wiesław W. Pawlik; Agata Krawczyk‐Ożóg; Danuta Sorysz; Piotr Łoboda; Katarzyna Kuźma; Marcin Kuniewicz; Jacek Lelakowski; Dariusz Dudek; Wiesława Klimek‐Piotrowska,https://ruj.uj.edu.pl/xmlui/handle/item/116601,52,,,,28629626,,,,,,,False,,10.1016/j.ijcard.2017.06.042,,,,
https://openalex.org/W2763639105,10.1097/icu.0000000000000414,Neuro-ophthalmic manifestations of cerebrovascular accidents,"Purpose of review Ocular functions can be affected in almost any type of cerebrovascular accident (CVA) creating a burden on the patient and family and limiting functionality. The present review summarizes the different ocular outcomes after stroke, divided into three categories: vision, ocular motility, and visual perception. We also discuss interventions that have been proposed to help restore vision and perception after CVA. Recent findings Interventions that might help expand or compensate for visual field loss and visuospatial neglect include explorative saccade training, prisms, visual restoration therapy (VRT), and transcranial direct current stimulation (tDCS). VRT makes use of neuroplasticity, which has shown efficacy in animal models but remains controversial in human studies. Summary CVAs can lead to decreased visual acuity, visual field loss, ocular motility abnormalities, and visuospatial perception deficits. Although ocular motility problems can be corrected with surgery, vision, and perception deficits are more difficult to overcome. Interventions to restore or compensate for visual field deficits are controversial despite theoretical underpinnings, animal model evidence, and case reports of their efficacies.",2017,cerebrovascular accident,stroke,False,,,Current Opinion in Ophthalmology,current opinion in ophthalmology,False,openalex,Alaa S. Bou Ghannam; Prem S. Subramanian,,14,,,,,,,,,,,False,,10.1097/icu.0000000000000414,,,,
https://openalex.org/W2748265885,10.1177/1098612x17723775,MRI and clinical characteristics of suspected cerebrovascular accident in nine cats,"Objectives Cerebrovascular accidents (CVAs) are infrequently reported in cats. To date, clinical characteristics, including lesion localisation and MRI findings, have only been reported in two cats. The aim of the current study is to document MRI findings in cats presenting with CVAs over an 11 year period. Cases were reviewed according to initial clinical presentation, subsequent physical and neurological findings, predisposing systemic disease and short- and long-term (when available) outcome with a view to identifying any typical pattern in disease occurrence. Methods Patient records of cats presenting to a single referral centre from January 2005 to September 2016 with acute onset, non-progressive (after 24 h) intracranial signs compatible with a CVA and where an MRI was performed within 72 h were retrospectively reviewed. Results Nine cats met the inclusion criteria. All cats had ischaemic CVAs (presumptively diagnosed in eight cats and confirmed in one cat following post-mortem examination). No cases of haemorrhagic CVAs were identified. Four cats presented with territorial infarcts that were confined to the territory of the rostral or caudal cerebellar arteries (n = 4). Lacunar infarcts were identified in five cats in the location of the cerebrum (n = 1), the thalamus/midbrain (n = 2) and the medulla oblongata (n = 2). Concurrent systemic disease was identified in most (n = 8/9). In the present study short-term prognosis was favourable and 8/9 cats survived to 48 h following admission. Conclusions and relevance CVAs in cats occur in the same vascular territories as in dogs and have similar MRI features. This study notes that the presenting cats had a high likelihood of concurrent disease (8/9 cases) but had a favourable short-term prognosis, if neither the clinical presentation nor concurrent disease were severe.",2017,cerebrovascular accident,stroke,True,,,Journal of Feline Medicine and Surgery,journal of feline medicine and surgery,False,openalex,Danielle Whittaker; Randi Drees; Elsa Beltrán,https://www.ncbi.nlm.nih.gov/pmc/articles/11104133,14,,,,28820279,,,,,,,False,,10.1177/1098612x17723775,,,,
https://openalex.org/W2771643615,10.1590/1806-9304201700s100004,Therapeutic itineraries for patients with cerebrovascular accident: fragmentation of care in a regionalized health network,"Abstract Objectives: to analyze the itineraries of patients with cerebrovascular accident (CVA) in the Interstate health region in San Francisco Valley. Methods: this study uses the qualitative approach through the construction of Therapeutic Itineraries (IT). In the IT mapping the observation was prioritized on the different points and forms to access health service in search of care. Results: sixteen semi-structured interviews with healthcare users were conducted. There were diverse forms to access and provide services at the Rede Interestadual de Atenção à Saúde do Vale do Médio São Francisco-PEBA (Interstate Healthcare Network Region in the San Francisco Valley), which could be characterized by disorganized and uncoordinated care in the analyzed cases, despite the guarantee of hospital care. The Primary Health Care (APS) teams are present at a care point with most of the patients' itineraries, however, little integration to the regionalized network and they were unable to perform their functions and coordinate the care. It is observed pilgrimage assistance, fragmented care and difficulties in receiving care after post hospitalization which is essential for the patients’ rehabilitation. Conclusions: traces of fragments of the regional health system are important warning signs that points out fragility in PEBA and demonstrate persistent gaps in the public health system to fulfil the responsibility and guarantee individuals’ right for health.",2017,cerebrovascular accident,stroke,True,,,Revista Brasileira de Saúde Materno Infantil,revista brasileira de saúde materno infantil,True,openalex,Márcia Cristina Rodrigues Fausto; Estela Márcia Saraiva Campos; Patty Fidélis de Almeida; María Guadalupe Medina; Lígia Giovanella; Aylene Bousquat; Ângela de Oliveira Carneiro; Aline Silva Jerônimo; Ítalo Ricardo Santos Aleluia; G. Borges; Paulo Henrique dos Santos Mota,https://doi.org/10.1590/1806-9304201700s100004,15,,,,,,,,,,,False,,10.1590/1806-9304201700s100004,,,,
https://openalex.org/W2591159986,10.4103/0973-0354.200568,Thyroid dysfunction in patients of ischemic cerebrovascular accidents,"Introduction: Thyroid dysfunction has been associated with cerebrovascular accidents (CVAs) and is an area of active research in the present times. Materials and Methods: In the present study we tried to establish a relation between the variation in thyroid profile and ischemic CVAs in 75 patients who were admitted to our hospital within 48 hours of the event. Results: Of the 75 patients, 43 had nonthyroidal illness syndrome (NTIS), 13 were euthyroid, 6 were hyperthyroid, 9 were subclinical hypothyroid, and 4 were hypothyroid. Conclusion: In ischemic cases, high mortality rates were observed in euthyroid patients followed by patients with NTIS. A low FT3 level was associated with unfavorable outcome as accessed by the Glasgow Coma Scale and the Scandinavian Stroke Scale scoring.",2017,cerebrovascular accident,stroke,True,,,Thyroid Research and Practice,thyroid research and practice,False,openalex,Apurva Pande; VijayKumar Goel; Amit Rastogi; Abhinav Gupta,https://doi.org/10.4103/0973-0354.200568,6,,,,,,,,,,,False,,10.4103/0973-0354.200568,,,,
https://openalex.org/W2596983506,10.1016/s0735-1097(17)35173-2,CANNABIS USE PREDICTS RISKS OF HEART FAILURE AND CEREBROVASCULAR ACCIDENTS: RESULTS FROM THE NATIONAL INPATIENT SAMPLE,,2017,cerebrovascular accident,stroke,False,,,Journal of the American College of Cardiology,journal of the american college of cardiology,False,openalex,Aditi Kalla; Parasuram Krishnamoorthy; Akshaya Gopalakrishnan; Jalaj Garg; Vincent M. Figueredo,,13,,,,,,,,,,,False,,10.1016/s0735-1097(17)35173-2,,,,
