id,doi,title,abstract,year,term,discipline,is_oa,license,license_unpaywall,journal,journal_norm,journal_is_oa,source_db,authors,best_oa_location_url,cited_by_count,github,zenodo,osf,pubmed_id,repo_links,code_link,data_link,preregistered,preprint,journal_impact_factor,high_impact_flag,high_impact_reason,doi_norm,dataset_urls,dataset_repos,has_public_dataset,open_science_score
https://openalex.org/W3016127017,10.1001/jamaneurol.2020.1127,"Neurologic Manifestations of Hospitalized Patients With Coronavirus Disease 2019 in Wuhan, China","Importance: The outbreak of coronavirus disease 2019 (COVID-19) in Wuhan, China, is serious and has the potential to become an epidemic worldwide. Several studies have described typical clinical manifestations including fever, cough, diarrhea, and fatigue. However, to our knowledge, it has not been reported that patients with COVID-19 had any neurologic manifestations. Objective: To study the neurologic manifestations of patients with COVID-19. Design, Setting, and Participants: This is a retrospective, observational case series. Data were collected from January 16, 2020, to February 19, 2020, at 3 designated special care centers for COVID-19 (Main District, West Branch, and Tumor Center) of the Union Hospital of Huazhong University of Science and Technology in Wuhan, China. The study included 214 consecutive hospitalized patients with laboratory-confirmed diagnosis of severe acute respiratory syndrome coronavirus 2 infection. Main Outcomes and Measures: Clinical data were extracted from electronic medical records, and data of all neurologic symptoms were checked by 2 trained neurologists. Neurologic manifestations fell into 3 categories: central nervous system manifestations (dizziness, headache, impaired consciousness, acute cerebrovascular disease, ataxia, and seizure), peripheral nervous system manifestations (taste impairment, smell impairment, vision impairment, and nerve pain), and skeletal muscular injury manifestations. Results: Of 214 patients (mean [SD] age, 52.7 [15.5] years; 87 men [40.7%]) with COVID-19, 126 patients (58.9%) had nonsevere infection and 88 patients (41.1%) had severe infection according to their respiratory status. Overall, 78 patients (36.4%) had neurologic manifestations. Compared with patients with nonsevere infection, patients with severe infection were older, had more underlying disorders, especially hypertension, and showed fewer typical symptoms of COVID-19, such as fever and cough. Patients with more severe infection had neurologic manifestations, such as acute cerebrovascular diseases (5 [5.7%] vs 1 [0.8%]), impaired consciousness (13 [14.8%] vs 3 [2.4%]), and skeletal muscle injury (17 [19.3%] vs 6 [4.8%]). Conclusions and Relevance: Patients with COVID-19 commonly have neurologic manifestations. During the epidemic period of COVID-19, when seeing patients with neurologic manifestations, clinicians should suspect severe acute respiratory syndrome coronavirus 2 infection as a differential diagnosis to avoid delayed diagnosis or misdiagnosis and lose the chance to treat and prevent further transmission.",2020,neurology,neurology,True,,,JAMA Neurology,jama neurology,False,openalex,Ling Mao; Huijuan Jin; Mengdie Wang; Yu Hu; Shengcai Chen; Quanwei He; Jiang Chang; Candong Hong; Yifan Zhou; David Wang; Xiaoping Miao; Yanan Li; Bo Hu,https://doi.org/10.1001/jamaneurol.2020.1127,7392,,,,32275288,,,,,,,False,,10.1001/jamaneurol.2020.1127,,,False,
https://openalex.org/W2754967293,10.1016/s1474-4422(18)30499-x,"Global, regional, and national burden of neurological disorders, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016","BACKGROUND: Neurological disorders are increasingly recognised as major causes of death and disability worldwide. The aim of this analysis from the Global Burden of Diseases, Injuries, and Risk Factors Study (GBD) 2016 is to provide the most comprehensive and up-to-date estimates of the global, regional, and national burden from neurological disorders. METHODS: We estimated prevalence, incidence, deaths, and disability-adjusted life-years (DALYs; the sum of years of life lost [YLLs] and years lived with disability [YLDs]) by age and sex for 15 neurological disorder categories (tetanus, meningitis, encephalitis, stroke, brain and other CNS cancers, traumatic brain injury, spinal cord injury, Alzheimer's disease and other dementias, Parkinson's disease, multiple sclerosis, motor neuron diseases, idiopathic epilepsy, migraine, tension-type headache, and a residual category for other less common neurological disorders) in 195 countries from 1990 to 2016. DisMod-MR 2.1, a Bayesian meta-regression tool, was the main method of estimation of prevalence and incidence, and the Cause of Death Ensemble model (CODEm) was used for mortality estimation. We quantified the contribution of 84 risks and combinations of risk to the disease estimates for the 15 neurological disorder categories using the GBD comparative risk assessment approach. FINDINGS: Globally, in 2016, neurological disorders were the leading cause of DALYs (276 million [95% UI 247-308]) and second leading cause of deaths (9·0 million [8·8-9·4]). The absolute number of deaths and DALYs from all neurological disorders combined increased (deaths by 39% [34-44] and DALYs by 15% [9-21]) whereas their age-standardised rates decreased (deaths by 28% [26-30] and DALYs by 27% [24-31]) between 1990 and 2016. The only neurological disorders that had a decrease in rates and absolute numbers of deaths and DALYs were tetanus, meningitis, and encephalitis. The four largest contributors of neurological DALYs were stroke (42·2% [38·6-46·1]), migraine (16·3% [11·7-20·8]), Alzheimer's and other dementias (10·4% [9·0-12·1]), and meningitis (7·9% [6·6-10·4]). For the combined neurological disorders, age-standardised DALY rates were significantly higher in males than in females (male-to-female ratio 1·12 [1·05-1·20]), but migraine, multiple sclerosis, and tension-type headache were more common and caused more burden in females, with male-to-female ratios of less than 0·7. The 84 risks quantified in GBD explain less than 10% of neurological disorder DALY burdens, except stroke, for which 88·8% (86·5-90·9) of DALYs are attributable to risk factors, and to a lesser extent Alzheimer's disease and other dementias (22·3% [11·8-35·1] of DALYs are risk attributable) and idiopathic epilepsy (14·1% [10·8-17·5] of DALYs are risk attributable). INTERPRETATION: Globally, the burden of neurological disorders, as measured by the absolute number of DALYs, continues to increase. As populations are growing and ageing, and the prevalence of major disabling neurological disorders steeply increases with age, governments will face increasing demand for treatment, rehabilitation, and support services for neurological disorders. The scarcity of established modifiable risks for most of the neurological burden demonstrates that new knowledge is required to develop effective prevention and treatment strategies. FUNDING: Bill & Melinda Gates Foundation.",2019,neurology,neurology,True,,,The Lancet Neurology,the lancet neurology,False,openalex,Valery L. Feigin; Emma Nichols; Shazia Alam; Marlena S. Bannick; Ettore Beghi; Natacha Blake; William J. Culpepper; E. Ray Dorsey; Alexis Elbaz; Richard G. Ellenbogen; James L. Fisher; Christina Fitzmaurice; Giorgia Giussani; Linda Glennie; Spencer L James; Catherine O. Johnson; Nicholas J Kassebaum; Giancarlo Logroscino; Benôıt Marin; W Cliff Mountjoy-Venning; Minh Nguyen; Richard Ofori‐Asenso; Anoop P. Patel; Marco Piccininni; Gregory A. Roth; Timothy J. Steiner; Lars Jacob Stovner; Cassandra Szoeke; Alice Theadom; Stein Emil Vollset; Mitchell T. Wallin; Claire Wright; Joseph R. Zunt; Nooshin Abbasi; Foad Abd-Allah; Ahmed Abdelalim; Ibrahim Abdollahpour; Victor Aboyans; Haftom Niguse Abraha; Dilaram Acharya; Abdu A. Adamu; Oladimeji Adebayo; Abiodun M. Adeoye; José Carmelo Adsuar; Mohsen Afarideh; Sutapa Agrawal; Alireza Ahmadi; Muktar Beshir Ahmed; Amani Nidhal Aichour; Ibtihel Aichour; Miloud Taki Eddine Aichour; Rufus Akinyemi; Nadia Akseer; Ayman Al‐Eyadhy; Rustam Al‐Shahi Salman; Fares Alahdab; Kefyalew Addis Alene; Syed Mohamed Aljunid; Khalid A Altirkawi; Nelson Alvis‐Guzmán; Nahla Anber; Carl Abelardo T. Antonio; Jalal Arabloo; Olatunde Aremu; Johan Ärnlöv; Hamid Asayesh; Rana Jawad Asghar; Hagos Tasew Atalay; Ashish Awasthi; Beatriz Paulina Ayala Quintanilla; Ayuk Betrand Tambe; Alaa Badawi; Maciej Banach; Joseph Adel Mattar Banoub; Miguel A. Barboza; Suzanne Barker‐Collo; Till Bärnighausen; Bernhard T. Baune; Neeraj Bedi; Masoud Behzadifar; Meysam Behzadifar; Yannick Béjot; Bayu Begashaw Bekele; Abate Bekele Belachew; Derrick Bennett; Isabela M. Benseñor; Adugnaw Berhane; Mircea Beuran; Krittika Bhattacharyya; Zulfiqar A Bhutta; Belete Biadgo; Ali Bijani; Nigus Bililign; Muhammad Shahdaat Bin Sayeed; Christopher Kynrint Blazes; Carol Brayne; Zahid A Butt; Ismael Campos‐Nonato; Carlos Cantú‐Brito; Mate Car,https://doi.org/10.1016/s1474-4422(18)30499-x,5653,,,,30879893,,,,,,,False,,10.1016/s1474-4422(18)30499-x,,,False,
https://openalex.org/W2592509339,10.1111/epi.13709,<scp>ILAE</scp> classification of the epilepsies: Position paper of the <scp>ILAE</scp> Commission for Classification and Terminology,"The International League Against Epilepsy (ILAE) Classification of the Epilepsies has been updated to reflect our gain in understanding of the epilepsies and their underlying mechanisms following the major scientific advances that have taken place since the last ratified classification in 1989. As a critical tool for the practicing clinician, epilepsy classification must be relevant and dynamic to changes in thinking, yet robust and translatable to all areas of the globe. Its primary purpose is for diagnosis of patients, but it is also critical for epilepsy research, development of antiepileptic therapies, and communication around the world. The new classification originates from a draft document submitted for public comments in 2013, which was revised to incorporate extensive feedback from the international epilepsy community over several rounds of consultation. It presents three levels, starting with seizure type, where it assumes that the patient is having epileptic seizures as defined by the new 2017 ILAE Seizure Classification. After diagnosis of the seizure type, the next step is diagnosis of epilepsy type, including focal epilepsy, generalized epilepsy, combined generalized, and focal epilepsy, and also an unknown epilepsy group. The third level is that of epilepsy syndrome, where a specific syndromic diagnosis can be made. The new classification incorporates etiology along each stage, emphasizing the need to consider etiology at each step of diagnosis, as it often carries significant treatment implications. Etiology is broken into six subgroups, selected because of their potential therapeutic consequences. New terminology is introduced such as developmental and epileptic encephalopathy. The term benign is replaced by the terms self-limited and pharmacoresponsive, to be used where appropriate. It is hoped that this new framework will assist in improving epilepsy care and research in the 21st century.",2017,epilepsy,neurology,True,,,Epilepsia,epilepsia,False,openalex,Ingrid E. Scheffer; Samuel F. Berkovic; Giuseppe Capovilla; Mary Connolly; Jacqueline A. French; Laura Maria de Figueiredo Ferreira Guilhoto; Édouard Hirsch; Satish Jain; Gary W. Mathern; Solomon L. Moshé; Douglas R. Nordli; Emilio Perucca; Torbjörn Tomson; Samuel Wiebe; Yue‐Hua Zhang; Sameer M. Zuberi,https://doi.org/10.1111/epi.13709,4845,,,,28276062,,,,,,,False,,10.1111/epi.13709,,,False,
https://openalex.org/W2594644573,10.1111/epi.13670,Operational classification of seizure types by the International League Against Epilepsy: Position Paper of the ILAE Commission for Classification and Terminology,"The International League Against Epilepsy (ILAE) presents a revised operational classification of seizure types. The purpose of such a revision is to recognize that some seizure types can have either a focal or generalized onset, to allow classification when the onset is unobserved, to include some missing seizure types, and to adopt more transparent names. Because current knowledge is insufficient to form a scientifically based classification, the 2017 Classification is operational (practical) and based on the 1981 Classification, extended in 2010. Changes include the following: (1) ""partial"" becomes ""focal""; (2) awareness is used as a classifier of focal seizures; (3) the terms dyscognitive, simple partial, complex partial, psychic, and secondarily generalized are eliminated; (4) new focal seizure types include automatisms, behavior arrest, hyperkinetic, autonomic, cognitive, and emotional; (5) atonic, clonic, epileptic spasms, myoclonic, and tonic seizures can be of either focal or generalized onset; (6) focal to bilateral tonic-clonic seizure replaces secondarily generalized seizure; (7) new generalized seizure types are absence with eyelid myoclonia, myoclonic absence, myoclonic-atonic, myoclonic-tonic-clonic; and (8) seizures of unknown onset may have features that can still be classified. The new classification does not represent a fundamental change, but allows greater flexibility and transparency in naming seizure types.",2017,epilepsy,neurology,True,,,Epilepsia,epilepsia,False,openalex,Robert S. Fisher; J. Helen Cross; Jacqueline A. French; Norimichi Higurashi; Édouard Hirsch; Floor E. Jansen; Lieven Lagae; Solomon L. Moshé; Jukka Peltola; Eliane Roulet Perez; Ingrid E. Scheffer; Sameer M. Zuberi,https://doi.org/10.1111/epi.13670,3372,,,,28276060,,,,,,,False,,10.1111/epi.13670,,,False,
https://openalex.org/W2905654445,10.1016/j.bbmt.2018.12.758,ASTCT Consensus Grading for Cytokine Release Syndrome and Neurologic Toxicity Associated with Immune Effector Cells,"Chimeric antigen receptor (CAR) T cell therapy is rapidly emerging as one of the most promising therapies for hematologic malignancies. Two CAR T products were recently approved in the United States and Europe for the treatment ofpatients up to age 25years with relapsed or refractory B cell acute lymphoblastic leukemia and/or adults with large B cell lymphoma. Many more CAR T products, as well as other immunotherapies, including various immune cell- and bi-specific antibody-based approaches that function by activation of immune effector cells, are in clinical development for both hematologic and solid tumor malignancies. These therapies are associated with unique toxicities of cytokine release syndrome (CRS) and neurologic toxicity. The assessment and grading of these toxicities vary considerably across clinical trials and across institutions, making it difficult to compare the safety of different products and hindering the ability to develop optimal strategies for management of these toxicities. Moreover, some aspects of these grading systems can be challenging to implement across centers. Therefore, in an effort to harmonize the definitions and grading systems for CRS and neurotoxicity, experts from all aspects of the field met on June 20 and 21, 2018, at a meeting supported by the American Society for Transplantation and Cellular Therapy (ASTCT; formerly American Society for Blood and Marrow Transplantation, ASBMT) in Arlington, VA. Here we report the consensus recommendations of that group and propose new definitions and grading for CRS and neurotoxicity that are objective, easy to apply, and ultimately more accurately categorize the severity of these toxicities. The goal is to provide a uniform consensus grading system for CRS and neurotoxicity associated with immune effector cell therapies, for use across clinical trials and in the postapproval clinical setting.",2018,neurology,neurology,True,,,Biology of Blood and Marrow Transplantation,biology of blood and marrow transplantation,False,openalex,Daniel W. Lee; Bianca Santomasso; Frederick L. Locke; Armin Ghobadi; Cameron J. Turtle; Jennifer N. Brudno; Marcela V. Maus; Jae H. Park; Elena Mead; Steven Z. Pavletic; William Y. Go; Lamis Eldjerou; Rebecca Gardner; Noelle V. Frey; Kevin J. Curran; Karl S. Peggs; Marcelo C. Pasquini; John F. DiPersio; Marcel R.M. van den Brink; Krishna V. Komanduri; Stephan A. Grupp; Sattva S. Neelapu,https://doi.org/10.1016/j.bbmt.2018.12.758,3371,,,,30592986,,,,,,,False,,10.1016/j.bbmt.2018.12.758,,,False,
https://openalex.org/W3015925195,10.1056/nejmc2008597,Neurologic Features in Severe SARS-CoV-2 Infection,"Neurologic Features in SARS-CoV-2 Infection In a consecutive series of 64 patients with Covid-19 and ARDS, 58 of whom underwent neurologic examination, severe agitation and corticospinal signs were...",2020,neurology,neurology,True,,,New England Journal of Medicine,new england journal of medicine,False,openalex,Julie Helms; Stéphane Kremer; Hamid Merdji; Raphaël Clère-Jehl; M. Schenck; Christine Kummerlen; Olivier Collange; Clotilde Boulay; Samira Fafi‐Kremer; Mickaël Ohana; Mathieu Anheim; Ferhat Meziani,https://www.ncbi.nlm.nih.gov/pmc/articles/7179967,2784,,,,32294339,,,,,,,False,,10.1056/nejmc2008597,,,False,
https://openalex.org/W3099273656,10.1177/1352458520970841,"Rising prevalence of multiple sclerosis worldwide: Insights from the Atlas of MS, third edition","BACKGROUND: High-quality epidemiologic data worldwide are needed to improve our understanding of disease risk, support health policy to meet the diverse needs of people with multiple sclerosis (MS) and support advocacy efforts. OBJECTIVES: The Atlas of MS is an open-source global compendium of data regarding the epidemiology of MS and the availability of resources for people with MS reported at country, regional and global levels. METHODS: Country representatives reported epidemiologic data and their sources via survey between September 2019 and March 2020, covering prevalence and incidence in males, females and children, and age and MS type at diagnosis. Regional analyses and comparisons with 2013 data were conducted. RESULTS: A total of 2.8 million people are estimated to live with MS worldwide (35.9 per 100,000 population). MS prevalence has increased in every world region since 2013 but gaps in prevalence estimates persist. The pooled incidence rate across 75 reporting countries is 2.1 per 100,000 persons/year, and the mean age of diagnosis is 32 years. Females are twice as likely to live with MS as males. CONCLUSIONS: The global prevalence of MS has risen since 2013, but good surveillance data is not universal. Action is needed by multiple stakeholders to close knowledge gaps.",2020,multiple sclerosis,neurology,True,,,Multiple Sclerosis Journal,multiple sclerosis journal,False,openalex,Clare Walton; Rachel King; Lindsay Rechtman; Wendy Kaye; Emmanuelle Leray; Ruth Ann Marrie; Neil Robertson; N Rocca; Bernard M.J. Uitdehaag; Ingrid van der Mei; Mitchell T. Wallin; Anne Helme; Ceri Angood Napier; Nick Rijke; Peer Baneke,https://doi.org/10.1177/1352458520970841,2484,,,,33174475,,,,,,,False,,10.1177/1352458520970841,,,False,
https://openalex.org/W4253381763,10.1056/nejmra1401483,Multiple Sclerosis,Multiple sclerosis affects more than 2 million people worldwide and is currently incurable. A number of interventions to modify the course of multiple sclerosis have been developed that offer new insight into disease mechanisms.,2018,multiple sclerosis,neurology,False,,,New England Journal of Medicine,new england journal of medicine,False,openalex,Daniel S. Reich; Claudia F. Lucchinetti; Peter A. Calabresi,,2413,,,,29320652,,,,,,,False,,10.1056/nejmra1401483,,,False,
https://openalex.org/W2623663856,10.1002/mds.26987,Clinical diagnosis of progressive supranuclear palsy: The movement disorder society criteria,"BACKGROUND: PSP is a neuropathologically defined disease entity. Clinical diagnostic criteria, published in 1996 by the National Institute of Neurological Disorders and Stroke/Society for PSP, have excellent specificity, but their sensitivity is limited for variant PSP syndromes with presentations other than Richardson's syndrome. OBJECTIVE: We aimed to provide an evidence- and consensus-based revision of the clinical diagnostic criteria for PSP. METHODS: We searched the PubMed, Cochrane, Medline, and PSYCInfo databases for articles published in English since 1996, using postmortem diagnosis or highly specific clinical criteria as the diagnostic standard. Second, we generated retrospective standardized clinical data from patients with autopsy-confirmed PSP and control diseases. On this basis, diagnostic criteria were drafted, optimized in two modified Delphi evaluations, submitted to structured discussions with consensus procedures during a 2-day meeting, and refined in three further Delphi rounds. RESULTS: Defined clinical, imaging, laboratory, and genetic findings serve as mandatory basic features, mandatory exclusion criteria, or context-dependent exclusion criteria. We identified four functional domains (ocular motor dysfunction, postural instability, akinesia, and cognitive dysfunction) as clinical predictors of PSP. Within each of these domains, we propose three clinical features that contribute different levels of diagnostic certainty. Specific combinations of these features define the diagnostic criteria, stratified by three degrees of diagnostic certainty (probable PSP, possible PSP, and suggestive of PSP). Clinical clues and imaging findings represent supportive features. CONCLUSIONS: Here, we present new criteria aimed to optimize early, sensitive, and specific clinical diagnosis of PSP on the basis of currently available evidence. © 2017 International Parkinson and Movement Disorder Society.",2017,movement disorder,neurology,False,,,Movement Disorders,movement disorders,False,openalex,Günter U. Höglinger; Gesine Respondek; María Stamelou; Carolin Kurz; Keith A. Josephs; Anthony E. Lang; Brit Mollenhauer; Ulrich Müller; Christer Nilsson; Jennifer L. Whitwell; Thomas Arzberger; Elisabet Englund; Ellen Gelpí; Armin Giese; David J. Irwin; Wassilios G. Meissner; Alexander Pantelyat; Alex Rajput; John C. van Swieten; Claire Troakes; Angelo Antonini; Kailash P. Bhatia; Yvette Bordelon; Yaroslau Compta; Jean‐Christophe Corvol; Carlo Colosimo; Dennis W. Dickson; Richard Dodel; Leslie W. Ferguson; Murray Grossman; Jan Kassubek; Florian Krismer; Johannes Levin; Stefan Lorenzl; Huw R. Morris; Peter J. Nestor; Wolfgang H. Oertel; Werner Poewe; Gil D. Rabinovici; James B. Rowe; Gerard D. Schellenberg; Klaus Seppi; Thilo van Eimeren; Gregor K. Wenning; Adam L. Boxer; Lawrence I. Golbe; Irene Litvan; for the Movement Disorder Society–endorsed PSP Study Group,,2304,,,,28467028,,,,,,,False,,10.1002/mds.26987,,,False,
https://openalex.org/W3157419554,10.1016/s1474-4422(17)30299-5,"Global, regional, and national burden of neurological disorders during 1990–2015: a systematic analysis for the Global Burden of Disease Study 2015","BACKGROUND: Comparable data on the global and country-specific burden of neurological disorders and their trends are crucial for health-care planning and resource allocation. The Global Burden of Diseases, Injuries, and Risk Factors (GBD) Study provides such information but does not routinely aggregate results that are of interest to clinicians specialising in neurological conditions. In this systematic analysis, we quantified the global disease burden due to neurological disorders in 2015 and its relationship with country development level. METHODS: We estimated global and country-specific prevalence, mortality, disability-adjusted life-years (DALYs), years of life lost (YLLs), and years lived with disability (YLDs) for various neurological disorders that in the GBD classification have been previously spread across multiple disease groupings. The more inclusive grouping of neurological disorders included stroke, meningitis, encephalitis, tetanus, Alzheimer's disease and other dementias, Parkinson's disease, epilepsy, multiple sclerosis, motor neuron disease, migraine, tension-type headache, medication overuse headache, brain and nervous system cancers, and a residual category of other neurological disorders. We also analysed results based on the Socio-demographic Index (SDI), a compound measure of income per capita, education, and fertility, to identify patterns associated with development and how countries fare against expected outcomes relative to their level of development. FINDINGS: Neurological disorders ranked as the leading cause group of DALYs in 2015 (250·7 [95% uncertainty interval (UI) 229·1 to 274·7] million, comprising 10·2% of global DALYs) and the second-leading cause group of deaths (9·4 [9·1 to 9·7] million], comprising 16·8% of global deaths). The most prevalent neurological disorders were tension-type headache (1505·9 [UI 1337·3 to 1681·6 million cases]), migraine (958·8 [872·1 to 1055·6] million), medication overuse headache (58·5 [50·8 to 67·4 million]), and Alzheimer's disease and other dementias (46·0 [40·2 to 52·7 million]). Between 1990 and 2015, the number of deaths from neurological disorders increased by 36·7%, and the number of DALYs by 7·4%. These increases occurred despite decreases in age-standardised rates of death and DALYs of 26·1% and 29·7%, respectively; stroke and communicable neurological disorders were responsible for most of these decreases. Communicable neurological disorders were the largest cause of DALYs in countries with low SDI. Stroke rates were highest at middle levels of SDI and lowest at the highest SDI. Most of the changes in DALY rates of neurological disorders with development were driven by changes in YLLs. INTERPRETATION: Neurological disorders are an important cause of disability and death worldwide. Globally, the burden of neurological disorders has increased substantially over the past 25 years because of expanding population numbers and ageing, despite substantial decreases in mortality rates from stroke and communicable neurological disorders. The number of patients who will need care by clinicians with expertise in neurological conditions will continue to grow in coming decades. Policy makers and health-care providers should be aware of these trends to provide adequate services. FUNDING: Bill & Melinda Gates Foundation.",2017,neurology,neurology,True,,,The Lancet Neurology,the lancet neurology,False,openalex,Valery L. Feigin; Amanuel Alemu Abajobir; Kalkidan Hassen Abate; Foad Abd-Allah; Abdishakur Abdulle; Semaw Ferede Abera; Gebre Yitayih Abyu; Muktar Beshir Ahmed; Amani Nidhal Aichour; Ibtihel Aichour; Miloud Taki Eddine Aichour; Rufus Akinyemi; Samer Alabed; Rajaa Al‐Raddadi; Nelson Alvis‐Guzmán; Azmeraw T. Amare; Hossein Ansari; Palwasha Anwari; Johan Ärnlöv; Hamid Asayesh; Solomon Weldegebreal Asgedom; Tesfay Mehari Atey; Leticia Ávila‐Burgos; Euripide Frinel; G. Arthur Avokpaho; M.R. Azarpazhooh; Aleksandra Barać; Miguel A. Barboza; Suzanne Barker‐Collo; Till Bärnighausen; Neeraj Bedi; Ettore Beghi; Derrick Bennett; Isabela M. Benseñor; Adugnaw Berhane; Balem Demtsu Betsu; Soumyadeep Bhaumik; Sait Mentes Birlik; Stan Biryukov; Dube Jara Boneya; Lemma N Bulto; Hélène Carabin; Daniel Casey; Carlos A Castañeda-Orjuela; Ferrán Catalá-López; Honglei Chen; Abdulaal Chitheer; Rajiv Chowdhury; Hanne Christensen; Lalit Dandona; Rakhi Dandona; Gabrielle A de Veber; Samath Dhamminda Dharmaratne; Huyen Phuc; Клара Докова; E. Ray Dorsey; Richard G. Ellenbogen; Sharareh Eskandarieh; Maryam S. Farvid; Seyed‐Mohammad Fereshtehnejad; Florian Fischer; Kyle J Foreman; Johanna M. Geleijnse; Richard F Gillum; Giorgia Giussani; Ellen M Goldberg; Philimon Gona; Alessandra C. Goulart; H. C. Gugnani; Rahul Gupta; Vladimir Hachinski; Rajeev Gupta; Randah R Hamadeh; Mitiku Teshome Hambisa; Graeme J. Hankey; Habtamu Abera Hareri; Rasmus Havmoeller; Simon I Hay; Pouria Heydarpour; Peter J. Hotez; Mihajlo Jakovljević; Mehdi Javanbakht; Panniyammakal Jeemon; Jost B. Jonas; Yogeshwar Kalkonde; Amit Kandel; André Karch; Amir Kasaeian; Anshul Kastor; Peter Njenga Keiyoro; Yousef Khader; Ibrahim A Khalil; Ejaz Ahmad Khan; Young‐Ho Khang; Abdullah Tawfih; Abdullah T Khoja; Jagdish Khubchandani; Chanda Kulkarni; Daniel Kim; Yun Jin Kim,https://doi.org/10.1016/s1474-4422(17)30299-5,2270,,,,28931491,,,,,,,False,,10.1016/s1474-4422(17)30299-5,,,False,
